1c#apa#apa01#app0100/w  -1.021 0.664  -0.920 0.754  -0.842 0.865  -0.752 0.966  -0.679 1.106  -0.544 1.241  -0.555 1.130  -0.618 0.966  -0.618 0.776  -0.653 0.594  -0.719 0.419  -0.719 0.229  -0.719 0.039  -0.719 -0.151  -0.719 -0.341  -0.719 -0.531  -0.719 -0.722  -0.719 -0.912  -0.618 -1.060  -0.514 -1.146  -0.417 -1.053  -0.317 -0.904  -0.225 -0.752  -0.216 -0.565  -0.116 -0.417  -0.116 -0.227  -0.115 -0.037  -0.055 0.144  -0.015 0.327  -0.015 0.408  0.049 0.233  0.085 0.052  0.085 -0.138  0.170 -0.309  0.186 -0.495  0.287 -0.643  0.435 -0.744  0.626 -0.744  0.816 -0.744  0.905 -0.643  1.065 -0.569  1.091 -0.390  1.120 -0.212  1.192 -0.051  1.192 0.139  1.222 0.322  1.292 0.496  1.292 0.686  1.292 0.876  1.292 1.066
1c#apa#apa01#app0100/i  -0.168 0.463  -0.169 0.342  -0.255 0.257  -0.288 0.150  -0.288 0.029  -0.288 -0.092  -0.288 -0.213  -0.288 -0.334  -0.288 -0.455  -0.288 -0.576  -0.288 -0.697  -0.288 -0.818  -0.288 -0.939  -0.229 -1.036  -0.168 -1.132  -0.132 -1.217  -0.022 -1.243  0.064 -1.328  0.181 -1.337  0.192 -1.226  0.271 -1.138  0.312 -1.034  0.376 -0.977  0.432 -0.912  0.478 -0.810  0.546 -0.720  0.506 -0.606  0.466 -0.492  0.427 -0.378  0.387 -0.263  0.347 -0.149  0.307 -0.035  0.268 0.080  0.228 0.194  0.188 0.308  0.148 0.422  0.109 0.537  0.069 0.651  0.029 0.765  -0.011 0.880  -0.050 0.994  -0.090 1.108  -0.130 1.222  -0.170 1.337  -0.209 1.451  -0.249 1.565  -0.289 1.680  -0.329 1.794  -0.368 1.908  -0.408 2.022
1c#apa#apa01#app0100/d  -0.104 0.203  -0.219 0.288  -0.401 0.246  -0.583 0.203  -0.733 0.084  -0.869 -0.060  -0.954 -0.224  -0.954 -0.424  -0.954 -0.623  -0.890 -0.796  -0.808 -0.962  -0.704 -1.072  -0.589 -1.157  -0.406 -1.118  -0.274 -1.023  -0.134 -0.931  -0.019 -0.779  0.028 -0.599  0.147 -0.440  0.236 -0.267  0.236 -0.067  0.280 0.122  0.321 0.312  0.364 0.504  0.406 0.697  0.406 0.897  0.463 1.083  0.490 1.276  0.575 1.440  0.575 1.640  0.468 1.732  0.406 1.595  0.321 1.431  0.267 1.253  0.236 1.067  0.151 0.902  0.151 0.703  0.123 0.515  0.066 0.339  0.066 0.139  0.066 -0.061  0.066 -0.260  0.066 -0.460  0.075 -0.656  0.151 -0.824  0.236 -0.988  0.267 -1.157  0.431 -1.242  0.631 -1.242  0.830 -1.242
1c#apa#apa01#app0100/f  0.699 1.270  0.629 1.345  0.559 1.420  0.473 1.479  0.345 1.496  0.248 1.448  0.130 1.420  0.097 1.309  0.022 1.239  0.004 1.101  -0.053 0.980  -0.053 0.835  -0.016 0.706  0.022 0.577  0.049 0.436  0.095 0.299  0.097 0.154  0.097 0.009  0.097 -0.135  0.097 -0.280  0.097 -0.425  0.097 -0.570  0.097 -0.715  0.097 -0.860  0.106 -1.003  0.171 -1.132  0.172 -1.277  0.172 -1.422  0.118 -1.512  -0.027 -1.512  -0.141 -1.437  -0.262 -1.378  -0.368 -1.286  -0.489 -1.227  -0.494 -1.089  -0.463 -0.948  -0.433 -0.806  -0.402 -0.665  -0.371 -0.523  -0.340 -0.381  -0.310 -0.240  -0.279 -0.098  -0.248 0.043  -0.217 0.185  -0.186 0.326  -0.156 0.468  -0.112 0.593  0.033 0.593  0.178 0.593  0.323 0.593
1c#apa#apa01#app0100/i  -0.239 0.840  -0.239 0.705  -0.239 0.570  -0.358 0.553  -0.383 0.443  -0.383 0.308  -0.383 0.172  -0.383 0.037  -0.383 -0.098  -0.361 -0.230  -0.319 -0.358  -0.276 -0.486  -0.239 -0.615  -0.231 -0.747  -0.136 -0.843  -0.096 -0.962  -0.096 -1.097  -0.096 -1.232  -0.058 -1.352  0.038 -1.447  0.133 -1.372  0.192 -1.261  0.236 -1.170  0.360 -1.145  0.456 -1.049  0.479 -0.924  0.573 -0.883  0.622 -0.797  0.594 -0.667  0.545 -0.541  0.496 -0.415  0.447 -0.289  0.398 -0.163  0.349 -0.037  0.300 0.089  0.251 0.215  0.202 0.341  0.153 0.467  0.104 0.593  0.055 0.719  0.006 0.845  -0.043 0.971  -0.092 1.097  -0.141 1.223  -0.190 1.349  -0.239 1.475  -0.288 1.601  -0.337 1.727  -0.383 1.854  -0.383 1.989
1c#apa#apa01#app0100/g  0.189 0.986  0.118 1.087  0.028 1.130  -0.103 1.130  -0.234 1.130  -0.336 1.058  -0.392 0.979  -0.457 0.875  -0.529 0.815  -0.529 0.684  -0.476 0.574  -0.425 0.483  -0.385 0.392  -0.306 0.340  -0.175 0.340  -0.098 0.394  -0.026 0.453  0.046 0.555  0.105 0.627  0.118 0.746  0.152 0.842  0.189 0.936  0.189 1.048  0.189 0.917  0.189 0.786  0.189 0.654  0.189 0.523  0.189 0.392  0.189 0.261  0.189 0.129  0.189 -0.002  0.208 -0.129  0.261 -0.247  0.261 -0.379  0.261 -0.510  0.261 -0.641  0.261 -0.772  0.261 -0.904  0.261 -1.035  0.261 -1.166  0.261 -1.297  0.261 -1.429  0.189 -1.488  0.175 -1.613  0.068 -1.671  -0.063 -1.671  -0.195 -1.671  -0.301 -1.612  -0.415 -1.570  -0.457 -1.456
1c#apa#apa01#app0100/u  -1.254 1.016  -1.201 1.150  -1.015 1.150  -0.874 1.038  -0.697 1.016  -0.585 0.941  -0.585 0.755  -0.607 0.573  -0.690 0.406  -0.719 0.226  -0.719 0.040  -0.719 -0.147  -0.719 -0.333  -0.719 -0.520  -0.719 -0.707  -0.719 -0.893  -0.655 -1.053  -0.497 -1.123  -0.318 -1.116  -0.258 -0.989  -0.184 -0.876  -0.162 -0.699  -0.051 -0.558  0.008 -0.396  0.083 -0.241  0.083 -0.054  0.214 0.078  0.217 0.264  0.289 0.420  0.421 0.552  0.484 0.713  0.501 0.883  0.618 0.952  0.618 1.139  0.618 0.975  0.551 0.816  0.484 0.657  0.484 0.471  0.484 0.284  0.484 0.097  0.484 -0.089  0.484 -0.276  0.618 -0.329  0.618 -0.515  0.698 -0.669  0.830 -0.801  0.885 -0.964  1.019 -1.017  1.100 -1.123  1.287 -1.123
1c#apa#apa01#app0100/r  -0.356 1.476  -0.356 1.326  -0.356 1.176  -0.356 1.026  -0.356 0.876  -0.356 0.725  -0.356 0.575  -0.356 0.425  -0.356 0.275  -0.356 0.125  -0.356 -0.026  -0.356 -0.176  -0.356 -0.326  -0.356 -0.476  -0.356 -0.626  -0.356 -0.777  -0.356 -0.927  -0.356 -1.077  -0.345 -1.215  -0.198 -1.219  -0.198 -1.369  -0.198 -1.519  -0.198 -1.395  -0.198 -1.245  -0.198 -1.094  -0.311 -1.057  -0.356 -0.952  -0.356 -0.802  -0.356 -0.652  -0.356 -0.502  -0.284 -0.424  -0.198 -0.360  -0.198 -0.209  -0.164 -0.073  -0.058 0.033  -0.040 0.176  0.042 0.292  0.161 0.368  0.301 0.392  0.407 0.498  0.435 0.637  0.527 0.731  0.661 0.798  0.801 0.843  0.951 0.843  1.069 0.876  1.093 1.001  1.243 1.001  1.394 1.001  1.544 1.001
1c#apa#apa01#app0100/e  -0.521 0.046  -0.498 0.170  -0.396 0.215  -0.328 0.295  -0.181 0.295  -0.046 0.345  0.085 0.411  0.230 0.419  0.375 0.431  0.506 0.497  0.642 0.543  0.770 0.590  0.885 0.668  0.972 0.727  0.890 0.792  0.774 0.866  0.647 0.916  0.529 0.986  0.405 1.041  0.258 1.041  0.111 1.041  0.088 0.916  -0.059 0.916  -0.189 0.875  -0.293 0.771  -0.396 0.667  -0.462 0.536  -0.537 0.419  -0.645 0.380  -0.689 0.251  -0.769 0.137  -0.769 -0.010  -0.769 -0.157  -0.769 -0.304  -0.769 -0.451  -0.666 -0.555  -0.645 -0.693  -0.546 -0.799  -0.442 -0.903  -0.338 -1.007  -0.224 -1.097  -0.093 -1.163  0.026 -1.247  0.142 -1.322  0.289 -1.322  0.411 -1.383  0.531 -1.447  0.678 -1.447  0.825 -1.447  0.972 -1.447
1c#apa#apa01#app0100/l  0.007 1.577  0.007 1.650  0.007 1.584  0.007 1.511  0.007 1.438  0.007 1.365  0.007 1.292  -0.031 1.235  -0.069 1.178  -0.069 1.105  -0.069 1.032  -0.069 0.960  -0.069 0.887  -0.069 0.814  -0.069 0.741  -0.069 0.668  -0.069 0.595  -0.069 0.522  -0.069 0.450  -0.069 0.377  -0.069 0.304  -0.069 0.231  -0.069 0.158  -0.069 0.085  -0.069 0.012  -0.069 -0.060  -0.069 -0.133  -0.069 -0.206  -0.069 -0.279  -0.069 -0.352  -0.069 -0.425  -0.069 -0.497  -0.069 -0.570  -0.069 -0.643  -0.065 -0.715  -0.033 -0.780  -0.000 -0.845  0.007 -0.917  0.007 -0.989  0.007 -1.062  0.007 -1.135  0.027 -1.203  0.059 -1.269  0.083 -1.336  0.099 -1.392  0.172 -1.392  0.245 -1.392  0.318 -1.392  0.391 -1.392  0.464 -1.392
1c#apa#apa01#app0100/e  0.059 -0.177  0.146 -0.090  0.232 -0.004  0.318 0.082  0.436 0.094  0.465 0.187  0.521 0.285  0.600 0.375  0.600 0.497  0.720 0.499  0.735 0.606  0.735 0.728  0.735 0.850  0.687 0.952  0.600 1.039  0.514 1.125  0.413 1.174  0.290 1.174  0.168 1.174  0.050 1.165  -0.036 1.079  -0.122 0.993  -0.209 0.906  -0.295 0.820  -0.381 0.734  -0.468 0.647  -0.527 0.542  -0.582 0.433  -0.616 0.319  -0.616 0.197  -0.616 0.075  -0.616 -0.047  -0.616 -0.169  -0.616 -0.292  -0.616 -0.414  -0.553 -0.510  -0.481 -0.602  -0.481 -0.724  -0.481 -0.846  -0.399 -0.934  -0.313 -1.020  -0.227 -1.107  -0.211 -1.222  -0.149 -1.319  -0.060 -1.400  0.049 -1.455  0.159 -1.510  0.252 -1.585  0.342 -1.663  0.465 -1.663
1c#apa#apa01#app0100/a  -0.935 0.963  -0.935 1.110  -0.920 1.243  -0.773 1.243  -0.626 1.243  -0.479 1.243  -0.332 1.243  -0.184 1.243  -0.037 1.243  0.110 1.243  0.236 1.191  0.324 1.081  0.324 0.934  0.324 0.786  0.324 0.639  0.288 0.507  0.184 0.403  0.178 0.258  0.074 0.154  -0.030 0.050  -0.134 -0.054  -0.238 -0.158  -0.342 -0.263  -0.446 -0.367  -0.515 -0.485  -0.515 -0.632  -0.515 -0.780  -0.515 -0.927  -0.515 -1.074  -0.455 -1.196  -0.340 -1.275  -0.193 -1.275  -0.046 -1.275  0.101 -1.275  0.248 -1.275  0.324 -1.203  0.403 -1.135  0.525 -1.074  0.604 -0.960  0.604 -0.813  0.604 -0.665  0.604 -0.518  0.604 -0.371  0.604 -0.224  0.548 -0.100  0.464 0.013  0.438 0.149  0.334 0.253  0.324 0.396  0.324 0.543
1c#apa#apa01#app0100/n  -0.840 1.221  -0.840 1.064  -0.840 0.907  -0.840 0.751  -0.840 0.594  -0.840 0.438  -0.840 0.281  -0.840 0.125  -0.840 -0.032  -0.840 -0.188  -0.840 -0.345  -0.770 -0.485  -0.710 -0.627  -0.710 -0.784  -0.710 -0.940  -0.710 -1.097  -0.710 -1.003  -0.603 -0.891  -0.492 -0.780  -0.449 -0.642  -0.449 -0.485  -0.441 -0.330  -0.371 -0.190  -0.291 -0.057  -0.188 0.056  -0.162 0.202  -0.057 0.315  -0.033 0.462  0.078 0.573  0.189 0.683  0.334 0.703  0.365 0.829  0.505 0.869  0.616 0.939  0.726 0.829  0.752 0.699  0.856 0.646  0.856 0.489  0.961 0.438  0.987 0.307  0.987 0.150  0.987 -0.006  0.987 -0.163  0.987 -0.319  0.987 -0.476  0.987 -0.633  0.987 -0.789  0.987 -0.946  0.987 -1.102  0.987 -1.259
1c#apa#apa01#app0100/e  -0.751 -0.413  -0.597 -0.407  -0.486 -0.296  -0.376 -0.185  -0.247 -0.118  -0.111 -0.068  -0.000 0.043  0.111 0.154  0.258 0.176  0.375 0.271  0.510 0.324  0.640 0.389  0.751 0.500  0.862 0.610  0.870 0.764  0.870 0.920  0.870 1.077  0.844 1.208  0.688 1.208  0.531 1.208  0.390 1.170  0.279 1.061  0.125 1.053  0.014 0.942  -0.130 0.913  -0.162 0.788  -0.296 0.766  -0.411 0.664  -0.498 0.536  -0.568 0.396  -0.680 0.324  -0.751 0.239  -0.751 0.082  -0.751 -0.075  -0.751 -0.232  -0.751 -0.388  -0.658 -0.506  -0.604 -0.641  -0.524 -0.748  -0.384 -0.818  -0.309 -0.928  -0.251 -1.061  -0.134 -1.164  0.006 -1.234  0.143 -1.308  0.254 -1.418  0.400 -1.445  0.557 -1.445  0.713 -1.445  0.870 -1.445
1c#apa#apa01#app0100/d  0.142 -0.449  0.142 -0.214  0.142 0.021  0.142 0.256  0.051 0.400  -0.098 0.406  -0.309 0.329  -0.532 0.281  -0.715 0.154  -0.911 0.028  -1.044 -0.143  -1.044 -0.378  -1.044 -0.613  -1.044 -0.848  -0.918 -1.031  -0.707 -1.088  -0.479 -1.070  -0.312 -0.905  -0.119 -0.802  -0.018 -0.609  0.051 -0.402  0.142 -0.258  0.169 -0.029  0.275 0.181  0.347 0.395  0.449 0.588  0.535 0.793  0.600 1.012  0.689 1.210  0.689 1.446  0.659 1.650  0.515 1.741  0.416 1.605  0.324 1.407  0.233 1.210  0.142 1.013  0.119 0.783  0.051 0.564  -0.041 0.366  -0.041 0.131  -0.041 -0.104  -0.041 -0.339  -0.041 -0.574  -0.041 -0.810  -0.041 -1.045  0.114 -1.179  0.258 -1.270  0.493 -1.270  0.728 -1.270  0.963 -1.270
1c#apa#apa01#app0100/o  0.192 0.576  0.192 0.717  0.192 0.857  0.178 0.992  0.079 1.091  0.058 1.223  -0.060 1.245  -0.201 1.245  -0.209 1.114  -0.307 1.014  -0.407 0.914  -0.506 0.815  -0.605 0.715  -0.705 0.616  -0.745 0.492  -0.745 0.352  -0.745 0.211  -0.745 0.071  -0.745 -0.070  -0.745 -0.211  -0.745 -0.351  -0.745 -0.492  -0.742 -0.631  -0.643 -0.731  -0.611 -0.858  -0.539 -0.968  -0.440 -1.068  -0.339 -1.166  -0.214 -1.229  -0.088 -1.292  0.051 -1.298  0.192 -1.298  0.291 -1.199  0.390 -1.100  0.490 -1.000  0.589 -0.901  0.594 -0.762  0.657 -0.637  0.720 -0.511  0.728 -0.372  0.728 -0.232  0.728 -0.091  0.728 0.049  0.728 0.190  0.728 0.330  0.728 0.471  0.728 0.611  0.698 0.740  0.598 0.839  0.594 0.978
1c#apa#apa01#app0100/u  -1.038 1.040  -0.910 1.094  -0.804 1.168  -0.623 1.168  -0.442 1.168  -0.409 1.032  -0.528 0.900  -0.557 0.726  -0.638 0.565  -0.756 0.429  -0.884 0.301  -0.910 0.132  -0.910 -0.049  -0.910 -0.230  -0.910 -0.411  -0.910 -0.592  -0.801 -0.727  -0.655 -0.773  -0.574 -0.873  -0.395 -0.867  -0.265 -0.745  -0.145 -0.684  -0.064 -0.536  0.098 -0.490  0.128 -0.326  0.209 -0.164  0.237 0.010  0.358 0.141  0.365 0.319  0.365 0.500  0.381 0.674  0.492 0.809  0.492 0.990  0.492 0.909  0.492 0.729  0.492 0.548  0.377 0.415  0.365 0.239  0.365 0.058  0.365 -0.123  0.414 -0.284  0.492 -0.432  0.579 -0.577  0.707 -0.705  0.747 -0.869  0.906 -0.952  1.054 -1.052  1.204 -1.128  1.347 -1.218  1.513 -1.255
1c#apa#apa01#app0100/t  0.007 1.875  0.105 1.932  0.105 1.859  0.105 1.705  0.013 1.588  0.007 1.437  0.005 1.282  -0.044 1.136  -0.094 0.990  -0.163 0.852  -0.188 0.703  -0.188 0.549  -0.269 0.428  -0.286 0.280  -0.286 0.126  -0.351 -0.013  -0.383 -0.160  -0.383 -0.314  -0.481 -0.371  -0.481 -0.526  -0.481 -0.680  -0.481 -0.835  -0.448 -0.956  -0.293 -0.956  -0.139 -0.956  0.013 -0.962  0.129 -1.054  0.284 -1.054  0.438 -1.054  0.564 -1.123  0.707 -1.151  0.840 -1.203  0.831 -1.179  0.737 -1.057  0.642 -0.935  0.547 -0.813  0.452 -0.691  0.357 -0.569  0.262 -0.447  0.168 -0.325  0.073 -0.203  -0.022 -0.082  -0.117 0.040  -0.212 0.162  -0.306 0.284  -0.401 0.406  -0.456 0.508  -0.302 0.508  -0.147 0.508  0.007 0.508
