2#apb#apb27#app2729/a  0.785 0.636  0.727 0.719  0.590 0.785  0.467 0.915  0.339 1.043  0.167 1.085  -0.012 1.048  -0.187 0.996  -0.359 0.935  -0.531 0.875  -0.699 0.803  -0.859 0.716  -1.016 0.623  -1.151 0.508  -1.204 0.333  -1.298 0.177  -1.292 -0.001  -1.244 -0.177  -1.162 -0.339  -1.032 -0.462  -0.869 -0.519  -0.688 -0.499  -0.512 -0.451  -0.354 -0.362  -0.210 -0.252  -0.087 -0.117  0.042 0.012  0.177 0.134  0.292 0.276  0.329 0.446  0.371 0.585  0.329 0.415  0.268 0.245  0.215 0.070  0.130 -0.090  0.051 -0.254  -0.007 -0.427  -0.037 -0.607  -0.044 -0.789  -0.008 -0.966  0.163 -0.982  0.345 -0.971  0.525 -0.947  0.706 -0.922  0.880 -0.865  1.052 -0.805  1.222 -0.738  1.389 -0.665  1.561 -0.606  1.740 -0.567
2#apb#apb27#app2729/l  0.971 1.176  0.928 1.241  0.918 1.261  0.842 1.270  0.766 1.285  0.695 1.264  0.658 1.198  0.619 1.132  0.568 1.074  0.518 1.016  0.467 0.958  0.418 0.898  0.373 0.836  0.328 0.774  0.282 0.711  0.237 0.649  0.194 0.585  0.156 0.518  0.117 0.452  0.078 0.385  0.039 0.319  0.002 0.251  -0.032 0.182  -0.067 0.113  -0.101 0.044  -0.136 -0.024  -0.170 -0.093  -0.200 -0.164  -0.227 -0.237  -0.254 -0.309  -0.281 -0.381  -0.308 -0.453  -0.335 -0.525  -0.367 -0.595  -0.404 -0.663  -0.441 -0.730  -0.479 -0.797  -0.501 -0.870  -0.516 -0.946  -0.532 -1.021  -0.547 -1.097  -0.588 -1.162  -0.615 -1.232  -0.622 -1.297  -0.557 -1.273  -0.511 -1.211  -0.450 -1.169  -0.378 -1.140  -0.315 -1.101  -0.238 -1.101
2#apb#apb27#app2729/m  -0.302 1.077  -0.498 1.027  -0.600 0.821  -0.684 0.606  -0.761 0.389  -0.833 0.170  -0.921 -0.044  -0.999 -0.259  -1.037 -0.487  -1.102 -0.708  -1.137 -0.885  -1.251 -0.719  -1.227 -0.491  -1.131 -0.285  -0.998 -0.097  -0.825 0.055  -0.662 0.218  -0.491 0.373  -0.309 0.514  -0.129 0.657  0.045 0.806  0.149 0.864  0.112 0.638  0.048 0.417  -0.008 0.193  -0.050 -0.033  -0.090 -0.261  -0.131 -0.488  -0.180 -0.713  -0.180 -0.872  -0.042 -0.704  0.086 -0.512  0.226 -0.329  0.348 -0.134  0.462 0.067  0.565 0.273  0.679 0.473  0.809 0.663  0.916 0.865  1.022 0.835  1.085 0.616  1.121 0.389  1.163 0.162  1.192 -0.066  1.192 -0.297  1.157 -0.524  1.100 -0.747  1.046 -0.971  1.026 -1.200  1.026 -1.343
2#apb#apb27#app2729/n  -0.101 0.749  -0.157 0.813  -0.255 0.646  -0.356 0.474  -0.459 0.304  -0.557 0.131  -0.653 -0.043  -0.766 -0.206  -0.895 -0.357  -1.010 -0.519  -1.108 -0.692  -1.200 -0.868  -1.303 -1.008  -1.251 -0.817  -1.178 -0.632  -1.089 -0.454  -0.965 -0.299  -0.855 -0.133  -0.752 0.037  -0.626 0.191  -0.502 0.346  -0.384 0.506  -0.266 0.665  -0.118 0.797  0.055 0.875  0.233 0.934  0.347 0.777  0.372 0.584  0.341 0.388  0.298 0.194  0.254 0.000  0.221 -0.196  0.154 -0.383  0.089 -0.571  0.049 -0.765  0.086 -0.953  0.243 -0.959  0.367 -0.820  0.495 -0.672  0.632 -0.531  0.786 -0.405  0.937 -0.276  1.078 -0.136  1.202 0.019  1.309 0.186  1.393 0.365  1.442 0.558  1.446 0.757  1.446 0.754  1.532 0.641
2#apb#apb27#app2729/o  -0.152 0.501  -0.041 0.595  -0.041 0.744  -0.090 0.866  -0.227 0.849  -0.346 0.766  -0.449 0.661  -0.571 0.576  -0.659 0.455  -0.746 0.334  -0.823 0.207  -0.889 0.073  -0.939 -0.066  -0.972 -0.211  -0.990 -0.359  -1.005 -0.507  -0.967 -0.651  -0.924 -0.794  -0.820 -0.900  -0.702 -0.987  -0.566 -1.049  -0.431 -1.112  -0.285 -1.126  -0.136 -1.126  0.011 -1.116  0.150 -1.061  0.288 -1.006  0.425 -0.947  0.556 -0.876  0.687 -0.804  0.785 -0.693  0.878 -0.577  0.942 -0.446  0.979 -0.302  1.002 -0.156  0.981 -0.009  0.960 0.139  0.931 0.285  0.898 0.431  0.858 0.573  0.782 0.701  0.705 0.829  0.592 0.927  0.470 1.002  0.322 1.021  0.177 0.994  0.033 0.955  -0.101 0.892  -0.224 0.810  -0.317 0.694
2#apb#apb27#app2729/p  0.102 0.570  0.126 0.794  0.027 0.991  -0.165 0.896  -0.259 0.693  -0.315 0.475  -0.366 0.256  -0.429 0.040  -0.492 -0.176  -0.556 -0.392  -0.621 -0.607  -0.687 -0.823  -0.756 -1.037  -0.821 -1.252  -0.861 -1.473  -0.788 -1.593  -0.646 -1.419  -0.576 -1.210  -0.526 -0.990  -0.476 -0.771  -0.426 -0.552  -0.375 -0.332  -0.325 -0.113  -0.275 0.107  -0.225 0.326  -0.175 0.546  -0.125 0.765  -0.177 0.911  -0.048 1.043  0.172 1.065  0.391 1.018  0.608 0.959  0.828 0.915  1.041 0.846  1.246 0.752  1.426 0.618  1.534 0.431  1.479 0.216  1.311 0.065  1.123 -0.054  0.920 -0.150  0.710 -0.231  0.496 -0.299  0.278 -0.353  0.054 -0.378  -0.170 -0.395  -0.395 -0.395  -0.586 -0.283  -0.688 -0.096  -0.541 0.075
2#apb#apb27#app2729/q  0.436 0.301  0.524 0.478  0.603 0.665  0.706 0.824  0.724 1.009  0.594 1.144  0.405 1.208  0.206 1.234  0.010 1.278  -0.190 1.252  -0.385 1.196  -0.546 1.086  -0.694 0.946  -0.765 0.760  -0.706 0.572  -0.555 0.439  -0.365 0.378  -0.166 0.372  0.033 0.418  0.230 0.468  0.414 0.554  0.575 0.675  0.640 0.621  0.625 0.582  0.495 0.600  0.348 0.459  0.198 0.322  0.067 0.167  -0.060 0.008  -0.183 -0.155  -0.302 -0.319  -0.412 -0.490  -0.499 -0.674  -0.575 -0.862  -0.627 -1.059  -0.676 -1.254  -0.544 -1.408  -0.394 -1.529  -0.191 -1.524  0.007 -1.478  0.198 -1.408  0.373 -1.308  0.496 -1.156  0.492 -0.961  0.372 -0.810  0.199 -0.709  0.003 -0.659  -0.199 -0.684  -0.399 -0.720  -0.540 -0.849
2#apb#apb27#app2729/r  0.321 1.039  0.305 1.124  0.188 1.085  0.120 0.966  0.038 0.855  -0.046 0.747  -0.106 0.623  -0.160 0.497  -0.214 0.370  -0.268 0.244  -0.325 0.118  -0.382 -0.007  -0.439 -0.133  -0.496 -0.258  -0.562 -0.379  -0.631 -0.497  -0.701 -0.616  -0.771 -0.734  -0.844 -0.851  -0.916 -0.969  -0.986 -1.087  -1.052 -1.208  -1.017 -1.129  -0.932 -1.020  -0.855 -0.907  -0.793 -0.784  -0.732 -0.661  -0.670 -0.538  -0.587 -0.429  -0.498 -0.324  -0.409 -0.219  -0.308 -0.125  -0.206 -0.033  -0.106 0.062  -0.009 0.159  0.090 0.252  0.225 0.281  0.360 0.310  0.496 0.329  0.633 0.342  0.770 0.346  0.908 0.346  1.043 0.366  1.178 0.393  1.315 0.411  1.448 0.443  1.582 0.466  1.635 0.348  1.635 0.210  1.730 0.179
2#apb#apb27#app2729/s  1.387 0.428  1.384 0.538  1.375 0.651  1.285 0.722  1.200 0.795  1.093 0.845  0.976 0.850  0.858 0.850  0.739 0.850  0.622 0.859  0.504 0.869  0.388 0.856  0.274 0.826  0.160 0.796  0.046 0.766  -0.069 0.737  -0.183 0.709  -0.301 0.699  -0.419 0.689  -0.519 0.638  -0.606 0.560  -0.649 0.450  -0.648 0.332  -0.595 0.226  -0.530 0.133  -0.426 0.076  -0.325 0.015  -0.232 -0.057  -0.138 -0.129  -0.044 -0.201  0.045 -0.278  0.134 -0.356  0.205 -0.450  0.266 -0.549  0.286 -0.665  0.237 -0.771  0.156 -0.852  0.058 -0.918  -0.047 -0.969  -0.160 -1.004  -0.273 -1.038  -0.390 -1.039  -0.507 -1.030  -0.625 -1.021  -0.743 -1.012  -0.861 -1.003  -0.963 -0.955  -1.057 -0.883  -1.156 -0.820  -1.211 -0.765
2#apb#apb27#app2729/t  0.022 0.551  -0.067 0.717  -0.163 0.722  -0.297 0.788  -0.322 0.775  -0.334 0.762  -0.268 0.773  -0.098 0.857  -0.252 0.775  -0.429 0.592  -0.598 0.401  -0.700 0.167  -0.779 -0.074  -0.807 -0.326  -0.790 -0.577  -0.659 -0.786  -0.443 -0.921  -0.210 -1.017  0.039 -1.072  0.292 -1.075  0.547 -1.062  0.799 -1.029  1.052 -0.991  1.277 -0.874  1.495 -0.742  1.599 -0.560  1.363 -0.576  1.129 -0.638  0.890 -0.549  0.652 -0.460  0.413 -0.371  0.174 -0.281  -0.065 -0.192  -0.304 -0.103  -0.543 -0.014  -0.782 0.075  -1.021 0.164  -1.260 0.253  -1.394 0.388  -1.176 0.487  -0.926 0.537  -0.675 0.580  -0.423 0.620  -0.172 0.626  0.078 0.574  0.328 0.526  0.579 0.482  0.828 0.425  1.075 0.361  1.325 0.314
2#apb#apb27#app2729/u  -0.393 0.468  -0.443 0.564  -0.483 0.700  -0.515 0.838  -0.543 0.958  -0.579 1.015  -0.690 0.946  -0.757 0.819  -0.828 0.692  -0.900 0.565  -0.970 0.438  -1.050 0.316  -1.130 0.195  -1.184 0.060  -1.228 -0.078  -1.246 -0.223  -1.246 -0.368  -1.180 -0.495  -1.051 -0.554  -0.914 -0.604  -0.770 -0.596  -0.626 -0.578  -0.481 -0.559  -0.337 -0.541  -0.192 -0.523  -0.053 -0.490  0.076 -0.422  0.205 -0.354  0.334 -0.286  0.471 -0.237  0.608 -0.189  0.745 -0.140  0.866 -0.059  0.983 0.027  1.086 0.128  1.175 0.243  1.273 0.351  1.306 0.476  1.184 0.487  1.071 0.400  0.984 0.284  0.925 0.151  0.873 0.015  0.835 -0.125  0.814 -0.269  0.781 -0.411  0.762 -0.554  0.762 -0.700  0.782 -0.843  0.888 -0.937
2#apb#apb27#app2729/v  -0.600 0.986  -0.549 1.086  -0.489 1.064  -0.473 0.953  -0.475 0.841  -0.483 0.728  -0.491 0.616  -0.513 0.505  -0.535 0.395  -0.557 0.284  -0.580 0.174  -0.619 0.068  -0.658 -0.038  -0.697 -0.144  -0.737 -0.249  -0.784 -0.351  -0.831 -0.454  -0.873 -0.558  -0.905 -0.666  -0.939 -0.774  -0.970 -0.881  -0.870 -0.864  -0.761 -0.833  -0.661 -0.783  -0.555 -0.759  -0.446 -0.739  -0.343 -0.694  -0.239 -0.651  -0.134 -0.610  -0.029 -0.570  0.072 -0.519  0.171 -0.466  0.271 -0.413  0.362 -0.348  0.447 -0.274  0.532 -0.200  0.617 -0.125  0.703 -0.053  0.791 0.018  0.879 0.088  0.967 0.158  1.047 0.238  1.123 0.321  1.199 0.404  1.270 0.491  1.338 0.581  1.408 0.669  1.478 0.758  1.541 0.820  1.581 0.768
2#apb#apb27#app2729/w  -0.937 0.929  -0.994 0.929  -1.035 0.785  -1.067 0.639  -1.097 0.493  -1.127 0.347  -1.158 0.201  -1.183 0.053  -1.205 -0.094  -1.222 -0.243  -1.208 -0.392  -1.189 -0.540  -1.112 -0.648  -0.967 -0.619  -0.826 -0.571  -0.682 -0.535  -0.542 -0.491  -0.421 -0.403  -0.295 -0.324  -0.164 -0.253  -0.057 -0.149  0.037 -0.034  0.109 0.097  0.182 0.227  0.203 0.371  0.213 0.510  0.209 0.394  0.185 0.248  0.127 0.110  0.098 -0.037  0.072 -0.184  0.051 -0.331  0.051 -0.481  0.093 -0.611  0.241 -0.601  0.385 -0.561  0.514 -0.489  0.640 -0.408  0.756 -0.315  0.869 -0.217  0.981 -0.118  1.087 -0.013  1.189 0.096  1.279 0.215  1.364 0.338  1.437 0.468  1.355 0.510  1.460 0.512  1.596 0.567  1.705 0.624
2#apb#apb27#app2729/x  -1.125 1.063  -1.235 1.129  -1.091 1.025  -0.970 0.891  -0.845 0.761  -0.712 0.640  -0.583 0.515  -0.471 0.373  -0.360 0.231  -0.239 0.098  -0.111 -0.029  0.013 -0.159  0.118 -0.306  0.222 -0.453  0.319 -0.605  0.412 -0.759  0.538 -0.888  0.630 -1.042  0.708 -1.044  0.722 -0.865  0.737 -0.685  0.751 -0.506  0.766 -0.326  0.781 -0.146  0.795 0.033  0.810 0.213  0.825 0.393  0.839 0.572  0.854 0.752  0.868 0.931  0.883 1.111  0.768 1.047  0.609 0.964  0.523 0.808  0.443 0.647  0.345 0.495  0.248 0.344  0.136 0.203  0.013 0.072  -0.110 -0.060  -0.230 -0.195  -0.348 -0.331  -0.466 -0.467  -0.599 -0.588  -0.738 -0.703  -0.880 -0.814  -1.022 -0.923  -1.150 -1.051  -1.265 -1.130  -1.125 -1.235
2#apb#apb27#app2729/y  -0.570 0.943  -0.713 0.909  -0.837 0.837  -0.931 0.724  -0.997 0.592  -1.052 0.455  -1.073 0.311  -1.048 0.167  -0.998 0.031  -0.877 -0.053  -0.746 -0.107  -0.598 -0.107  -0.451 -0.100  -0.306 -0.072  -0.161 -0.045  -0.018 -0.009  0.112 0.060  0.243 0.128  0.374 0.197  0.494 0.283  0.611 0.373  0.728 0.463  0.835 0.564  0.940 0.669  1.032 0.783  1.103 0.912  1.095 1.041  0.990 0.950  0.897 0.835  0.809 0.717  0.722 0.598  0.636 0.478  0.552 0.356  0.477 0.229  0.401 0.102  0.326 -0.025  0.260 -0.157  0.201 -0.292  0.142 -0.428  0.084 -0.563  0.025 -0.699  -0.046 -0.828  -0.119 -0.957  -0.192 -1.085  -0.262 -1.215  -0.313 -1.354  -0.365 -1.492  -0.431 -1.624  -0.501 -1.754  -0.486 -1.743
2#apb#apb27#app2729/z  -0.897 0.456  -1.057 0.492  -1.051 0.534  -0.883 0.576  -0.711 0.600  -0.538 0.619  -0.365 0.639  -0.192 0.666  -0.021 0.695  0.151 0.723  0.325 0.731  0.500 0.739  0.673 0.751  0.845 0.778  1.018 0.767  0.962 0.667  0.809 0.584  0.652 0.509  0.484 0.463  0.326 0.389  0.171 0.311  0.006 0.255  -0.161 0.206  -0.315 0.128  -0.463 0.036  -0.613 -0.052  -0.767 -0.135  -0.916 -0.225  -1.062 -0.320  -1.205 -0.420  -1.334 -0.536  -1.240 -0.540  -1.070 -0.522  -0.900 -0.558  -0.727 -0.572  -0.553 -0.572  -0.379 -0.580  -0.206 -0.601  -0.033 -0.621  0.140 -0.634  0.315 -0.634  0.489 -0.634  0.663 -0.634  0.838 -0.634  1.010 -0.621  1.180 -0.581  1.353 -0.557  1.524 -0.572  1.552 -0.720  1.673 -0.839
