2#apb#apb14#app1458/H  -1.175 0.769  -1.132 1.019  -1.017 0.796  -0.955 0.547  -0.906 0.294  -0.857 0.041  -0.801 -0.210  -0.752 -0.463  -0.713 -0.716  -0.845 -0.926  -0.613 -0.833  -0.374 -0.736  -0.136 -0.639  0.102 -0.541  0.341 -0.444  0.579 -0.347  0.818 -0.249  1.056 -0.152  1.294 -0.055  1.533 0.042  1.731 0.139  1.475 0.129  1.221 0.090  0.967 0.049  0.711 0.023  0.455 -0.003  0.200 -0.040  -0.055 -0.077  -0.312 -0.088  -0.569 -0.097  -0.826 -0.108  -1.084 -0.120  -1.339 -0.152  -1.309 -0.128  -1.100 0.022  -0.891 0.172  -0.681 0.322  -0.472 0.472  -0.263 0.622  -0.054 0.772  0.154 0.923  0.329 0.924  0.458 0.701  0.568 0.469  0.676 0.235  0.782 0.001  0.875 -0.239  0.960 -0.482  0.992 -0.737  0.955 -0.989
2#apb#apb14#app1458/C  0.227 1.122  0.205 1.045  0.249 0.928  0.316 0.821  0.401 0.726  0.496 0.650  0.622 0.630  0.742 0.597  0.841 0.676  0.926 0.771  0.885 0.867  0.767 0.917  0.645 0.910  0.520 0.881  0.396 0.851  0.273 0.818  0.150 0.785  0.040 0.719  -0.068 0.652  -0.176 0.584  -0.282 0.511  -0.386 0.438  -0.490 0.364  -0.592 0.287  -0.690 0.205  -0.787 0.122  -0.869 0.026  -0.936 -0.083  -1.003 -0.192  -1.014 -0.319  -1.024 -0.446  -1.012 -0.574  -0.974 -0.689  -0.883 -0.779  -0.774 -0.842  -0.657 -0.892  -0.538 -0.939  -0.413 -0.966  -0.288 -0.992  -0.161 -0.998  -0.034 -0.998  0.094 -0.996  0.221 -0.979  0.347 -0.962  0.471 -0.931  0.592 -0.891  0.716 -0.863  0.843 -0.850  0.971 -0.850  1.096 -0.871
2#apb#apb14#app1458/a  0.751 1.322  0.687 1.377  0.559 1.330  0.439 1.264  0.319 1.199  0.200 1.131  0.089 1.050  -0.021 0.969  -0.132 0.887  -0.242 0.806  -0.346 0.718  -0.436 0.614  -0.525 0.511  -0.615 0.407  -0.705 0.303  -0.787 0.195  -0.836 0.067  -0.886 -0.061  -0.935 -0.189  -0.981 -0.318  -1.024 -0.448  -1.057 -0.578  -1.014 -0.708  -0.933 -0.805  -0.814 -0.873  -0.705 -0.953  -0.586 -0.885  -0.467 -0.817  -0.368 -0.722  -0.271 -0.625  -0.193 -0.513  -0.123 -0.396  -0.052 -0.278  0.012 -0.157  0.073 -0.034  0.134 0.088  0.207 0.204  0.328 0.193  0.442 0.117  0.544 0.027  0.632 -0.078  0.717 -0.186  0.799 -0.295  0.881 -0.405  0.958 -0.518  1.034 -0.633  1.146 -0.713  1.257 -0.792  1.383 -0.845  1.462 -0.954
2#apb#apb14#app1458/r  -1.168 0.604  -1.117 0.524  -1.066 0.443  -1.015 0.363  -0.976 0.277  -0.954 0.184  -0.933 0.091  -0.911 -0.002  -0.900 -0.096  -0.893 -0.191  -0.885 -0.286  -0.875 -0.381  -0.839 -0.469  -0.804 -0.558  -0.769 -0.647  -0.739 -0.737  -0.721 -0.830  -0.667 -0.870  -0.600 -0.802  -0.532 -0.735  -0.465 -0.667  -0.401 -0.597  -0.340 -0.523  -0.280 -0.449  -0.220 -0.375  -0.157 -0.303  -0.092 -0.233  -0.027 -0.163  0.037 -0.093  0.102 -0.023  0.175 0.037  0.252 0.094  0.329 0.150  0.406 0.207  0.483 0.263  0.563 0.314  0.646 0.362  0.729 0.409  0.812 0.456  0.895 0.502  0.987 0.529  1.078 0.556  1.170 0.572  1.262 0.547  1.354 0.522  1.445 0.495  1.529 0.450  1.613 0.405  1.697 0.360  1.781 0.314
2#apb#apb14#app1458/o  -0.342 1.084  -0.360 1.009  -0.461 0.941  -0.548 0.862  -0.598 0.751  -0.649 0.641  -0.699 0.530  -0.743 0.417  -0.778 0.301  -0.814 0.184  -0.850 0.068  -0.876 -0.049  -0.858 -0.169  -0.839 -0.289  -0.821 -0.409  -0.801 -0.529  -0.734 -0.630  -0.666 -0.731  -0.599 -0.832  -0.515 -0.918  -0.420 -0.994  -0.317 -1.057  -0.208 -1.112  -0.094 -1.140  0.028 -1.140  0.140 -1.118  0.226 -1.032  0.312 -0.946  0.398 -0.860  0.484 -0.774  0.570 -0.688  0.633 -0.589  0.669 -0.473  0.705 -0.356  0.740 -0.240  0.770 -0.123  0.770 -0.002  0.770 0.120  0.770 0.242  0.770 0.363  0.768 0.484  0.748 0.604  0.728 0.724  0.708 0.844  0.676 0.959  0.611 1.062  0.547 1.166  0.467 1.248  0.350 1.281  0.233 1.315
2#apb#apb14#app1458/l  -0.505 1.180  -0.472 1.245  -0.440 1.309  -0.408 1.374  -0.357 1.420  -0.302 1.389  -0.267 1.326  -0.231 1.263  -0.195 1.200  -0.165 1.135  -0.144 1.066  -0.123 0.997  -0.102 0.928  -0.081 0.858  -0.059 0.789  -0.042 0.719  -0.035 0.647  -0.028 0.576  -0.021 0.504  -0.014 0.432  -0.007 0.360  -0.000 0.288  0.007 0.216  0.015 0.144  0.025 0.072  0.035 0.001  0.045 -0.071  0.056 -0.142  0.066 -0.214  0.076 -0.285  0.086 -0.357  0.098 -0.428  0.109 -0.500  0.121 -0.571  0.132 -0.642  0.144 -0.714  0.155 -0.785  0.164 -0.857  0.171 -0.929  0.178 -1.001  0.185 -1.073  0.192 -1.145  0.202 -1.216  0.213 -1.288  0.224 -1.359  0.235 -1.430  0.253 -1.501  0.270 -1.571  0.270 -1.643  0.270 -1.715
2#apb#apb14#app1458/i  -0.648 0.074  -0.630 0.006  -0.609 -0.094  -0.590 -0.194  -0.570 -0.294  -0.553 -0.395  -0.553 -0.496  -0.553 -0.598  -0.549 -0.700  -0.543 -0.802  -0.536 -0.904  -0.525 -1.005  -0.514 -1.106  -0.505 -1.208  -0.505 -1.310  -0.474 -1.272  -0.431 -1.180  -0.388 -1.087  -0.345 -0.995  -0.302 -0.903  -0.259 -0.810  -0.216 -0.718  -0.172 -0.625  -0.129 -0.533  -0.086 -0.441  -0.043 -0.348  0.000 -0.256  0.043 -0.164  0.086 -0.071  0.130 0.021  0.173 0.113  0.216 0.206  0.259 0.298  0.302 0.390  0.345 0.483  0.388 0.575  0.431 0.668  0.475 0.760  0.518 0.852  0.561 0.945  0.604 1.037  0.647 1.129  0.690 1.222  0.733 1.314  0.777 1.406  0.820 1.499  0.811 1.517  0.764 1.430  0.739 1.332  0.716 1.232
2#apb#apb14#app1458/n  -1.057 0.256  -1.000 0.153  -0.943 0.050  -0.899 -0.059  -0.865 -0.171  -0.830 -0.284  -0.811 -0.399  -0.811 -0.516  -0.811 -0.634  -0.804 -0.751  -0.787 -0.868  -0.784 -0.940  -0.784 -0.822  -0.799 -0.705  -0.807 -0.589  -0.789 -0.472  -0.771 -0.356  -0.746 -0.242  -0.693 -0.137  -0.641 -0.031  -0.588 0.074  -0.531 0.177  -0.470 0.278  -0.410 0.379  -0.349 0.480  -0.273 0.568  -0.183 0.643  -0.092 0.718  -0.002 0.794  0.113 0.802  0.231 0.802  0.347 0.787  0.461 0.761  0.576 0.734  0.681 0.687  0.775 0.616  0.869 0.545  0.964 0.475  1.027 0.376  1.090 0.276  1.153 0.177  1.173 0.061  1.190 -0.055  1.208 -0.172  1.231 -0.287  1.254 -0.403  1.264 -0.519  1.264 -0.637  1.247 -0.752  1.210 -0.864
2#apb#apb14#app1458/a  -0.343 0.916  -0.434 0.871  -0.521 0.820  -0.606 0.763  -0.690 0.707  -0.762 0.639  -0.816 0.553  -0.869 0.467  -0.923 0.380  -0.978 0.295  -1.034 0.211  -1.090 0.126  -1.119 0.029  -1.136 -0.070  -1.136 -0.171  -1.067 -0.233  -0.967 -0.250  -0.867 -0.238  -0.778 -0.201  -0.706 -0.129  -0.634 -0.058  -0.555 0.006  -0.472 0.064  -0.389 0.122  -0.309 0.184  -0.229 0.247  -0.145 0.304  -0.057 0.333  0.033 0.287  0.118 0.232  0.201 0.174  0.282 0.113  0.344 0.033  0.406 -0.047  0.477 -0.119  0.553 -0.187  0.630 -0.253  0.720 -0.298  0.811 -0.344  0.902 -0.390  0.989 -0.441  1.077 -0.492  1.166 -0.540  1.264 -0.565  1.362 -0.590  1.461 -0.614  1.559 -0.639  1.658 -0.663  1.758 -0.670  1.860 -0.670
2#apb#apb14#app1458/W  -1.285 0.776  -1.316 0.854  -1.270 0.738  -1.232 0.620  -1.203 0.498  -1.175 0.377  -1.136 0.259  -1.095 0.141  -1.053 0.023  -1.006 -0.092  -0.959 -0.207  -0.909 -0.321  -0.837 -0.423  -0.763 -0.523  -0.675 -0.611  -0.583 -0.665  -0.507 -0.570  -0.455 -0.457  -0.420 -0.338  -0.383 -0.219  -0.346 -0.099  -0.308 0.019  -0.292 0.132  -0.188 0.085  -0.105 -0.008  -0.022 -0.101  0.062 -0.193  0.147 -0.285  0.239 -0.368  0.335 -0.448  0.434 -0.523  0.541 -0.588  0.656 -0.629  0.779 -0.641  0.901 -0.631  0.993 -0.549  1.048 -0.438  1.086 -0.321  1.096 -0.197  1.102 -0.072  1.102 0.052  1.102 0.177  1.089 0.301  1.077 0.425  1.065 0.549  1.026 0.667  0.985 0.785  0.942 0.902  0.886 1.013  0.830 1.125
2#apb#apb14#app1458/e  -1.020 0.652  -1.064 0.513  -1.059 0.348  -1.034 0.183  -0.998 0.021  -0.949 -0.138  -0.890 -0.293  -0.806 -0.437  -0.719 -0.579  -0.601 -0.697  -0.484 -0.815  -0.349 -0.910  -0.202 -0.989  -0.051 -1.058  0.111 -1.095  0.273 -1.132  0.437 -1.165  0.602 -1.182  0.769 -1.182  0.922 -1.128  1.034 -1.079  0.928 -0.951  0.821 -0.823  0.715 -0.695  0.608 -0.566  0.502 -0.438  0.395 -0.310  0.289 -0.182  0.182 -0.054  0.076 0.075  -0.031 0.203  -0.138 0.331  -0.244 0.459  -0.351 0.587  -0.339 0.734  -0.277 0.889  -0.183 1.026  -0.088 1.163  0.034 1.267  0.191 1.321  0.356 1.340  0.520 1.317  0.548 1.154  0.531 0.988  0.470 0.844  0.348 0.731  0.225 0.618  0.109 0.499  -0.004 0.376  -0.116 0.254
2#apb#apb14#app1458/s  -0.141 1.654  -0.185 1.551  -0.231 1.450  -0.293 1.357  -0.355 1.265  -0.417 1.172  -0.481 1.081  -0.548 0.992  -0.615 0.903  -0.682 0.814  -0.746 0.723  -0.810 0.632  -0.874 0.540  -0.893 0.432  -0.907 0.321  -0.863 0.221  -0.771 0.165  -0.669 0.120  -0.565 0.082  -0.456 0.057  -0.347 0.032  -0.239 0.009  -0.127 0.002  -0.016 -0.005  0.095 -0.012  0.206 -0.017  0.318 -0.017  0.429 -0.017  0.541 -0.017  0.649 -0.034  0.755 -0.070  0.858 -0.110  0.945 -0.179  0.982 -0.273  0.982 -0.384  0.959 -0.489  0.895 -0.580  0.831 -0.671  0.758 -0.753  0.667 -0.818  0.577 -0.883  0.486 -0.947  0.394 -1.010  0.294 -1.060  0.195 -1.110  0.095 -1.160  -0.007 -1.203  -0.116 -1.228  -0.224 -1.253  -0.333 -1.278
2#apb#apb14#app1458/t  -0.738 1.528  -0.609 1.411  -0.480 1.294  -0.398 1.144  -0.334 0.983  -0.269 0.821  -0.207 0.659  -0.147 0.495  -0.088 0.332  -0.028 0.168  0.032 0.005  0.094 -0.158  0.151 -0.322  0.200 -0.489  0.250 -0.656  0.311 -0.818  0.382 -0.977  0.450 -1.137  0.320 -1.068  0.171 -0.977  0.023 -0.887  -0.126 -0.796  -0.275 -0.706  -0.423 -0.615  -0.572 -0.525  -0.721 -0.435  -0.869 -0.344  -1.018 -0.254  -1.167 -0.163  -1.315 -0.073  -1.273 -0.009  -1.105 0.037  -0.932 0.056  -0.759 0.072  -0.586 0.088  -0.412 0.103  -0.239 0.116  -0.065 0.129  0.108 0.143  0.282 0.152  0.456 0.158  0.630 0.165  0.804 0.171  0.977 0.175  1.152 0.175  1.326 0.175  1.500 0.175  1.673 0.169  1.847 0.159  2.021 0.149
2#apb#apb14#app1458/V  -0.860 1.609  -0.810 1.562  -0.773 1.468  -0.739 1.372  -0.705 1.276  -0.684 1.178  -0.673 1.077  -0.662 0.976  -0.652 0.875  -0.627 0.776  -0.601 0.678  -0.576 0.580  -0.550 0.481  -0.522 0.384  -0.493 0.286  -0.463 0.189  -0.434 0.092  -0.404 -0.005  -0.378 -0.103  -0.353 -0.202  -0.327 -0.300  -0.301 -0.398  -0.271 -0.495  -0.238 -0.591  -0.204 -0.687  -0.171 -0.783  -0.143 -0.880  -0.118 -0.979  -0.082 -1.072  -0.024 -1.141  0.052 -1.077  0.118 -1.000  0.194 -0.933  0.265 -0.861  0.325 -0.779  0.384 -0.697  0.457 -0.626  0.532 -0.558  0.607 -0.489  0.670 -0.409  0.730 -0.327  0.790 -0.245  0.853 -0.166  0.922 -0.091  0.990 -0.016  1.060 0.058  1.132 0.129  1.204 0.201  1.252 0.288  1.302 0.376
2#apb#apb14#app1458/i  -0.334 0.362  -0.364 0.460  -0.406 0.361  -0.455 0.263  -0.502 0.164  -0.549 0.065  -0.601 -0.031  -0.655 -0.127  -0.704 -0.225  -0.739 -0.329  -0.774 -0.433  -0.807 -0.537  -0.840 -0.642  -0.857 -0.749  -0.857 -0.859  -0.865 -0.968  -0.872 -1.077  -0.845 -1.119  -0.770 -1.039  -0.695 -0.959  -0.620 -0.879  -0.544 -0.799  -0.469 -0.719  -0.394 -0.639  -0.319 -0.559  -0.244 -0.479  -0.169 -0.399  -0.094 -0.319  -0.019 -0.239  0.056 -0.159  0.131 -0.079  0.206 0.001  0.281 0.081  0.356 0.161  0.431 0.241  0.506 0.321  0.581 0.401  0.656 0.481  0.731 0.561  0.806 0.641  0.881 0.721  0.956 0.801  1.031 0.881  1.106 0.961  1.181 1.041  1.256 1.121  1.327 1.204  1.306 1.130  1.300 1.021  1.277 0.914
2#apb#apb14#app1458/r  -0.371 0.521  -0.371 0.406  -0.392 0.294  -0.426 0.184  -0.459 0.074  -0.496 -0.035  -0.537 -0.143  -0.577 -0.251  -0.617 -0.359  -0.651 -0.469  -0.677 -0.581  -0.703 -0.693  -0.728 -0.805  -0.750 -0.918  -0.773 -1.031  -0.774 -1.146  -0.774 -1.129  -0.774 -1.014  -0.765 -0.900  -0.746 -0.786  -0.727 -0.673  -0.689 -0.565  -0.640 -0.461  -0.591 -0.357  -0.543 -0.252  -0.475 -0.160  -0.403 -0.070  -0.330 0.019  -0.257 0.108  -0.185 0.198  -0.098 0.273  -0.010 0.348  0.077 0.423  0.165 0.498  0.263 0.556  0.366 0.608  0.469 0.659  0.572 0.709  0.687 0.717  0.802 0.725  0.917 0.734  1.029 0.714  1.141 0.686  1.252 0.658  1.353 0.603  1.453 0.545  1.552 0.487  1.646 0.421  1.737 0.350  1.828 0.280
2#apb#apb14#app1458/g  -0.018 1.259  -0.114 1.389  -0.256 1.462  -0.418 1.475  -0.560 1.409  -0.696 1.319  -0.807 1.201  -0.908 1.074  -1.001 0.940  -1.086 0.801  -1.073 0.644  -0.994 0.502  -0.854 0.423  -0.702 0.367  -0.543 0.333  -0.383 0.301  -0.222 0.274  -0.061 0.247  0.099 0.221  0.260 0.194  0.421 0.167  0.556 0.082  0.683 -0.020  0.779 -0.148  0.856 -0.291  0.863 -0.448  0.840 -0.609  0.729 -0.728  0.618 -0.848  0.482 -0.936  0.342 -1.020  0.188 -1.071  0.032 -1.117  -0.128 -1.138  -0.291 -1.138  -0.431 -1.055  -0.549 -0.947  -0.513 -0.795  -0.401 -0.682  -0.262 -0.595  -0.123 -0.510  0.018 -0.430  0.160 -0.349  0.309 -0.285  0.464 -0.233  0.619 -0.183  0.778 -0.150  0.938 -0.116  1.101 -0.113  1.262 -0.132
2#apb#apb14#app1458/i  -0.822 0.237  -0.710 0.208  -0.631 0.120  -0.552 0.033  -0.493 -0.065  -0.460 -0.178  -0.427 -0.291  -0.395 -0.405  -0.366 -0.519  -0.338 -0.633  -0.314 -0.748  -0.298 -0.865  -0.283 -0.982  -0.269 -1.099  -0.255 -1.216  -0.222 -1.329  -0.215 -1.446  -0.228 -1.452  -0.197 -1.338  -0.166 -1.224  -0.135 -1.111  -0.105 -0.997  -0.074 -0.883  -0.043 -0.770  -0.013 -0.656  0.018 -0.542  0.049 -0.428  0.080 -0.315  0.110 -0.201  0.141 -0.087  0.172 0.026  0.203 0.140  0.233 0.254  0.264 0.367  0.295 0.481  0.325 0.595  0.356 0.708  0.387 0.822  0.418 0.936  0.448 1.049  0.479 1.163  0.510 1.277  0.541 1.390  0.571 1.504  0.602 1.618  0.508 1.552  0.425 1.471  0.359 1.374  0.292 1.276  0.225 1.179
