3#apa#apa09#app0979/!  0.293 1.233  0.260 1.299  0.227 1.364  0.194 1.430  0.161 1.490  0.128 1.424  0.096 1.358  0.063 1.293  0.033 1.226  0.033 1.153  0.033 1.080  0.033 1.006  0.033 0.933  0.033 0.859  0.033 0.786  0.033 0.713  0.033 0.639  0.033 0.566  0.033 0.492  0.033 0.419  0.033 0.345  0.033 0.272  0.033 0.199  0.033 0.125  0.033 0.052  0.033 -0.022  0.033 -0.095  0.033 -0.168  0.012 -0.237  -0.021 -0.302  -0.054 -0.368  -0.087 -0.434  -0.097 -0.505  -0.097 -0.578  -0.097 -0.652  -0.097 -0.725  -0.097 -0.798  -0.097 -0.872  -0.097 -0.945  -0.097 -1.019  -0.097 -1.092  -0.097 -1.165  -0.097 -1.239  -0.097 -1.312  -0.097 -1.386  -0.097 -1.459  -0.097 -1.532  -0.097 -1.606  -0.153 -1.623  -0.227 -1.623
3#apa#apa09#app0979/~  -0.886 -0.649  -0.972 -0.606  -1.059 -0.562  -1.145 -0.519  -1.231 -0.476  -1.317 -0.433  -1.402 -0.390  -1.334 -0.321  -1.266 -0.253  -1.198 -0.185  -1.123 -0.132  -1.027 -0.132  -0.930 -0.132  -0.849 -0.095  -0.781 -0.027  -0.713 0.041  -0.644 0.110  -0.576 0.178  -0.508 0.246  -0.440 0.314  -0.372 0.383  -0.281 0.414  -0.189 0.445  -0.098 0.475  -0.006 0.506  0.085 0.536  0.177 0.567  0.268 0.597  0.360 0.628  0.454 0.643  0.550 0.643  0.647 0.643  0.720 0.588  0.788 0.520  0.857 0.451  0.923 0.382  0.923 0.286  0.923 0.189  0.923 0.093  0.923 -0.004  0.923 -0.100  0.952 -0.190  0.995 -0.276  1.038 -0.362  1.081 -0.449  1.124 -0.535  1.168 -0.621  1.181 -0.714  1.181 -0.811  1.181 -0.907
3#apa#apa09#app0979/  -0.469 -0.950  -0.531 -0.888  -0.593 -0.825  -0.655 -0.763  -0.718 -0.701  -0.780 -0.639  -0.842 -0.577  -0.904 -0.514  -0.966 -0.452  -1.029 -0.390  -1.050 -0.311  -1.050 -0.223  -1.050 -0.135  -1.050 -0.047  -1.050 0.041  -1.050 0.129  -1.046 0.213  -0.958 0.213  -0.870 0.213  -0.782 0.213  -0.694 0.213  -0.606 0.213  -0.518 0.213  -0.430 0.213  -0.342 0.213  -0.254 0.213  -0.166 0.213  -0.078 0.213  0.010 0.213  0.098 0.213  0.186 0.213  0.274 0.213  0.362 0.213  0.450 0.213  0.537 0.213  0.625 0.213  0.713 0.213  0.801 0.213  0.889 0.213  0.977 0.213  1.065 0.213  1.153 0.213  1.241 0.213  1.329 0.213  1.417 0.213  1.505 0.213  1.593 0.213  1.681 0.213  1.769 0.213  1.857 0.213
3#apa#apa09#app0979/_  -0.771 0.000  -0.851 0.000  -0.931 0.000  -1.011 0.000  -1.091 0.000  -1.171 0.000  -1.250 0.000  -1.330 0.000  -1.410 0.000  -1.357 0.000  -1.277 0.000  -1.197 0.000  -1.117 0.000  -1.038 0.000  -0.958 0.000  -0.878 0.000  -0.798 0.000  -0.718 0.000  -0.638 0.000  -0.559 0.000  -0.479 0.000  -0.399 0.000  -0.319 0.000  -0.239 0.000  -0.160 0.000  -0.080 0.000  -0.000 0.000  0.080 0.000  0.160 0.000  0.239 0.000  0.319 0.000  0.399 0.000  0.479 0.000  0.559 0.000  0.638 0.000  0.718 0.000  0.798 0.000  0.878 0.000  0.958 0.000  1.038 0.000  1.117 0.000  1.197 0.000  1.277 0.000  1.357 0.000  1.437 0.000  1.516 0.000  1.596 0.000  1.676 0.000  1.756 0.000  1.836 0.000
3#apa#apa09#app0979/+  -1.261 -0.074  -1.094 -0.074  -0.928 -0.074  -0.762 -0.074  -0.595 -0.074  -0.429 -0.074  -0.262 -0.074  -0.096 -0.074  0.070 -0.074  0.237 -0.074  0.403 -0.074  0.570 -0.074  0.736 -0.074  0.902 -0.074  1.069 -0.074  1.235 -0.074  1.402 -0.074  1.568 -0.074  1.686 -0.064  1.531 -0.003  1.377 0.059  1.223 0.121  1.068 0.183  0.914 0.245  0.759 0.306  0.605 0.368  0.450 0.430  0.296 0.492  0.141 0.554  -0.013 0.615  -0.163 0.685  -0.281 0.802  -0.398 0.920  -0.516 1.038  -0.518 0.877  -0.518 0.711  -0.518 0.544  -0.518 0.378  -0.545 0.216  -0.598 0.058  -0.651 -0.100  -0.703 -0.258  -0.756 -0.416  -0.809 -0.573  -0.861 -0.731  -0.889 -0.893  -0.889 -1.059  -0.889 -1.226  -0.889 -1.392  -0.889 -1.559
3#apa#apa09#app0979/=  -1.515 0.174  -1.515 0.362  -1.515 0.550  -1.372 0.595  -1.184 0.595  -0.996 0.595  -0.808 0.595  -0.620 0.595  -0.432 0.595  -0.244 0.595  -0.056 0.595  0.132 0.595  0.320 0.595  0.508 0.595  0.696 0.595  0.884 0.595  1.072 0.595  1.260 0.595  1.414 0.586  1.253 0.489  1.091 0.392  0.930 0.295  0.769 0.199  0.608 0.102  0.447 0.005  0.285 -0.091  0.124 -0.188  -0.037 -0.285  -0.198 -0.382  -0.359 -0.478  -0.521 -0.575  -0.680 -0.661  -0.813 -0.528  -0.946 -0.395  -1.079 -0.262  -0.977 -0.364  -0.845 -0.497  -0.712 -0.630  -0.539 -0.667  -0.351 -0.667  -0.163 -0.667  0.025 -0.667  0.213 -0.667  0.401 -0.667  0.589 -0.667  0.757 -0.583  0.925 -0.499  1.093 -0.415  1.261 -0.331  1.429 -0.246
3#apa#apa09#app0979/[  0.078 0.744  0.078 0.841  0.136 0.880  0.234 0.880  0.331 0.880  0.428 0.880  0.525 0.880  0.619 0.880  0.522 0.880  0.443 0.922  0.374 0.991  0.294 1.043  0.207 1.087  0.120 1.130  0.028 1.151  -0.058 1.140  -0.058 1.043  -0.107 0.966  -0.176 0.897  -0.193 0.808  -0.193 0.711  -0.193 0.614  -0.193 0.517  -0.193 0.420  -0.193 0.322  -0.193 0.225  -0.193 0.128  -0.193 0.031  -0.193 -0.066  -0.193 -0.163  -0.193 -0.260  -0.193 -0.357  -0.193 -0.454  -0.193 -0.551  -0.193 -0.648  -0.193 -0.745  -0.193 -0.842  -0.193 -0.939  -0.193 -1.036  -0.193 -1.133  -0.193 -1.230  -0.193 -1.327  -0.193 -1.424  -0.097 -1.426  -0.058 -1.483  -0.039 -1.561  0.058 -1.561  0.155 -1.561  0.252 -1.561  0.349 -1.561
3#apa#apa09#app0979/]  -0.549 0.960  -0.610 1.020  -0.670 1.081  -0.600 1.087  -0.515 1.087  -0.429 1.087  -0.344 1.087  -0.259 1.087  -0.174 1.087  -0.088 1.087  -0.014 1.114  0.046 1.174  0.086 1.185  0.086 1.099  0.086 1.014  0.086 0.929  0.086 0.843  0.086 0.758  0.086 0.673  0.086 0.588  0.086 0.502  0.086 0.417  0.086 0.332  0.086 0.246  0.092 0.161  0.106 0.077  0.120 -0.007  0.134 -0.091  0.148 -0.175  0.162 -0.259  0.176 -0.343  0.190 -0.428  0.204 -0.512  0.213 -0.596  0.213 -0.682  0.213 -0.767  0.213 -0.852  0.213 -0.937  0.213 -1.023  0.213 -1.108  0.213 -1.193  0.213 -1.279  0.213 -1.364  0.213 -1.449  0.131 -1.453  0.046 -1.453  -0.039 -1.453  -0.125 -1.453  -0.210 -1.453  -0.295 -1.453
3#apa#apa09#app0979/{  0.574 1.439  0.573 1.537  0.474 1.537  0.376 1.536  0.289 1.492  0.201 1.448  0.128 1.383  0.058 1.314  -0.011 1.244  -0.042 1.151  -0.073 1.058  -0.104 0.965  -0.108 0.867  -0.108 0.769  -0.060 0.685  -0.006 0.603  0.049 0.522  0.100 0.438  0.144 0.350  0.188 0.262  0.232 0.174  0.276 0.087  0.281 -0.010  0.233 -0.094  0.179 -0.176  0.124 -0.258  0.056 -0.314  -0.042 -0.314  -0.140 -0.314  -0.238 -0.314  -0.327 -0.338  -0.396 -0.407  -0.309 -0.412  -0.211 -0.412  -0.140 -0.478  -0.070 -0.547  -0.011 -0.621  -0.011 -0.719  -0.020 -0.815  -0.074 -0.897  -0.129 -0.978  -0.183 -1.060  -0.232 -1.145  -0.276 -1.233  -0.303 -1.325  -0.303 -1.423  -0.277 -1.510  -0.207 -1.580  -0.109 -1.581  -0.011 -1.581
3#apa#apa09#app0979/}  -0.008 1.266  -0.056 1.362  -0.104 1.459  -0.025 1.476  0.083 1.476  0.191 1.476  0.271 1.408  0.347 1.332  0.413 1.252  0.413 1.144  0.413 1.036  0.413 0.928  0.395 0.828  0.319 0.752  0.243 0.676  0.167 0.599  0.089 0.526  -0.007 0.478  -0.104 0.429  -0.200 0.381  -0.297 0.333  -0.378 0.264  -0.428 0.177  -0.410 0.074  -0.362 -0.023  -0.306 -0.112  -0.216 -0.172  -0.127 -0.231  -0.037 -0.291  0.065 -0.311  0.098 -0.386  0.043 -0.471  -0.044 -0.521  -0.152 -0.521  -0.199 -0.559  -0.151 -0.655  -0.093 -0.741  0.004 -0.790  0.098 -0.839  0.098 -0.947  0.103 -1.052  0.179 -1.129  0.203 -1.227  0.148 -1.312  0.065 -1.378  -0.031 -1.427  -0.130 -1.467  -0.235 -1.476  -0.332 -1.524  -0.428 -1.572
3#apa#apa09#app0979/\\  -0.507 1.041  -0.559 1.093  -0.610 1.145  -0.662 1.197  -0.714 1.249  -0.739 1.235  -0.739 1.162  -0.739 1.088  -0.723 1.020  -0.679 0.961  -0.635 0.903  -0.591 0.844  -0.547 0.785  -0.503 0.727  -0.459 0.668  -0.415 0.609  -0.371 0.550  -0.327 0.492  -0.283 0.433  -0.239 0.374  -0.195 0.316  -0.151 0.257  -0.107 0.198  -0.063 0.140  -0.022 0.079  0.016 0.016  0.053 -0.047  0.091 -0.110  0.129 -0.173  0.167 -0.236  0.204 -0.299  0.242 -0.362  0.280 -0.425  0.318 -0.488  0.356 -0.551  0.393 -0.614  0.431 -0.677  0.469 -0.739  0.507 -0.802  0.544 -0.865  0.582 -0.928  0.620 -0.991  0.657 -1.054  0.690 -1.120  0.723 -1.186  0.756 -1.251  0.788 -1.317  0.821 -1.383  0.854 -1.448  0.887 -1.514
3#apa#apa09#app0979/,  0.000 0.590  0.000 0.674  0.000 0.758  0.000 0.843  0.000 0.927  0.000 1.011  0.000 1.095  0.000 1.179  0.000 1.263  0.000 1.347  0.000 1.398  0.000 1.313  0.000 1.229  0.000 1.145  0.000 1.061  0.000 0.977  0.000 0.893  0.000 0.809  0.000 0.725  0.000 0.641  0.000 0.557  0.000 0.473  0.000 0.388  0.000 0.304  0.000 0.220  0.000 0.136  0.000 0.052  0.000 -0.032  0.000 -0.116  0.000 -0.200  0.000 -0.284  0.000 -0.368  0.000 -0.452  0.000 -0.536  0.000 -0.621  0.000 -0.705  0.000 -0.789  0.000 -0.873  0.000 -0.957  0.000 -1.041  0.000 -1.125  0.000 -1.209  0.000 -1.293  0.000 -1.377  0.000 -1.461  0.000 -1.546  0.000 -1.630  0.000 -1.714  0.000 -1.798  0.000 -1.882
3#apa#apa09#app0979/  0.381 1.193  0.454 1.193  0.527 1.193  0.553 1.241  0.553 1.314  0.547 1.342  0.529 1.271  0.512 1.201  0.494 1.130  0.476 1.059  0.458 0.988  0.441 0.917  0.423 0.846  0.405 0.776  0.388 0.705  0.360 0.637  0.327 0.572  0.295 0.507  0.262 0.441  0.230 0.376  0.197 0.311  0.164 0.246  0.132 0.180  0.099 0.115  0.066 0.050  0.034 -0.016  0.001 -0.081  -0.032 -0.146  -0.064 -0.212  -0.097 -0.277  -0.130 -0.342  -0.162 -0.408  -0.195 -0.473  -0.228 -0.538  -0.260 -0.604  -0.293 -0.669  -0.326 -0.734  -0.358 -0.800  -0.391 -0.865  -0.424 -0.930  -0.456 -0.995  -0.492 -1.059  -0.533 -1.120  -0.574 -1.180  -0.614 -1.241  -0.655 -1.302  -0.695 -1.363  -0.736 -1.423  -0.776 -1.484  -0.817 -1.545
3#apa#apa09#app0979/?  -0.200 0.629  -0.247 0.722  -0.293 0.814  -0.339 0.907  -0.285 0.983  -0.212 1.056  -0.113 1.068  -0.009 1.068  0.094 1.068  0.197 1.068  0.301 1.068  0.404 1.068  0.508 1.068  0.587 1.010  0.660 0.937  0.618 0.864  0.545 0.791  0.472 0.718  0.399 0.645  0.326 0.571  0.253 0.498  0.160 0.457  0.062 0.425  -0.037 0.392  -0.135 0.359  -0.200 0.303  -0.200 0.200  -0.200 0.096  -0.163 0.008  -0.090 -0.065  -0.017 -0.138  0.056 -0.211  0.078 -0.298  0.051 -0.398  0.023 -0.497  -0.004 -0.597  -0.031 -0.697  -0.058 -0.797  -0.085 -0.896  -0.113 -0.996  -0.140 -1.096  -0.167 -1.196  -0.194 -1.296  -0.221 -1.395  -0.249 -1.495  -0.276 -1.595  -0.303 -1.695  -0.330 -1.794  -0.389 -1.853  -0.492 -1.853
3#apa#apa09#app0979/'  1.081 -1.449  1.024 -1.334  0.967 -1.220  0.910 -1.106  0.853 -0.991  0.796 -0.877  0.738 -0.763  0.681 -0.648  0.624 -0.534  0.567 -0.420  0.510 -0.305  0.452 -0.191  0.395 -0.077  0.338 0.038  0.281 0.152  0.224 0.266  0.167 0.381  0.110 0.495  0.052 0.609  -0.005 0.724  -0.062 0.838  -0.119 0.952  -0.176 1.067  -0.234 1.181  -0.291 1.295  -0.348 1.410  -0.397 1.491  -0.397 1.364  -0.397 1.236  -0.397 1.108  -0.397 0.980  -0.397 0.852  -0.397 0.724  -0.397 0.597  -0.397 0.469  -0.397 0.341  -0.397 0.213  -0.397 0.085  -0.397 -0.043  -0.397 -0.171  -0.397 -0.298  -0.397 -0.426  -0.397 -0.554  -0.397 -0.682  -0.397 -0.810  -0.397 -0.938  -0.397 -1.065  -0.397 -1.193  -0.397 -1.321  -0.397 -1.449
3#apa#apa09#app0979/\"  -0.400 1.292  -0.400 1.147  -0.400 1.003  -0.400 0.859  -0.400 0.715  -0.487 0.607  -0.589 0.505  -0.691 0.403  -0.793 0.301  -0.895 0.199  -0.997 0.097  -0.997 -0.047  -0.997 -0.191  -0.997 -0.336  -0.997 -0.480  -0.997 -0.624  -0.997 -0.768  -0.997 -0.913  -0.997 -1.057  -0.915 -1.036  -0.799 -0.950  -0.684 -0.863  -0.569 -0.777  -0.453 -0.690  -0.338 -0.604  -0.222 -0.517  -0.107 -0.431  0.008 -0.344  0.124 -0.258  0.239 -0.171  0.354 -0.084  0.470 0.002  0.585 0.089  0.700 0.175  0.816 0.262  0.931 0.348  1.047 0.435  1.162 0.521  1.277 0.608  1.392 0.694  1.290 0.592  1.189 0.490  1.087 0.388  0.985 0.286  0.883 0.184  0.795 0.076  0.795 -0.068  0.795 -0.212  0.795 -0.356  0.795 -0.501
3#apa#apa09#app0979/<  0.493 0.900  0.493 1.009  0.493 1.119  0.493 1.228  0.498 1.333  0.607 1.333  0.704 1.328  0.627 1.250  0.550 1.173  0.472 1.095  0.395 1.018  0.317 0.941  0.240 0.863  0.163 0.786  0.085 0.709  0.008 0.631  -0.070 0.554  -0.147 0.476  -0.224 0.399  -0.302 0.322  -0.377 0.243  -0.426 0.145  -0.475 0.047  -0.524 -0.051  -0.573 -0.149  -0.654 -0.215  -0.752 -0.264  -0.849 -0.313  -0.947 -0.362  -1.000 -0.411  -0.902 -0.460  -0.804 -0.509  -0.706 -0.558  -0.609 -0.607  -0.506 -0.644  -0.402 -0.679  -0.298 -0.713  -0.194 -0.748  -0.090 -0.782  0.013 -0.817  0.103 -0.875  0.180 -0.953  0.257 -1.030  0.359 -1.049  0.468 -1.049  0.578 -1.049  0.687 -1.049  0.771 -1.111  0.849 -1.188  0.926 -1.266
3#apa#apa09#app0979/|  0.231 1.434  0.231 1.505  0.229 1.566  0.207 1.499  0.184 1.432  0.162 1.365  0.140 1.297  0.117 1.230  0.095 1.163  0.094 1.093  0.094 1.022  0.094 0.951  0.094 0.881  0.094 0.810  0.094 0.739  0.094 0.668  0.094 0.598  0.094 0.527  0.094 0.456  0.094 0.385  0.094 0.315  0.094 0.244  0.084 0.175  0.061 0.108  0.039 0.041  0.017 -0.026  -0.006 -0.093  -0.028 -0.160  -0.046 -0.229  -0.056 -0.299  -0.066 -0.369  -0.076 -0.439  -0.086 -0.509  -0.096 -0.579  -0.106 -0.649  -0.116 -0.719  -0.126 -0.789  -0.136 -0.859  -0.146 -0.929  -0.156 -0.999  -0.166 -1.069  -0.176 -1.139  -0.179 -1.209  -0.179 -1.280  -0.179 -1.351  -0.179 -1.421  -0.179 -1.492  -0.179 -1.563  -0.179 -1.633  -0.179 -1.704
3#apa#apa09#app0979/>  -0.719 0.873  -0.719 0.978  -0.719 1.083  -0.796 1.111  -0.902 1.111  -0.921 1.075  -0.847 1.001  -0.772 0.926  -0.698 0.852  -0.624 0.778  -0.549 0.703  -0.472 0.635  -0.367 0.635  -0.262 0.635  -0.161 0.608  -0.062 0.575  0.038 0.541  0.138 0.508  0.238 0.475  0.337 0.442  0.437 0.408  0.541 0.397  0.646 0.397  0.738 0.367  0.813 0.293  0.887 0.218  0.946 0.138  0.946 0.032  0.946 -0.073  0.876 -0.149  0.801 -0.223  0.727 -0.297  0.653 -0.372  0.578 -0.446  0.504 -0.521  0.429 -0.595  0.355 -0.669  0.281 -0.744  0.202 -0.812  0.114 -0.871  0.027 -0.929  -0.061 -0.987  -0.148 -1.046  -0.236 -1.104  -0.323 -1.162  -0.411 -1.221  -0.496 -1.282  -0.570 -1.357  -0.644 -1.431  -0.719 -1.505
