1c#app#app12#app1281/b  0.319 2.031  0.230 1.988  0.230 1.857  0.203 1.737  0.141 1.632  0.141 1.501  0.124 1.373  0.065 1.256  0.052 1.128  0.052 0.997  0.009 0.876  -0.046 0.757  -0.088 0.633  -0.126 0.508  -0.143 0.379  -0.184 0.255  -0.215 0.129  -0.249 0.005  -0.306 -0.112  -0.348 -0.237  -0.389 -0.361  -0.393 -0.492  -0.393 -0.623  -0.390 -0.703  -0.374 -0.573  -0.358 -0.443  -0.341 -0.313  -0.325 -0.183  -0.309 -0.052  -0.209 -0.017  -0.078 -0.017  0.053 -0.017  0.170 -0.076  0.295 -0.106  0.394 -0.181  0.431 -0.284  0.497 -0.349  0.497 -0.480  0.497 -0.611  0.487 -0.738  0.408 -0.837  0.380 -0.961  0.322 -1.079  0.231 -1.173  0.138 -1.266  0.042 -1.352  -0.089 -1.352  -0.220 -1.352  -0.351 -1.352  -0.482 -1.352
1c#app#app12#app1281/l  -0.071 1.707  -0.071 1.636  -0.071 1.564  -0.071 1.492  -0.056 1.423  -0.024 1.359  0.008 1.294  0.041 1.230  0.057 1.162  0.057 1.090  0.057 1.018  0.057 0.946  0.057 0.874  0.057 0.802  0.057 0.730  0.057 0.658  0.057 0.586  0.057 0.515  0.057 0.443  0.057 0.371  0.057 0.299  0.057 0.227  0.057 0.155  0.057 0.083  0.057 0.011  0.057 -0.061  0.057 -0.133  0.057 -0.205  0.057 -0.277  0.045 -0.344  -0.006 -0.395  -0.056 -0.446  -0.071 -0.512  -0.071 -0.584  -0.071 -0.656  -0.071 -0.728  -0.071 -0.800  -0.071 -0.872  -0.071 -0.943  -0.071 -1.015  -0.071 -1.087  -0.071 -1.159  -0.071 -1.231  -0.071 -1.303  -0.071 -1.375  -0.071 -1.447  -0.031 -1.480  0.041 -1.480  0.057 -1.535  0.057 -1.607
1c#app#app12#app1281/s  0.333 1.540  0.228 1.540  0.145 1.488  0.071 1.414  -0.030 1.404  -0.076 1.344  -0.096 1.248  -0.170 1.174  -0.244 1.099  -0.318 1.025  -0.348 0.933  -0.348 0.828  -0.348 0.723  -0.422 0.649  -0.484 0.570  -0.484 0.465  -0.394 0.450  -0.348 0.391  -0.321 0.314  -0.216 0.314  -0.212 0.213  -0.142 0.178  -0.037 0.178  0.068 0.178  0.172 0.178  0.197 0.097  0.246 0.042  0.333 0.024  0.333 -0.081  0.424 -0.095  0.469 -0.155  0.469 -0.260  0.469 -0.365  0.397 -0.440  0.333 -0.518  0.333 -0.623  0.333 -0.728  0.293 -0.816  0.219 -0.890  0.197 -0.986  0.167 -1.078  0.092 -1.153  0.018 -1.227  -0.056 -1.301  -0.076 -1.398  -0.121 -1.457  -0.212 -1.471  -0.212 -1.576  -0.274 -1.655  -0.348 -1.729
1c#app#app12#app1281/w  -1.101 0.928  -1.101 0.795  -1.101 0.663  -1.101 0.530  -1.101 0.397  -1.101 0.264  -1.101 0.131  -1.101 -0.002  -1.087 -0.131  -1.027 -0.250  -1.015 -0.380  -1.015 -0.513  -1.015 -0.646  -0.939 -0.702  -0.892 -0.788  -0.784 -0.728  -0.690 -0.634  -0.596 -0.540  -0.533 -0.424  -0.474 -0.305  -0.414 -0.186  -0.320 -0.093  -0.226 0.001  -0.142 0.102  -0.082 0.221  0.006 0.319  0.122 0.382  0.248 0.413  0.357 0.390  0.389 0.265  0.443 0.145  0.443 0.012  0.443 -0.121  0.443 -0.254  0.471 -0.359  0.529 -0.433  0.651 -0.445  0.784 -0.445  0.831 -0.359  0.913 -0.277  0.981 -0.165  1.075 -0.071  1.154 0.034  1.214 0.152  1.301 0.249  1.340 0.366  1.387 0.480  1.467 0.579  1.512 0.671  1.559 0.757
1c#app#app12#app1281/a  -0.315 0.881  -0.434 0.881  -0.553 0.881  -0.672 0.881  -0.791 0.881  -0.856 0.826  -0.856 0.707  -0.935 0.621  -1.019 0.537  -1.036 0.424  -1.036 0.305  -1.036 0.186  -1.036 0.067  -1.036 -0.052  -1.036 -0.171  -0.973 -0.264  -0.888 -0.349  -0.856 -0.454  -0.847 -0.570  -0.763 -0.654  -0.679 -0.738  -0.561 -0.742  -0.442 -0.742  -0.323 -0.742  -0.236 -0.664  -0.152 -0.580  -0.050 -0.520  0.056 -0.467  0.163 -0.413  0.248 -0.339  0.301 -0.232  0.354 -0.125  0.408 -0.019  0.493 0.065  0.577 0.149  0.587 0.264  0.630 0.340  0.750 0.340  0.869 0.340  0.948 0.300  0.948 0.181  1.046 0.160  1.154 0.134  1.238 0.049  1.308 -0.041  1.308 -0.160  1.364 -0.256  1.448 -0.340  1.550 -0.381  1.669 -0.381
1c#app#app12#app1281/x  -0.679 0.904  -0.679 0.717  -0.522 0.686  -0.462 0.560  -0.462 0.373  -0.462 0.186  -0.426 0.035  -0.244 0.029  -0.244 -0.158  -0.130 -0.297  -0.027 -0.442  -0.016 -0.617  0.171 -0.617  0.190 -0.785  0.328 -0.835  0.438 -0.732  0.492 -0.553  0.546 -0.373  0.600 -0.194  0.653 -0.015  0.707 0.164  0.761 0.343  0.815 0.522  0.868 0.701  0.922 0.880  0.976 1.059  1.029 1.238  1.001 1.280  0.869 1.147  0.693 1.121  0.625 1.002  0.562 0.841  0.430 0.709  0.298 0.576  0.165 0.444  0.033 0.312  -0.099 0.180  -0.231 0.047  -0.244 -0.134  -0.342 -0.281  -0.474 -0.413  -0.607 -0.545  -0.679 -0.702  -0.733 -0.835  -0.913 -0.852  -1.045 -0.984  -1.113 -1.143  -1.113 -1.330  -1.113 -1.517  -1.113 -1.704
1c#app#app12#app1281/m  -0.864 0.884  -0.864 0.715  -0.864 0.547  -0.864 0.378  -0.864 0.209  -0.864 0.041  -0.940 -0.096  -0.994 -0.243  -0.994 -0.411  -0.994 -0.580  -1.030 -0.740  -1.106 -0.891  -1.123 -1.055  -0.976 -1.020  -0.901 -0.869  -0.825 -0.718  -0.750 -0.568  -0.639 -0.442  -0.606 -0.287  -0.534 -0.136  -0.448 0.008  -0.347 0.134  -0.301 0.284  -0.182 0.403  -0.089 0.533  -0.012 0.625  0.040 0.510  0.040 0.341  0.040 0.172  0.145 0.108  0.170 -0.036  0.170 -0.204  0.263 -0.280  0.302 -0.149  0.453 -0.073  0.594 0.015  0.687 0.145  0.741 0.292  0.860 0.411  0.945 0.544  1.033 0.625  1.201 0.625  1.333 0.589  1.333 0.420  1.333 0.251  1.443 0.128  1.463 -0.032  1.463 -0.201  1.463 -0.370  1.463 -0.538
1c#app#app12#app1281/e  -1.597 -0.702  -1.437 -0.702  -1.277 -0.702  -1.117 -0.702  -0.957 -0.702  -0.798 -0.702  -0.638 -0.702  -0.478 -0.702  -0.318 -0.702  -0.183 -0.643  -0.070 -0.529  0.049 -0.431  0.209 -0.431  0.369 -0.431  0.529 -0.431  0.571 -0.313  0.576 -0.155  0.689 -0.042  0.802 0.071  0.842 0.214  0.842 0.374  0.949 0.489  1.062 0.602  1.114 0.741  1.114 0.901  0.977 0.925  0.842 0.950  0.842 1.109  0.769 1.196  0.609 1.196  0.485 1.109  0.372 0.996  0.242 0.925  0.082 0.925  -0.046 0.849  -0.160 0.736  -0.242 0.610  -0.242 0.450  -0.307 0.317  -0.420 0.204  -0.513 0.083  -0.513 -0.077  -0.513 -0.237  -0.513 -0.397  -0.513 -0.557  -0.513 -0.716  -0.513 -0.876  -0.468 -1.018  -0.355 -1.131  -0.242 -1.244
1c#app#app12#app1281/r  -0.871 0.743  -0.871 0.631  -0.856 0.521  -0.806 0.420  -0.755 0.320  -0.705 0.219  -0.679 0.112  -0.679 -0.001  -0.679 -0.114  -0.679 -0.226  -0.679 -0.339  -0.679 -0.452  -0.679 -0.565  -0.679 -0.678  -0.679 -0.790  -0.601 -0.871  -0.521 -0.951  -0.487 -1.049  -0.487 -1.162  -0.389 -1.177  -0.282 -1.164  -0.202 -1.084  -0.122 -1.005  -0.103 -0.900  -0.099 -0.789  -0.019 -0.709  0.061 -0.629  0.141 -0.549  0.221 -0.470  0.281 -0.382  0.281 -0.269  0.281 -0.157  0.281 -0.044  0.323 0.059  0.374 0.160  0.424 0.261  0.475 0.361  0.555 0.441  0.635 0.521  0.697 0.614  0.747 0.714  0.797 0.815  0.848 0.916  0.857 1.027  0.857 1.140  0.857 1.252  0.903 1.319  1.016 1.319  1.129 1.319  1.242 1.319
1c#app#app12#app1281/c  0.543 1.254  0.419 1.254  0.396 1.152  0.316 1.107  0.208 1.067  0.120 0.978  0.003 0.959  -0.122 0.959  -0.194 0.907  -0.216 0.791  -0.304 0.702  -0.413 0.664  -0.489 0.616  -0.515 0.517  -0.637 0.514  -0.637 0.389  -0.742 0.369  -0.784 0.286  -0.827 0.179  -0.915 0.091  -0.932 -0.027  -0.932 -0.152  -0.932 -0.277  -0.932 -0.402  -0.924 -0.523  -0.836 -0.612  -0.784 -0.715  -0.755 -0.811  -0.630 -0.811  -0.506 -0.811  -0.381 -0.811  -0.256 -0.811  -0.131 -0.811  -0.006 -0.811  0.114 -0.798  0.202 -0.710  0.308 -0.663  0.432 -0.663  0.553 -0.654  0.642 -0.565  0.743 -0.499  0.862 -0.459  0.980 -0.420  1.098 -0.380  1.134 -0.280  1.180 -0.175  1.268 -0.086  1.356 0.002  1.429 0.052  1.429 -0.073
1c#app#app12#app1281/i  -0.351 -0.411  -0.351 -0.505  -0.330 -0.578  -0.236 -0.578  -0.184 -0.621  -0.184 -0.715  -0.184 -0.809  -0.184 -0.903  -0.184 -0.997  -0.184 -1.092  -0.184 -1.186  -0.184 -1.280  -0.184 -1.374  -0.175 -1.357  -0.161 -1.264  -0.146 -1.171  -0.131 -1.078  -0.117 -0.985  -0.102 -0.892  -0.087 -0.799  -0.073 -0.706  -0.058 -0.613  -0.043 -0.520  -0.029 -0.426  -0.014 -0.333  0.001 -0.240  0.016 -0.147  0.030 -0.054  0.045 0.039  0.060 0.132  0.074 0.225  0.089 0.318  0.104 0.411  0.118 0.504  0.133 0.597  0.148 0.690  0.162 0.783  0.177 0.876  0.192 0.970  0.207 1.063  0.221 1.156  0.236 1.249  0.251 1.342  0.265 1.435  0.280 1.528  0.295 1.621  0.309 1.714  0.283 1.726  0.216 1.660  0.150 1.593
1c#app#app12#app1281/f  0.007 -0.097  0.007 -0.312  0.007 -0.527  0.007 -0.741  -0.042 -0.936  -0.152 -1.105  -0.152 -1.320  -0.273 -1.484  -0.310 -1.673  -0.310 -1.459  -0.310 -1.244  -0.310 -1.029  -0.310 -0.815  -0.310 -0.600  -0.310 -0.386  -0.310 -0.171  -0.210 0.002  -0.152 0.193  -0.152 0.407  -0.113 0.613  -0.017 0.805  0.007 1.014  0.050 1.211  0.165 1.378  0.165 1.592  0.323 1.649  0.368 1.755  0.520 1.603  0.639 1.438  0.711 1.253  0.863 1.101  0.895 0.949  0.744 0.798  0.592 0.646  0.440 0.494  0.288 0.342  0.137 0.191  -0.015 0.039  -0.167 -0.113  -0.319 -0.265  -0.470 -0.416  -0.622 -0.568  -0.774 -0.720  -0.626 -0.687  -0.527 -0.572  -0.312 -0.572  -0.160 -0.422  0.052 -0.414  0.266 -0.414  0.481 -0.414
1c#app#app12#app1281/u  -0.763 0.776  -0.763 0.679  -0.763 0.583  -0.821 0.546  -0.917 0.546  -0.993 0.525  -0.993 0.429  -0.993 0.333  -0.993 0.236  -0.993 0.140  -0.993 0.044  -0.993 -0.052  -0.993 -0.148  -0.993 -0.244  -0.993 -0.340  -0.949 -0.418  -0.881 -0.486  -0.813 -0.554  -0.737 -0.604  -0.641 -0.604  -0.545 -0.604  -0.449 -0.604  -0.353 -0.604  -0.257 -0.604  -0.161 -0.604  -0.065 -0.604  0.032 -0.604  0.128 -0.604  0.204 -0.557  0.272 -0.489  0.340 -0.421  0.408 -0.353  0.476 -0.285  0.544 -0.217  0.612 -0.149  0.680 -0.081  0.748 -0.013  0.816 0.055  0.884 0.123  0.952 0.191  1.020 0.259  1.088 0.327  1.156 0.395  1.224 0.463  1.292 0.531  1.306 0.621  1.306 0.717  1.344 0.776  1.440 0.776  1.536 0.776
1c#app#app12#app1281/l  0.042 1.721  0.042 1.650  0.042 1.578  0.042 1.507  0.042 1.436  0.042 1.365  0.042 1.294  0.042 1.222  0.042 1.151  0.042 1.080  0.042 1.009  0.042 0.938  0.042 0.866  0.042 0.795  0.042 0.724  0.042 0.653  0.042 0.582  0.042 0.510  0.042 0.439  0.042 0.368  0.042 0.297  0.042 0.226  0.042 0.154  0.042 0.083  0.042 0.012  0.042 -0.059  0.042 -0.130  0.042 -0.202  0.042 -0.273  0.042 -0.344  0.042 -0.415  0.042 -0.486  0.042 -0.558  0.039 -0.628  -0.011 -0.678  -0.061 -0.728  -0.112 -0.779  -0.125 -0.844  -0.125 -0.916  -0.125 -0.987  -0.125 -1.058  -0.125 -1.129  -0.125 -1.200  -0.125 -1.272  -0.125 -1.343  -0.125 -1.414  -0.109 -1.478  -0.058 -1.529  -0.008 -1.579  0.042 -1.629
