3#apb#apb38#app3890/D  0.122 0.812  0.166 1.003  0.171 0.810  0.125 0.612  0.080 0.415  0.023 0.221  -0.041 0.029  -0.117 -0.159  -0.199 -0.344  -0.300 -0.519  -0.414 -0.687  -0.533 -0.850  -0.666 -1.002  -0.822 -1.130  -1.002 -1.218  -1.069 -1.090  -1.030 -0.892  -0.900 -0.768  -0.697 -0.768  -0.495 -0.760  -0.293 -0.772  -0.092 -0.797  0.099 -0.836  0.292 -0.783  0.394 -0.776  0.346 -0.887  0.203 -0.808  0.208 -0.766  0.374 -0.664  0.516 -0.525  0.687 -0.418  0.795 -0.254  0.874 -0.069  0.906 0.129  0.929 0.330  0.929 0.532  0.912 0.734  0.883 0.934  0.800 1.117  0.647 1.242  0.450 1.276  0.251 1.307  0.053 1.274  -0.135 1.198  -0.311 1.099  -0.487 0.998  -0.649 0.879  -0.724 0.698  -0.709 0.503  -0.549 0.391
3#apb#apb38#app3890/N  -0.304 0.940  -0.391 0.715  -0.536 0.520  -0.701 0.339  -0.874 0.168  -0.944 0.256  -0.794 0.448  -0.638 0.636  -0.475 0.817  -0.302 0.990  -0.102 1.126  0.093 1.033  0.151 0.799  0.127 0.556  0.092 0.314  0.048 0.074  -0.017 -0.161  -0.085 -0.396  -0.185 -0.618  -0.288 -0.840  -0.392 -1.061  -0.515 -1.271  -0.658 -1.468  -0.803 -1.664  -0.814 -1.544  -0.655 -1.371  -0.469 -1.214  -0.310 -1.029  -0.175 -0.827  -0.057 -0.613  0.050 -0.393  0.148 -0.170  0.236 0.058  0.321 0.287  0.403 0.517  0.488 0.745  0.604 0.960  0.734 1.165  0.916 1.322  0.975 1.159  0.929 0.919  0.876 0.680  0.819 0.443  0.751 0.209  0.669 -0.021  0.587 -0.251  0.498 -0.479  0.409 -0.706  0.323 -0.934  0.238 -1.163
3#apb#apb38#app3890/e  -0.851 -0.619  -0.983 -0.537  -0.864 -0.644  -0.723 -0.667  -0.588 -0.565  -0.443 -0.479  -0.294 -0.398  -0.184 -0.276  -0.090 -0.135  0.004 0.006  0.094 0.148  0.184 0.292  0.273 0.435  0.340 0.590  0.398 0.748  0.387 0.914  0.361 1.081  0.321 1.245  0.237 1.385  0.116 1.474  -0.018 1.370  -0.150 1.265  -0.281 1.158  -0.412 1.051  -0.491 0.902  -0.570 0.752  -0.650 0.603  -0.674 0.437  -0.691 0.269  -0.708 0.101  -0.702 -0.067  -0.684 -0.235  -0.665 -0.403  -0.592 -0.551  -0.496 -0.690  -0.392 -0.820  -0.238 -0.890  -0.082 -0.953  0.084 -0.983  0.248 -0.984  0.410 -0.934  0.568 -0.878  0.711 -0.786  0.853 -0.695  0.989 -0.596  1.119 -0.487  1.249 -0.379  1.399 -0.302  1.530 -0.200  1.640 -0.072
3#apb#apb38#app3890/w  -0.608 0.430  -0.599 0.584  -0.590 0.739  -0.572 0.891  -0.558 0.920  -0.631 0.784  -0.706 0.648  -0.778 0.512  -0.851 0.375  -0.923 0.239  -0.976 0.094  -1.020 -0.054  -1.065 -0.202  -1.105 -0.351  -1.129 -0.504  -1.152 -0.657  -1.077 -0.791  -0.952 -0.854  -0.799 -0.856  -0.646 -0.832  -0.505 -0.787  -0.400 -0.673  -0.296 -0.559  -0.206 -0.434  -0.129 -0.300  -0.052 -0.166  0.022 -0.030  0.095 0.106  0.167 0.243  0.191 0.348  0.137 0.213  0.125 0.059  0.146 -0.088  0.220 -0.224  0.313 -0.339  0.454 -0.402  0.599 -0.456  0.745 -0.501  0.884 -0.432  1.006 -0.341  1.116 -0.231  1.221 -0.119  1.310 0.007  1.395 0.136  1.449 0.281  1.453 0.432  1.409 0.575  1.341 0.711  1.293 0.858  1.233 1.000
3#apb#apb38#app3890/H  -0.523 1.289  -0.680 0.921  -0.865 0.554  -0.982 0.706  -0.767 1.056  -0.495 1.361  -0.164 1.594  0.019 1.264  0.009 0.854  -0.042 0.446  -0.126 0.043  -0.251 -0.347  -0.390 -0.734  -0.526 -1.122  -0.686 -1.501  -0.711 -1.398  -0.543 -1.024  -0.353 -0.660  -0.169 -0.292  0.023 0.071  0.234 0.424  0.474 0.758  0.737 1.074  0.972 1.124  0.842 0.735  0.661 0.366  0.483 -0.005  0.277 -0.361  0.381 -0.304  0.540 0.076  0.699 0.455  0.858 0.834  0.886 1.037  0.641 0.716  0.463 0.346  0.287 -0.025  0.158 -0.415  0.010 -0.798  -0.092 -1.197  -0.196 -1.593  -0.190 -1.691  -0.006 -1.324  0.045 -0.919  -0.069 -0.529  -0.288 -0.182  -0.599 0.049  -0.564 -0.312  -0.215 -0.492  0.195 -0.501  0.599 -0.427
3#apb#apb38#app3890/a  0.616 0.720  0.673 0.876  0.726 1.032  0.572 1.086  0.410 1.063  0.253 1.006  0.105 0.932  -0.032 0.837  -0.170 0.742  -0.309 0.651  -0.449 0.560  -0.589 0.469  -0.720 0.368  -0.834 0.247  -0.948 0.125  -1.062 0.003  -1.147 -0.138  -1.214 -0.291  -1.281 -0.444  -1.313 -0.605  -1.328 -0.771  -1.217 -0.876  -1.077 -0.965  -0.920 -1.001  -0.754 -1.001  -0.587 -1.001  -0.423 -0.978  -0.262 -0.935  -0.100 -0.893  0.052 -0.834  0.173 -0.720  0.295 -0.606  0.417 -0.492  0.523 -0.365  0.616 -0.226  0.708 -0.087  0.801 0.052  0.859 0.207  0.912 0.365  0.912 0.529  0.847 0.666  0.717 0.673  0.608 0.546  0.576 0.387  0.561 0.221  0.606 0.061  0.655 -0.098  0.741 -0.237  0.848 -0.365  0.955 -0.493
3#apb#apb38#app3890/m  -1.724 -0.089  -1.686 -0.098  -1.504 -0.058  -1.317 -0.006  -1.135 0.053  -0.985 0.175  -0.835 0.297  -0.678 0.410  -0.521 0.523  -0.362 0.634  -0.225 0.742  -0.256 0.567  -0.338 0.393  -0.428 0.222  -0.520 0.052  -0.614 -0.118  -0.710 -0.285  -0.823 -0.443  -0.935 -0.600  -0.991 -0.719  -0.873 -0.567  -0.737 -0.430  -0.598 -0.295  -0.452 -0.168  -0.307 -0.040  -0.138 0.054  0.033 0.145  0.190 0.257  0.343 0.374  0.516 0.335  0.475 0.156  0.401 -0.022  0.319 -0.198  0.218 -0.362  0.136 -0.535  0.224 -0.405  0.345 -0.255  0.492 -0.129  0.639 -0.003  0.787 0.122  0.934 0.248  1.079 0.376  1.250 0.365  1.321 0.189  1.357 -0.001  1.398 -0.190  1.540 -0.258  1.727 -0.225  1.900 -0.139  2.070 -0.047
3#apb#apb38#app3890/p  -1.074 -1.639  -1.070 -1.644  -1.014 -1.545  -0.955 -1.449  -0.899 -1.350  -0.845 -1.250  -0.792 -1.150  -0.738 -1.051  -0.686 -0.950  -0.634 -0.849  -0.582 -0.748  -0.530 -0.647  -0.476 -0.547  -0.421 -0.448  -0.367 -0.348  -0.312 -0.249  -0.258 -0.149  -0.206 -0.049  -0.153 0.052  -0.100 0.152  -0.047 0.252  0.005 0.353  0.064 0.450  0.125 0.545  0.187 0.640  0.249 0.736  0.310 0.831  0.387 0.913  0.474 0.986  0.560 1.060  0.654 1.122  0.759 1.162  0.869 1.146  0.886 1.034  0.889 0.922  0.869 0.810  0.843 0.700  0.796 0.597  0.750 0.493  0.687 0.401  0.609 0.319  0.531 0.236  0.444 0.166  0.345 0.110  0.246 0.054  0.145 0.003  0.035 -0.024  -0.075 -0.052  -0.187 -0.057  -0.300 -0.048
3#apb#apb38#app3890/s  -1.518 -1.369  -1.492 -1.354  -1.343 -1.295  -1.239 -1.172  -1.137 -1.047  -1.036 -0.920  -0.936 -0.793  -0.836 -0.666  -0.738 -0.538  -0.639 -0.409  -0.541 -0.281  -0.440 -0.154  -0.336 -0.031  -0.232 0.093  -0.128 0.217  -0.026 0.343  0.072 0.471  0.170 0.600  0.269 0.728  0.373 0.851  0.478 0.975  0.591 1.089  0.719 1.188  0.847 1.286  0.957 1.229  1.008 1.075  1.037 0.916  1.063 0.757  1.081 0.596  1.047 0.440  0.998 0.286  0.931 0.139  0.855 -0.002  0.740 -0.116  0.597 -0.187  0.449 -0.253  0.302 -0.320  0.148 -0.367  -0.009 -0.375  -0.166 -0.335  -0.296 -0.256  -0.387 -0.123  -0.431 0.032  -0.436 0.194  -0.337 0.087  -0.228 -0.028  -0.149 -0.169  -0.038 -0.284  0.102 -0.355  0.260 -0.390
3#apb#apb38#app3890/h  -1.110 -1.222  -0.945 -1.180  -0.809 -1.059  -0.702 -0.905  -0.592 -0.752  -0.473 -0.607  -0.358 -0.458  -0.245 -0.307  -0.140 -0.151  -0.039 0.008  0.053 0.172  0.140 0.339  0.212 0.512  0.259 0.694  0.302 0.877  0.321 1.064  0.341 1.252  0.364 1.438  0.387 1.625  0.353 1.810  0.337 1.837  0.284 1.657  0.242 1.474  0.208 1.288  0.173 1.103  0.136 0.919  0.099 0.734  0.062 0.550  0.024 0.365  -0.014 0.181  -0.067 0.000  -0.121 -0.180  -0.174 -0.361  -0.222 -0.543  -0.270 -0.725  -0.314 -0.908  -0.371 -1.086  -0.389 -1.131  -0.279 -0.978  -0.166 -0.827  -0.046 -0.682  0.078 -0.541  0.206 -0.403  0.353 -0.286  0.464 -0.308  0.463 -0.496  0.452 -0.684  0.449 -0.872  0.485 -1.055  0.599 -1.192
3#apb#apb38#app3890/i  -1.402 -0.507  -1.402 -0.574  -1.375 -0.709  -1.281 -0.812  -1.176 -0.842  -1.065 -0.756  -0.965 -0.657  -0.866 -0.558  -0.769 -0.456  -0.674 -0.352  -0.579 -0.249  -0.484 -0.145  -0.394 -0.038  -0.320 0.081  -0.245 0.201  -0.171 0.320  -0.096 0.439  -0.020 0.558  0.058 0.674  0.136 0.791  0.214 0.908  0.269 1.036  0.308 1.171  0.320 1.310  0.242 1.322  0.137 1.237  0.136 1.096  0.113 0.958  0.081 0.821  0.041 0.686  0.000 0.552  -0.009 0.413  -0.009 0.272  -0.009 0.132  -0.009 -0.009  -0.007 -0.149  0.032 -0.284  0.085 -0.406  0.216 -0.458  0.336 -0.530  0.453 -0.608  0.586 -0.651  0.721 -0.690  0.861 -0.706  1.000 -0.721  1.136 -0.699  1.270 -0.655  1.410 -0.654  1.530 -0.595  1.640 -0.507
3#apb#apb38#app3890/r  -1.053 -1.419  -0.943 -1.353  -0.818 -1.324  -0.701 -1.275  -0.588 -1.213  -0.478 -1.150  -0.414 -1.038  -0.356 -0.923  -0.305 -0.805  -0.335 -0.681  -0.354 -0.554  -0.354 -0.425  -0.354 -0.296  -0.354 -0.167  -0.354 -0.038  -0.354 0.090  -0.364 0.219  -0.374 0.348  -0.395 0.474  -0.430 0.598  -0.466 0.722  -0.494 0.848  -0.509 0.976  -0.419 1.050  -0.308 1.116  -0.186 1.159  -0.064 1.198  0.065 1.198  0.194 1.198  0.323 1.198  0.436 1.159  0.528 1.068  0.586 0.956  0.633 0.835  0.679 0.715  0.683 0.587  0.683 0.458  0.683 0.329  0.683 0.200  0.683 0.071  0.683 -0.058  0.683 -0.187  0.646 -0.311  0.606 -0.433  0.555 -0.552  0.504 -0.670  0.453 -0.789  0.412 -0.911  0.377 -1.035  0.346 -1.160
3#apb#apb38#app3890/e  -0.858 -0.796  -0.728 -0.872  -0.573 -0.869  -0.434 -0.800  -0.295 -0.730  -0.185 -0.621  -0.081 -0.505  0.017 -0.385  0.112 -0.261  0.206 -0.138  0.273 0.002  0.340 0.143  0.407 0.284  0.462 0.429  0.508 0.577  0.555 0.726  0.563 0.880  0.563 1.036  0.557 1.191  0.532 1.344  0.492 1.492  0.402 1.613  0.264 1.560  0.178 1.430  0.089 1.303  -0.000 1.175  -0.084 1.044  -0.169 0.914  -0.247 0.779  -0.313 0.639  -0.380 0.498  -0.447 0.358  -0.485 0.207  -0.521 0.056  -0.557 -0.096  -0.579 -0.249  -0.579 -0.404  -0.579 -0.560  -0.567 -0.712  -0.479 -0.840  -0.390 -0.968  -0.268 -1.049  -0.119 -1.094  0.030 -1.139  0.180 -1.172  0.332 -1.143  0.485 -1.113  0.638 -1.084  0.791 -1.054  0.943 -1.025
3#apb#apb38#app3890/I  0.159 0.703  0.010 0.516  -0.174 0.399  -0.130 0.517  -0.064 0.602  -0.078 0.591  0.016 0.359  0.109 0.127  0.203 -0.105  0.297 -0.337  0.390 -0.569  0.484 -0.801  0.577 -1.033  0.608 -1.211  0.400 -1.086  0.283 -0.866  0.182 -0.637  0.084 -0.407  0.003 -0.171  -0.068 0.069  -0.134 0.310  -0.200 0.552  -0.262 0.794  -0.322 1.037  -0.356 1.285  -0.367 1.533  -0.320 1.777  -0.140 1.884  0.016 1.692  0.130 1.469  0.235 1.242  0.338 1.014  0.384 0.768  0.428 0.522  0.455 0.274  0.475 0.024  0.465 -0.224  0.434 -0.473  0.325 -0.697  0.192 -0.908  0.040 -1.107  -0.158 -1.259  -0.387 -1.351  -0.627 -1.326  -0.839 -1.200  -0.941 -0.977  -0.897 -0.757  -0.659 -0.790  -0.424 -0.872  -0.175 -0.898
3#apb#apb38#app3890/o  -0.391 0.641  -0.351 0.787  -0.443 0.818  -0.579 0.759  -0.715 0.695  -0.858 0.647  -0.969 0.548  -1.072 0.439  -1.117 0.295  -1.162 0.151  -1.185 0.005  -1.167 -0.145  -1.149 -0.295  -1.087 -0.427  -0.996 -0.547  -0.906 -0.668  -0.803 -0.776  -0.681 -0.865  -0.559 -0.954  -0.426 -1.017  -0.278 -1.044  -0.129 -1.070  0.021 -1.072  0.171 -1.061  0.305 -1.013  0.411 -0.906  0.514 -0.797  0.585 -0.664  0.657 -0.531  0.706 -0.389  0.747 -0.244  0.767 -0.097  0.754 0.054  0.718 0.198  0.655 0.335  0.581 0.466  0.498 0.592  0.411 0.715  0.311 0.828  0.214 0.854  0.218 0.704  0.291 0.580  0.429 0.519  0.569 0.464  0.711 0.412  0.859 0.390  1.010 0.379  1.157 0.398  1.304 0.435  1.450 0.472
