2#apb#apb42#app4214/S  0.368 1.436  0.268 1.411  0.168 1.386  0.077 1.341  -0.007 1.280  -0.090 1.220  -0.173 1.159  -0.249 1.090  -0.317 1.013  -0.386 0.935  -0.454 0.858  -0.521 0.780  -0.588 0.702  -0.665 0.643  -0.584 0.602  -0.502 0.541  -0.419 0.479  -0.324 0.445  -0.223 0.423  -0.122 0.402  -0.021 0.380  0.076 0.349  0.170 0.306  0.264 0.263  0.358 0.221  0.429 0.147  0.497 0.070  0.566 -0.007  0.619 -0.092  0.641 -0.192  0.664 -0.293  0.651 -0.391  0.614 -0.488  0.576 -0.583  0.517 -0.668  0.458 -0.752  0.399 -0.837  0.328 -0.909  0.243 -0.968  0.158 -1.027  0.073 -1.085  -0.011 -1.144  -0.103 -1.190  -0.197 -1.234  -0.291 -1.277  -0.384 -1.320  -0.483 -1.344  -0.586 -1.352  -0.688 -1.361  -0.791 -1.369
2#apb#apb42#app4214/8  0.263 1.060  0.146 1.146  -0.034 1.146  -0.212 1.137  -0.369 1.047  -0.526 0.958  -0.682 0.868  -0.839 0.778  -0.996 0.689  -1.146 0.589  -1.280 0.474  -1.370 0.317  -1.231 0.233  -1.054 0.197  -0.874 0.176  -0.695 0.155  -0.515 0.139  -0.335 0.131  -0.155 0.122  0.025 0.110  0.202 0.073  0.378 0.036  0.555 -0.002  0.724 -0.066  0.893 -0.129  1.053 -0.208  1.194 -0.321  1.289 -0.453  1.269 -0.632  1.193 -0.794  1.108 -0.953  0.985 -1.075  0.827 -1.162  0.657 -1.204  0.476 -1.204  0.300 -1.178  0.129 -1.121  -0.018 -1.028  -0.135 -0.890  -0.251 -0.752  -0.298 -0.584  -0.321 -0.405  -0.327 -0.228  -0.263 -0.059  -0.198 0.109  -0.131 0.277  -0.048 0.434  0.080 0.562  0.213 0.683  0.349 0.802
2#apb#apb42#app4214/A  0.031 0.882  -0.019 0.955  -0.138 0.776  -0.188 0.563  -0.246 0.352  -0.318 0.145  -0.386 -0.062  -0.423 -0.278  -0.461 -0.493  -0.504 -0.708  -0.549 -0.922  -0.602 -1.134  -0.681 -1.261  -0.720 -1.046  -0.687 -0.831  -0.644 -0.616  -0.613 -0.400  -0.586 -0.183  -0.554 0.033  -0.505 0.247  -0.456 0.460  -0.381 0.663  -0.272 0.852  -0.160 1.040  -0.036 1.220  0.089 1.400  0.225 1.569  0.404 1.694  0.487 1.523  0.518 1.307  0.529 1.088  0.564 0.874  0.624 0.663  0.648 0.446  0.670 0.228  0.692 0.011  0.715 -0.207  0.789 -0.411  0.872 -0.614  0.919 -0.827  0.879 -0.974  0.660 -0.974  0.442 -0.974  0.223 -0.974  0.004 -0.974  -0.215 -0.974  -0.427 -0.968  -0.263 -0.832  -0.076 -0.722  0.123 -0.631
2#apb#apb42#app4214/u  -0.744 0.645  -0.775 0.536  -0.806 0.427  -0.838 0.317  -0.880 0.212  -0.925 0.108  -0.970 0.003  -1.004 -0.105  -1.028 -0.216  -1.053 -0.327  -1.078 -0.438  -1.104 -0.549  -1.132 -0.659  -1.077 -0.747  -0.996 -0.827  -0.900 -0.779  -0.802 -0.720  -0.708 -0.657  -0.618 -0.587  -0.528 -0.518  -0.439 -0.448  -0.349 -0.378  -0.270 -0.297  -0.205 -0.204  -0.140 -0.111  -0.075 -0.018  -0.010 0.075  0.057 0.167  0.131 0.254  0.205 0.340  0.279 0.426  0.340 0.518  0.340 0.631  0.341 0.744  0.453 0.736  0.550 0.677  0.648 0.619  0.735 0.547  0.815 0.466  0.896 0.386  0.976 0.305  1.058 0.227  1.145 0.153  1.231 0.079  1.317 0.005  1.405 -0.067  1.496 -0.135  1.587 -0.204  1.678 -0.272  1.769 -0.340
2#apb#apb42#app4214/g  0.154 1.085  0.088 1.131  -0.033 1.074  -0.156 1.024  -0.280 0.975  -0.394 0.906  -0.505 0.832  -0.599 0.739  -0.685 0.637  -0.766 0.533  -0.808 0.406  -0.836 0.276  -0.754 0.188  -0.636 0.171  -0.508 0.210  -0.384 0.257  -0.263 0.314  -0.143 0.371  -0.054 0.471  0.026 0.576  0.075 0.700  0.074 0.827  0.007 0.943  -0.045 1.001  -0.029 0.868  0.033 0.752  0.099 0.636  0.159 0.517  0.209 0.394  0.256 0.269  0.307 0.146  0.373 0.030  0.439 -0.086  0.503 -0.203  0.566 -0.320  0.606 -0.446  0.630 -0.577  0.646 -0.708  0.622 -0.839  0.597 -0.970  0.546 -1.093  0.486 -1.212  0.412 -1.321  0.318 -1.415  0.224 -1.509  0.118 -1.590  0.007 -1.664  -0.104 -1.738  -0.234 -1.768  -0.363 -1.798
2#apb#apb42#app4214/9  1.191 0.241  1.191 0.402  1.144 0.552  1.029 0.659  0.900 0.756  0.750 0.810  0.596 0.856  0.440 0.892  0.282 0.926  0.125 0.957  -0.033 0.931  -0.192 0.904  -0.351 0.878  -0.501 0.827  -0.643 0.751  -0.784 0.675  -0.922 0.593  -1.042 0.487  -1.162 0.380  -1.255 0.249  -1.302 0.103  -1.302 -0.058  -1.189 -0.167  -1.063 -0.264  -0.911 -0.315  -0.758 -0.366  -0.601 -0.365  -0.442 -0.342  -0.283 -0.318  -0.124 -0.294  0.030 -0.249  0.182 -0.199  0.335 -0.148  0.466 -0.059  0.588 0.045  0.658 0.186  0.548 0.187  0.422 0.087  0.364 -0.052  0.340 -0.211  0.318 -0.370  0.318 -0.531  0.318 -0.692  0.322 -0.852  0.332 -1.013  0.342 -1.173  0.347 -1.334  0.337 -1.494  0.328 -1.655  0.318 -1.815
2#apb#apb42#app4214/M  -0.788 0.399  -0.848 0.209  -0.873 0.008  -0.908 -0.191  -0.946 -0.389  -0.997 -0.585  -1.050 -0.779  -1.081 -0.979  -1.107 -1.179  -1.078 -1.136  -0.999 -0.950  -0.919 -0.765  -0.836 -0.581  -0.769 -0.391  -0.723 -0.195  -0.647 -0.008  -0.559 0.174  -0.453 0.346  -0.314 0.491  -0.165 0.628  0.005 0.648  0.067 0.458  0.059 0.260  0.009 0.065  -0.068 -0.122  -0.140 -0.311  -0.204 -0.502  -0.261 -0.694  -0.214 -0.534  -0.125 -0.353  -0.025 -0.177  0.074 -0.001  0.193 0.162  0.314 0.323  0.440 0.481  0.570 0.636  0.717 0.772  0.879 0.892  1.045 1.008  1.215 1.117  1.357 1.052  1.348 0.850  1.324 0.650  1.270 0.456  1.208 0.264  1.131 0.077  1.059 -0.112  0.995 -0.303  0.936 -0.497  0.884 -0.692
2#apb#apb42#app4214/a  0.696 0.576  0.646 0.729  0.541 0.839  0.395 0.894  0.234 0.894  0.072 0.894  -0.081 0.847  -0.234 0.796  -0.385 0.740  -0.525 0.661  -0.666 0.582  -0.806 0.503  -0.941 0.417  -1.042 0.291  -1.143 0.166  -1.221 0.029  -1.258 -0.128  -1.294 -0.285  -1.297 -0.441  -1.252 -0.596  -1.151 -0.717  -1.037 -0.831  -0.877 -0.835  -0.716 -0.835  -0.563 -0.807  -0.425 -0.722  -0.288 -0.638  -0.151 -0.553  -0.030 -0.446  0.090 -0.339  0.205 -0.226  0.310 -0.104  0.379 0.032  0.379 0.193  0.306 0.332  0.238 0.473  0.186 0.464  0.211 0.317  0.305 0.186  0.406 0.063  0.537 -0.032  0.667 -0.127  0.801 -0.215  0.948 -0.282  1.095 -0.349  1.242 -0.415  1.389 -0.480  1.542 -0.518  1.703 -0.514  1.861 -0.482
2#apb#apb42#app4214/y  -1.004 0.734  -1.043 0.719  -1.027 0.587  -0.988 0.457  -0.938 0.331  -0.868 0.217  -0.772 0.121  -0.661 0.045  -0.539 -0.012  -0.406 -0.041  -0.285 -0.003  -0.171 0.071  -0.057 0.144  0.058 0.218  0.172 0.291  0.287 0.365  0.401 0.438  0.516 0.511  0.630 0.585  0.744 0.658  0.859 0.732  0.973 0.805  1.088 0.879  1.202 0.952  1.154 0.914  1.044 0.833  0.934 0.753  0.835 0.662  0.747 0.558  0.659 0.454  0.573 0.349  0.488 0.243  0.403 0.137  0.318 0.031  0.233 -0.076  0.152 -0.185  0.072 -0.294  -0.009 -0.404  -0.090 -0.513  -0.171 -0.622  -0.243 -0.738  -0.315 -0.853  -0.387 -0.968  -0.459 -1.083  -0.531 -1.199  -0.597 -1.317  -0.664 -1.436  -0.731 -1.554  -0.775 -1.682  -0.814 -1.813
2#apb#apb42#app4214/2  -1.217 0.153  -1.276 0.253  -1.224 0.375  -1.120 0.451  -1.007 0.521  -0.895 0.590  -0.782 0.659  -0.669 0.728  -0.556 0.797  -0.439 0.855  -0.311 0.889  -0.183 0.923  -0.056 0.956  0.074 0.981  0.205 1.003  0.335 1.025  0.466 1.036  0.598 1.036  0.701 0.984  0.769 0.870  0.791 0.755  0.732 0.637  0.667 0.523  0.590 0.415  0.513 0.307  0.434 0.202  0.347 0.102  0.260 0.003  0.173 -0.097  0.088 -0.198  0.008 -0.303  -0.072 -0.408  -0.152 -0.513  -0.242 -0.610  -0.340 -0.699  -0.438 -0.788  -0.523 -0.889  -0.491 -0.979  -0.369 -1.021  -0.237 -1.031  -0.105 -1.042  0.026 -1.055  0.158 -1.069  0.289 -1.083  0.420 -1.073  0.550 -1.050  0.680 -1.027  0.811 -1.021  0.943 -1.031  1.075 -1.040
2#apb#apb42#app4214/2  -0.958 0.346  -1.069 0.413  -1.125 0.509  -1.064 0.621  -0.959 0.698  -0.853 0.774  -0.738 0.832  -0.614 0.870  -0.489 0.909  -0.364 0.947  -0.237 0.976  -0.110 1.006  0.017 1.036  0.146 1.044  0.277 1.044  0.407 1.044  0.528 1.016  0.624 0.931  0.660 0.805  0.647 0.681  0.605 0.557  0.556 0.439  0.454 0.358  0.351 0.278  0.248 0.197  0.152 0.109  0.060 0.017  -0.032 -0.075  -0.125 -0.167  -0.205 -0.270  -0.284 -0.373  -0.364 -0.477  -0.429 -0.589  -0.487 -0.706  -0.518 -0.829  -0.508 -0.955  -0.404 -1.034  -0.297 -1.102  -0.167 -1.087  -0.038 -1.072  0.092 -1.056  0.221 -1.043  0.351 -1.031  0.481 -1.018  0.611 -1.006  0.739 -0.982  0.865 -0.948  0.990 -0.913  1.116 -0.879  1.242 -0.845
