3#apa#apa01#app0177/0  0.152 0.620  0.137 0.763  0.009 0.794  -0.036 0.907  -0.195 0.907  -0.354 0.907  -0.422 0.817  -0.527 0.763  -0.565 0.643  -0.661 0.524  -0.773 0.412  -0.852 0.286  -0.852 0.128  -0.852 -0.031  -0.852 -0.190  -0.852 -0.348  -0.852 -0.507  -0.852 -0.665  -0.745 -0.779  -0.633 -0.892  -0.565 -1.022  -0.487 -1.102  -0.328 -1.102  -0.278 -1.211  -0.155 -1.246  0.004 -1.246  0.019 -1.102  0.178 -1.102  0.296 -1.062  0.351 -0.959  0.439 -0.888  0.500 -0.755  0.612 -0.643  0.724 -0.531  0.726 -0.373  0.726 -0.214  0.768 -0.098  0.870 -0.041  0.870 0.118  0.870 0.277  0.870 0.435  0.787 0.559  0.726 0.693  0.664 0.826  0.552 0.938  0.440 1.050  0.328 1.162  0.182 1.194  0.024 1.194  -0.135 1.194
3#apa#apa01#app0177/b  -0.875 1.916  -0.835 1.796  -0.755 1.717  -0.755 1.557  -0.717 1.435  -0.635 1.358  -0.635 1.198  -0.524 1.084  -0.515 0.928  -0.468 0.788  -0.395 0.659  -0.395 0.499  -0.395 0.339  -0.395 0.180  -0.395 0.020  -0.381 -0.126  -0.274 -0.179  -0.274 -0.339  -0.274 -0.499  -0.274 -0.659  -0.274 -0.636  -0.267 -0.479  -0.154 -0.366  -0.154 -0.206  -0.098 -0.070  0.015 0.043  0.128 0.156  0.255 0.234  0.415 0.234  0.575 0.234  0.687 0.186  0.774 0.114  0.807 -0.013  0.853 -0.126  0.927 -0.212  0.927 -0.372  0.927 -0.532  0.927 -0.691  0.839 -0.815  0.807 -0.961  0.687 -1.001  0.614 -1.087  0.454 -1.087  0.294 -1.087  0.156 -1.037  0.025 -0.967  -0.135 -0.967  -0.169 -0.833  -0.282 -0.720  -0.395 -0.607
3#apa#apa01#app0177/e  -0.753 -0.146  -0.584 -0.146  -0.439 -0.086  -0.320 0.033  -0.181 0.108  -0.012 0.108  0.008 0.256  0.072 0.362  0.241 0.362  0.411 0.362  0.516 0.425  0.516 0.594  0.664 0.615  0.770 0.679  0.770 0.848  0.622 0.869  0.516 0.933  0.516 1.102  0.368 1.123  0.199 1.123  0.030 1.123  -0.139 1.123  -0.245 1.060  -0.245 0.891  -0.393 0.869  -0.544 0.825  -0.663 0.705  -0.753 0.573  -0.753 0.404  -0.753 0.235  -0.753 0.066  -0.753 -0.103  -0.753 -0.273  -0.711 -0.400  -0.542 -0.400  -0.499 -0.526  -0.457 -0.654  -0.288 -0.654  -0.245 -0.780  -0.216 -0.937  -0.096 -1.057  0.029 -1.161  0.199 -1.161  0.368 -1.161  0.531 -1.176  0.650 -1.296  0.770 -1.415  0.939 -1.415  1.108 -1.415  1.278 -1.415
3#apa#apa01#app0177/f  -0.154 -1.758  0.004 -1.744  -0.024 -1.600  -0.154 -1.559  -0.154 -1.387  -0.154 -1.215  -0.213 -1.067  -0.313 -0.936  -0.313 -0.764  -0.313 -0.592  -0.313 -0.420  -0.398 -0.334  -0.471 -0.234  -0.471 -0.062  -0.561 0.072  -0.629 0.216  -0.629 0.388  -0.629 0.560  -0.629 0.732  -0.499 0.774  -0.471 0.918  -0.313 0.932  -0.299 1.090  -0.127 1.090  0.045 1.090  0.217 1.090  0.369 1.139  0.495 1.249  0.667 1.249  0.839 1.249  0.920 1.202  0.818 1.063  0.717 0.924  0.616 0.785  0.515 0.646  0.414 0.506  0.313 0.367  0.211 0.228  0.110 0.089  0.009 -0.050  -0.092 -0.189  -0.193 -0.328  -0.294 -0.467  -0.213 -0.592  -0.065 -0.650  0.107 -0.650  0.279 -0.650  0.320 -0.781  0.465 -0.809  0.637 -0.809
3#apa#apa01#app0177/o  -0.554 0.888  -0.554 0.751  -0.615 0.675  -0.752 0.675  -0.767 0.553  -0.813 0.461  -0.950 0.461  -0.981 0.355  -0.981 0.218  -0.981 0.081  -0.981 -0.056  -0.970 -0.189  -0.873 -0.286  -0.776 -0.383  -0.767 -0.517  -0.719 -0.606  -0.582 -0.606  -0.554 -0.715  -0.531 -0.842  -0.434 -0.939  -0.335 -1.033  -0.198 -1.033  -0.061 -1.033  0.076 -1.033  0.213 -1.033  0.336 -0.997  0.433 -0.900  0.514 -0.797  0.514 -0.659  0.597 -0.606  0.727 -0.599  0.727 -0.461  0.775 -0.344  0.872 -0.247  0.940 -0.138  0.940 -0.001  0.940 0.136  0.940 0.273  0.940 0.410  0.940 0.547  0.934 0.682  0.837 0.779  0.740 0.876  0.608 0.888  0.483 0.919  0.386 1.016  0.285 1.102  0.147 1.102  0.010 1.102  -0.127 1.102
3#apa#apa01#app0177/r  -0.723 0.980  -0.723 0.839  -0.703 0.706  -0.603 0.606  -0.503 0.506  -0.468 0.378  -0.468 0.237  -0.382 0.131  -0.282 0.031  -0.214 -0.082  -0.214 -0.224  -0.214 -0.365  -0.214 -0.507  -0.214 -0.648  -0.214 -0.790  -0.214 -0.931  -0.214 -1.073  -0.214 -1.214  -0.214 -1.356  -0.214 -1.497  -0.214 -1.491  -0.214 -1.349  -0.111 -1.310  0.030 -1.310  0.041 -1.179  0.041 -1.038  0.041 -0.896  0.041 -0.755  0.041 -0.613  0.041 -0.472  0.041 -0.330  0.041 -0.189  0.041 -0.047  0.041 0.094  0.041 0.236  0.041 0.377  0.041 0.519  0.041 0.660  0.041 0.802  0.041 0.943  0.145 0.980  0.287 0.980  0.389 1.074  0.489 1.175  0.606 1.235  0.747 1.235  0.889 1.235  1.030 1.235  1.172 1.235  1.313 1.235
3#apa#apa01#app0177/e  -0.594 -0.104  -0.433 -0.104  -0.271 -0.104  -0.127 -0.062  -0.013 0.052  0.044 0.190  0.075 0.321  0.236 0.321  0.256 0.463  0.320 0.598  0.434 0.712  0.469 0.859  0.469 1.021  0.458 1.171  0.296 1.171  0.134 1.171  -0.027 1.171  -0.169 1.152  -0.169 0.990  -0.299 0.959  -0.382 0.879  -0.410 0.746  -0.571 0.746  -0.594 0.607  -0.682 0.534  -0.807 0.497  -0.807 0.335  -0.807 0.174  -0.807 0.012  -0.807 -0.149  -0.807 -0.311  -0.807 -0.473  -0.702 -0.529  -0.594 -0.583  -0.591 -0.742  -0.430 -0.742  -0.301 -0.822  -0.187 -0.936  -0.033 -0.954  0.128 -0.954  0.290 -0.954  0.452 -0.954  0.613 -0.954  0.775 -0.954  0.936 -0.954  1.098 -0.954  1.259 -0.954  1.421 -0.954  1.531 -0.903  1.531 -0.742
3#apa#apa01#app0177/'  -0.440 1.357  -0.360 1.357  -0.279 1.357  -0.199 1.357  -0.119 1.357  -0.119 1.278  -0.119 1.198  -0.119 1.117  -0.119 1.037  -0.039 1.036  0.041 1.036  0.121 1.036  0.201 1.036  0.202 0.957  0.202 0.877  0.202 0.797  0.202 0.717  0.202 0.637  0.202 0.557  0.202 0.477  0.202 0.396  0.202 0.316  0.202 0.236  0.202 0.156  0.202 0.076  0.167 0.004  0.132 -0.068  0.096 -0.140  0.060 -0.211  0.024 -0.283  -0.012 -0.355  -0.048 -0.426  -0.084 -0.498  -0.119 -0.570  -0.119 -0.650  -0.119 -0.730  -0.119 -0.810  -0.119 -0.890  -0.119 -0.971  -0.119 -1.051  -0.119 -1.131  -0.119 -1.211  -0.119 -1.291  -0.119 -1.371  -0.119 -1.452  -0.118 -1.531  -0.038 -1.531  0.042 -1.531  0.122 -1.531  0.202 -1.531
3#apa#apa01#app0177/6  0.098 1.747  0.083 1.583  -0.066 1.553  -0.066 1.374  -0.126 1.255  -0.283 1.202  -0.394 1.069  -0.431 0.927  -0.558 0.875  -0.558 0.696  -0.640 0.599  -0.722 0.502  -0.834 0.435  -0.886 0.308  -0.886 0.129  -0.886 -0.050  -0.886 -0.229  -0.886 -0.408  -0.859 -0.575  -0.732 -0.702  -0.606 -0.828  -0.479 -0.955  -0.336 -1.040  -0.157 -1.040  0.022 -1.040  0.201 -1.040  0.380 -1.040  0.559 -1.040  0.694 -0.935  0.821 -0.808  0.917 -0.669  0.975 -0.548  1.081 -0.475  1.081 -0.297  1.081 -0.118  1.081 0.061  0.948 0.107  0.917 0.255  0.754 0.271  0.589 0.257  0.560 0.107  0.382 0.107  0.203 0.107  0.098 0.034  0.009 -0.056  -0.066 -0.160  -0.185 -0.220  -0.230 -0.354  -0.379 -0.384  -0.394 -0.548
3#apa#apa01#app0177/  0.375 1.483  0.452 1.483  0.529 1.483  0.547 1.424  0.547 1.347  0.518 1.282  0.464 1.228  0.410 1.173  0.375 1.111  0.375 1.034  0.375 0.957  0.375 0.880  0.375 0.803  0.327 0.746  0.272 0.692  0.218 0.637  0.203 0.567  0.203 0.490  0.177 0.424  0.122 0.369  0.068 0.315  0.030 0.253  0.030 0.176  0.030 0.100  0.030 0.023  0.030 -0.054  0.030 -0.131  0.030 -0.208  -0.002 -0.272  -0.057 -0.326  -0.111 -0.380  -0.157 -0.441  -0.191 -0.510  -0.225 -0.579  -0.260 -0.647  -0.294 -0.716  -0.314 -0.788  -0.314 -0.865  -0.329 -0.928  -0.405 -0.928  -0.482 -0.928  -0.486 -1.001  -0.486 -1.078  -0.486 -1.155  -0.486 -1.232  -0.486 -1.308  -0.486 -1.385  -0.486 -1.462  -0.486 -1.539  -0.486 -1.616
3#apa#apa01#app0177/7  -1.340 0.905  -1.340 0.795  -1.303 0.721  -1.192 0.721  -1.081 0.721  -0.970 0.721  -0.859 0.721  -0.748 0.721  -0.637 0.721  -0.526 0.721  -0.415 0.721  -0.304 0.721  -0.193 0.721  -0.082 0.721  0.029 0.721  0.140 0.721  0.251 0.721  0.362 0.721  0.473 0.721  0.584 0.721  0.693 0.720  0.693 0.609  0.655 0.536  0.544 0.536  0.509 0.460  0.509 0.349  0.509 0.238  0.509 0.127  0.509 0.016  0.509 -0.095  0.507 -0.204  0.396 -0.204  0.324 -0.243  0.324 -0.354  0.324 -0.465  0.322 -0.574  0.211 -0.574  0.139 -0.613  0.139 -0.724  0.139 -0.835  0.139 -0.946  0.139 -1.057  0.111 -1.156  0.033 -1.235  -0.046 -1.313  -0.046 -1.424  -0.009 -1.498  0.102 -1.498  0.139 -1.572  0.139 -1.683
3#apa#apa01#app0177/  0.150 1.568  0.224 1.568  0.281 1.551  0.281 1.477  0.257 1.413  0.205 1.361  0.153 1.308  0.150 1.235  0.150 1.161  0.150 1.087  0.150 1.013  0.150 0.939  0.150 0.865  0.150 0.790  0.150 0.716  0.150 0.642  0.150 0.568  0.150 0.494  0.150 0.420  0.121 0.358  0.069 0.305  0.019 0.252  0.019 0.178  0.019 0.103  0.019 0.029  0.019 -0.045  0.019 -0.119  0.019 -0.193  0.019 -0.267  -0.031 -0.321  -0.084 -0.373  -0.113 -0.435  -0.113 -0.509  -0.113 -0.583  -0.113 -0.658  -0.113 -0.732  -0.120 -0.803  -0.172 -0.855  -0.225 -0.908  -0.244 -0.974  -0.244 -1.048  -0.244 -1.122  -0.244 -1.196  -0.244 -1.270  -0.244 -1.345  -0.244 -1.419  -0.244 -1.493  -0.244 -1.567  -0.187 -1.584  -0.113 -1.584
3#apa#apa01#app0177/8  0.370 1.079  0.116 1.079  -0.112 1.018  -0.334 0.939  -0.554 0.857  -0.775 0.776  -0.980 0.658  -1.033 0.457  -0.998 0.238  -0.886 0.091  -0.752 -0.107  -0.574 -0.183  -0.460 -0.324  -0.206 -0.324  -0.010 -0.464  0.230 -0.450  0.358 -0.324  0.472 -0.183  0.563 0.010  0.651 0.228  0.651 0.482  0.651 0.736  0.651 0.990  0.511 1.104  0.413 1.317  0.176 1.360  0.062 1.220  -0.078 1.081  -0.128 0.832  -0.178 0.583  -0.228 0.334  -0.278 0.084  -0.327 -0.165  -0.426 -0.324  -0.540 -0.464  -0.612 -0.646  -0.612 -0.900  -0.482 -1.025  -0.399 -1.238  -0.191 -1.324  -0.059 -1.446  0.195 -1.446  0.426 -1.390  0.645 -1.306  0.727 -1.089  0.815 -0.885  0.932 -0.747  0.932 -0.493  0.872 -0.264  0.791 -0.043
3#apa#apa01#app0177/9  0.166 1.006  0.005 1.006  -0.157 1.006  -0.318 1.006  -0.480 1.006  -0.624 0.965  -0.741 0.856  -0.882 0.836  -0.914 0.706  -1.032 0.663  -1.032 0.502  -1.032 0.340  -1.032 0.179  -0.942 0.107  -0.882 0.005  -0.769 -0.043  -0.732 -0.168  -0.596 -0.193  -0.434 -0.193  -0.272 -0.193  -0.133 -0.170  -0.099 -0.043  0.017 0.003  0.074 0.107  0.166 0.176  0.166 0.338  0.259 0.407  0.316 0.511  0.316 0.673  0.444 0.706  0.466 0.846  0.466 0.705  0.466 0.544  0.466 0.382  0.466 0.221  0.466 0.059  0.466 -0.102  0.466 -0.264  0.466 -0.425  0.466 -0.587  0.466 -0.749  0.466 -0.910  0.466 -1.072  0.566 -1.192  0.616 -1.333  0.616 -1.494  0.731 -1.541  0.766 -1.667  0.904 -1.691  0.916 -1.841
