1c#apa#apa10#app1052/w  -1.094 1.006  -1.094 0.908  -1.094 0.810  -1.094 0.712  -1.094 0.614  -1.094 0.516  -1.094 0.417  -1.094 0.319  -1.094 0.221  -1.094 0.123  -1.094 0.025  -1.094 -0.073  -1.085 -0.162  -0.986 -0.162  -0.888 -0.162  -0.790 -0.162  -0.692 -0.162  -0.594 -0.162  -0.524 -0.092  -0.455 -0.023  -0.369 0.005  -0.270 0.005  -0.260 -0.082  -0.246 -0.175  -0.177 -0.244  -0.108 -0.314  -0.020 -0.353  0.073 -0.384  0.167 -0.415  0.260 -0.446  0.353 -0.477  0.448 -0.495  0.546 -0.495  0.644 -0.495  0.742 -0.495  0.841 -0.495  0.930 -0.474  0.999 -0.404  1.069 -0.335  1.138 -0.266  1.207 -0.196  1.242 -0.113  1.242 -0.014  1.242 0.084  1.242 0.182  1.242 0.280  1.242 0.378  1.242 0.476  1.242 0.574  1.242 0.673
1c#apa#apa10#app1052/o  -0.155 0.780  -0.281 0.780  -0.406 0.780  -0.532 0.780  -0.658 0.780  -0.765 0.750  -0.821 0.638  -0.877 0.526  -0.933 0.413  -0.990 0.301  -1.046 0.189  -1.048 0.064  -1.048 -0.062  -1.014 -0.180  -0.958 -0.292  -0.902 -0.404  -0.846 -0.516  -0.790 -0.629  -0.717 -0.724  -0.605 -0.780  -0.492 -0.837  -0.380 -0.893  -0.268 -0.949  -0.155 -1.005  -0.036 -0.965  0.083 -0.926  0.202 -0.886  0.321 -0.846  0.440 -0.807  0.559 -0.767  0.678 -0.727  0.757 -0.647  0.797 -0.528  0.837 -0.409  0.876 -0.290  0.916 -0.171  0.956 -0.051  0.995 0.068  1.034 0.187  1.034 0.312  1.034 0.438  0.977 0.540  0.888 0.629  0.799 0.717  0.704 0.796  0.591 0.853  0.479 0.909  0.367 0.965  0.254 1.021  0.142 1.077
1c#apa#apa10#app1052/u  -0.758 0.877  -0.826 0.809  -0.893 0.742  -0.961 0.674  -1.029 0.606  -1.058 0.523  -1.058 0.427  -1.058 0.331  -1.058 0.236  -1.058 0.140  -1.058 0.044  -1.045 -0.049  -1.002 -0.134  -0.959 -0.220  -0.916 -0.305  -0.874 -0.391  -0.831 -0.476  -0.788 -0.562  -0.729 -0.622  -0.634 -0.622  -0.538 -0.622  -0.443 -0.617  -0.352 -0.587  -0.261 -0.557  -0.171 -0.526  -0.080 -0.496  0.011 -0.466  0.102 -0.435  0.192 -0.405  0.283 -0.375  0.374 -0.345  0.459 -0.305  0.526 -0.237  0.594 -0.169  0.662 -0.102  0.729 -0.034  0.797 0.034  0.865 0.101  0.932 0.169  1.000 0.237  1.079 0.277  1.175 0.277  1.270 0.277  1.341 0.303  1.341 0.398  1.341 0.494  1.341 0.564  1.341 0.469  1.341 0.373  1.341 0.277
1c#apa#apa10#app1052/s  -1.550 -0.059  -1.550 -0.165  -1.545 -0.265  -1.439 -0.265  -1.337 -0.257  -1.262 -0.182  -1.187 -0.107  -1.108 -0.038  -1.020 0.020  -0.932 0.079  -0.844 0.137  -0.756 0.196  -0.668 0.255  -0.580 0.313  -0.492 0.372  -0.404 0.431  -0.316 0.489  -0.229 0.548  -0.141 0.606  -0.053 0.665  0.035 0.724  0.129 0.765  0.234 0.765  0.340 0.765  0.446 0.765  0.551 0.765  0.657 0.765  0.730 0.719  0.763 0.619  0.796 0.518  0.830 0.418  0.863 0.318  0.897 0.218  0.913 0.117  0.887 0.014  0.861 -0.088  0.836 -0.191  0.810 -0.294  0.784 -0.396  0.759 -0.499  0.733 -0.601  0.695 -0.696  0.620 -0.771  0.545 -0.846  0.470 -0.920  0.396 -0.995  0.321 -1.070  0.246 -1.145  0.171 -1.219  0.097 -1.294
1c#apa#apa10#app1052/h  -0.317 1.146  -0.278 1.262  -0.239 1.379  -0.201 1.495  -0.162 1.611  -0.075 1.659  0.025 1.636  0.025 1.513  0.025 1.391  0.025 1.269  0.025 1.146  0.025 1.024  0.025 0.902  0.017 0.781  -0.022 0.665  -0.061 0.549  -0.099 0.433  -0.138 0.317  -0.177 0.200  -0.215 0.084  -0.254 -0.032  -0.293 -0.148  -0.328 -0.265  -0.358 -0.383  -0.387 -0.502  -0.417 -0.621  -0.447 -0.739  -0.476 -0.858  -0.488 -0.979  -0.488 -1.101  -0.488 -1.224  -0.386 -1.245  -0.279 -1.207  -0.193 -1.121  -0.106 -1.034  -0.020 -0.948  0.067 -0.861  0.153 -0.775  0.240 -0.688  0.326 -0.602  0.413 -0.515  0.499 -0.429  0.586 -0.342  0.672 -0.256  0.708 -0.292  0.708 -0.414  0.708 -0.536  0.708 -0.659  0.708 -0.781  0.708 -0.903
1c#apa#apa10#app1052/o  0.146 0.394  0.078 0.529  0.011 0.665  -0.057 0.800  -0.125 0.936  -0.243 0.990  -0.395 0.990  -0.518 0.923  -0.625 0.816  -0.733 0.708  -0.806 0.577  -0.874 0.442  -0.942 0.306  -1.010 0.170  -1.047 0.028  -1.047 -0.124  -1.047 -0.276  -1.047 -0.427  -0.993 -0.556  -0.885 -0.663  -0.778 -0.770  -0.644 -0.835  -0.501 -0.882  -0.357 -0.930  -0.213 -0.978  -0.069 -1.026  0.075 -1.074  0.222 -1.098  0.374 -1.098  0.502 -1.041  0.609 -0.933  0.716 -0.826  0.823 -0.719  0.931 -0.612  1.038 -0.505  1.041 -0.354  1.041 -0.203  1.041 -0.051  1.041 0.100  1.041 0.252  1.031 0.394  0.880 0.394  0.731 0.402  0.605 0.486  0.478 0.570  0.352 0.654  0.226 0.738  0.100 0.822  -0.026 0.906  -0.152 0.990
1c#apa#apa10#app1052/u  -0.505 0.492  -0.612 0.545  -0.719 0.599  -0.827 0.653  -0.934 0.706  -1.041 0.760  -1.139 0.798  -1.139 0.678  -1.139 0.558  -1.139 0.438  -1.139 0.318  -1.139 0.198  -1.139 0.078  -1.139 -0.042  -1.126 -0.156  -1.041 -0.241  -0.956 -0.326  -0.871 -0.411  -0.772 -0.460  -0.652 -0.460  -0.532 -0.460  -0.421 -0.418  -0.314 -0.364  -0.207 -0.311  -0.100 -0.257  0.008 -0.203  0.115 -0.150  0.222 -0.096  0.330 -0.042  0.437 0.011  0.544 0.065  0.652 0.119  0.759 0.172  0.764 0.289  0.764 0.409  0.790 0.465  0.875 0.380  0.960 0.296  1.045 0.211  1.081 0.106  1.081 -0.014  1.081 -0.134  1.081 -0.254  1.081 -0.374  1.081 -0.494  1.081 -0.614  1.081 -0.734  1.158 -0.777  1.278 -0.777  1.398 -0.777
1c#apa#apa10#app1052/l  0.231 0.764  0.195 0.837  0.159 0.910  0.122 0.983  0.086 1.055  0.050 1.128  0.059 1.193  0.117 1.251  0.174 1.308  0.231 1.364  0.211 1.286  0.192 1.207  0.172 1.128  0.152 1.049  0.133 0.970  0.113 0.891  0.093 0.812  0.073 0.733  0.054 0.654  0.034 0.575  0.031 0.495  0.031 0.413  0.031 0.332  0.031 0.251  0.031 0.169  0.031 0.088  0.031 0.007  0.022 -0.074  0.002 -0.153  -0.018 -0.231  -0.037 -0.310  -0.057 -0.389  -0.077 -0.468  -0.096 -0.547  -0.116 -0.626  -0.136 -0.705  -0.156 -0.784  -0.169 -0.863  -0.169 -0.945  -0.169 -1.026  -0.169 -1.107  -0.169 -1.189  -0.169 -1.270  -0.169 -1.351  -0.169 -1.433  -0.169 -1.514  -0.169 -1.595  -0.169 -1.677  -0.169 -1.758  -0.169 -1.839
1c#apa#apa10#app1052/d  0.090 -0.439  0.090 -0.253  -0.039 -0.120  -0.200 -0.058  -0.358 -0.126  -0.492 -0.254  -0.659 -0.338  -0.826 -0.421  -0.863 -0.585  -0.863 -0.771  -0.863 -0.958  -0.863 -1.144  -0.734 -1.202  -0.584 -1.290  -0.440 -1.392  -0.264 -1.365  -0.133 -1.234  -0.001 -1.102  0.090 -0.953  0.090 -0.766  0.090 -0.580  0.090 -0.394  0.090 -0.207  0.090 -0.021  0.090 0.166  0.097 0.351  0.142 0.532  0.188 0.713  0.233 0.894  0.278 1.075  0.281 1.261  0.281 1.447  0.281 1.634  0.281 1.820  0.393 1.735  0.471 1.580  0.457 1.395  0.420 1.213  0.384 1.030  0.347 0.847  0.311 0.664  0.281 0.481  0.281 0.294  0.281 0.108  0.281 -0.079  0.281 -0.265  0.281 -0.452  0.281 -0.638  0.281 -0.825  0.281 -1.011
1c#apa#apa10#app1052/n  -0.489 0.377  -0.566 0.299  -0.644 0.222  -0.721 0.144  -0.792 0.064  -0.792 -0.046  -0.792 -0.155  -0.792 -0.265  -0.792 -0.374  -0.792 -0.484  -0.792 -0.593  -0.792 -0.703  -0.792 -0.813  -0.792 -0.922  -0.792 -1.032  -0.792 -1.135  -0.792 -1.025  -0.792 -0.916  -0.771 -0.815  -0.694 -0.737  -0.616 -0.660  -0.539 -0.582  -0.461 -0.505  -0.384 -0.427  -0.306 -0.350  -0.229 -0.272  -0.151 -0.195  -0.074 -0.117  0.004 -0.040  0.081 0.038  0.159 0.115  0.236 0.193  0.314 0.270  0.391 0.348  0.469 0.425  0.546 0.503  0.623 0.580  0.701 0.657  0.793 0.715  0.891 0.764  0.989 0.813  1.087 0.862  1.185 0.911  1.283 0.960  1.329 0.925  1.329 0.815  1.329 0.705  1.329 0.596  1.329 0.486  1.329 0.377
1c#apa#apa10#app1052/t  0.705 1.840  0.552 1.840  0.417 1.798  0.309 1.690  0.202 1.583  0.094 1.475  -0.014 1.367  -0.122 1.259  -0.229 1.152  -0.305 1.024  -0.353 0.879  -0.401 0.735  -0.449 0.590  -0.497 0.446  -0.524 0.298  -0.524 0.145  -0.524 -0.007  -0.524 -0.160  -0.524 -0.312  -0.524 -0.464  -0.524 -0.617  -0.524 -0.769  -0.483 -0.904  -0.375 -1.012  -0.263 -1.109  -0.110 -1.109  0.042 -1.109  0.195 -1.109  0.347 -1.109  0.488 -1.080  0.595 -0.972  0.703 -0.865  0.811 -0.757  0.919 -0.649  0.849 -0.583  0.704 -0.535  0.559 -0.487  0.415 -0.439  0.270 -0.391  0.126 -0.342  -0.019 -0.294  -0.163 -0.246  -0.308 -0.198  -0.453 -0.150  -0.447 -0.126  -0.295 -0.126  -0.142 -0.126  -0.002 -0.096  0.105 0.012  0.213 0.120
1c#apa#apa10#app1052/o  0.458 0.376  0.349 0.486  0.245 0.597  0.245 0.752  0.141 0.803  -0.013 0.803  -0.168 0.803  -0.322 0.803  -0.477 0.803  -0.625 0.786  -0.734 0.677  -0.831 0.560  -0.880 0.413  -0.929 0.267  -0.978 0.120  -1.026 -0.027  -1.034 -0.180  -1.034 -0.335  -1.034 -0.489  -1.034 -0.644  -0.957 -0.766  -0.848 -0.876  -0.708 -0.931  -0.558 -0.968  -0.408 -1.006  -0.258 -1.043  -0.108 -1.081  0.041 -1.111  0.179 -1.042  0.318 -0.973  0.456 -0.904  0.594 -0.835  0.732 -0.765  0.870 -0.696  0.983 -0.591  1.092 -0.482  1.062 -0.334  1.025 -0.184  0.987 -0.034  0.950 0.116  0.912 0.266  0.856 0.405  0.746 0.514  0.637 0.624  0.528 0.733  0.405 0.820  0.258 0.869  0.112 0.918  -0.035 0.967  -0.181 1.016
1c#apa#apa10#app1052/f  0.990 1.299  0.903 1.387  0.797 1.429  0.690 1.470  0.602 1.557  0.492 1.506  0.382 1.450  0.285 1.375  0.206 1.283  0.176 1.163  0.146 1.043  0.116 0.923  0.086 0.803  0.079 0.680  0.079 0.557  0.079 0.433  0.079 0.309  0.112 0.193  0.167 0.082  0.210 -0.031  0.210 -0.155  0.210 -0.279  0.210 -0.402  0.210 -0.526  0.210 -0.650  0.156 -0.761  0.100 -0.871  0.079 -0.990  0.021 -1.082  -0.082 -1.151  -0.185 -1.220  -0.288 -1.288  -0.402 -1.273  -0.520 -1.234  -0.637 -1.195  -0.701 -1.117  -0.701 -0.994  -0.688 -0.872  -0.649 -0.755  -0.610 -0.637  -0.570 -0.520  -0.531 -0.403  -0.492 -0.285  -0.453 -0.168  -0.380 -0.071  -0.285 -0.002  -0.162 -0.002  -0.038 -0.002  0.086 -0.002  0.210 -0.002
