3#apb#apb31#app3198/E  -0.073 0.799  -0.046 0.533  -0.097 0.259  -0.186 -0.006  -0.293 -0.266  -0.408 -0.522  -0.539 -0.770  -0.669 -1.019  -0.819 -1.256  -0.753 -1.023  -0.671 -0.754  -0.589 -0.486  -0.506 -0.218  -0.424 0.051  -0.342 0.319  -0.260 0.588  -0.178 0.856  -0.026 1.044  0.241 1.129  0.498 1.240  0.756 1.350  1.019 1.450  1.284 1.541  1.181 1.389  0.991 1.183  0.801 0.976  0.611 0.770  0.421 0.563  0.231 0.357  0.041 0.150  -0.149 -0.056  -0.339 -0.263  -0.485 -0.439  -0.244 -0.299  -0.012 -0.142  0.224 0.009  0.461 0.161  0.699 0.309  0.701 0.256  0.518 0.043  0.334 -0.169  0.150 -0.381  -0.033 -0.593  -0.217 -0.806  -0.401 -1.018  -0.584 -1.230  -0.768 -1.442  -0.611 -1.488  -0.343 -1.411  -0.099 -1.272
3#apb#apb31#app3198/i  0.264 1.676  0.258 1.607  0.251 1.538  0.244 1.469  0.237 1.400  0.230 1.331  0.223 1.262  0.216 1.193  0.209 1.124  0.202 1.055  0.195 0.986  0.189 0.917  0.178 0.849  0.164 0.781  0.149 0.713  0.135 0.645  0.120 0.577  0.106 0.510  0.091 0.442  0.077 0.374  0.062 0.306  0.048 0.238  0.033 0.171  0.018 0.103  0.004 0.035  -0.011 -0.033  -0.025 -0.101  -0.040 -0.168  -0.054 -0.236  -0.066 -0.305  -0.077 -0.373  -0.088 -0.441  -0.100 -0.510  -0.111 -0.578  -0.123 -0.647  -0.134 -0.715  -0.145 -0.783  -0.157 -0.852  -0.168 -0.920  -0.180 -0.989  -0.191 -1.057  -0.202 -1.125  -0.214 -1.194  -0.225 -1.262  -0.237 -1.331  -0.248 -1.399  -0.259 -1.467  -0.271 -1.536  -0.282 -1.604  -0.294 -1.673
3#apb#apb31#app3198/t  0.627 1.182  0.676 1.033  0.678 0.877  0.678 0.720  0.649 0.567  0.613 0.415  0.577 0.262  0.536 0.111  0.480 -0.035  0.424 -0.181  0.368 -0.328  0.311 -0.473  0.253 -0.619  0.195 -0.764  0.137 -0.910  0.067 -1.050  -0.003 -1.190  -0.073 -1.330  -0.138 -1.472  -0.192 -1.619  -0.234 -1.661  -0.256 -1.506  -0.278 -1.351  -0.300 -1.196  -0.322 -1.041  -0.344 -0.886  -0.366 -0.731  -0.388 -0.576  -0.410 -0.421  -0.432 -0.265  -0.454 -0.110  -0.476 0.045  -0.498 0.200  -0.520 0.355  -0.542 0.510  -0.564 0.665  -0.586 0.820  -0.608 0.975  -0.630 1.130  -0.585 1.152  -0.472 1.045  -0.334 0.971  -0.196 0.896  -0.047 0.855  0.108 0.831  0.262 0.806  0.418 0.801  0.574 0.816  0.729 0.830  0.885 0.845
3#apb#apb31#app3198/u  -0.171 1.105  -0.207 0.990  -0.243 0.874  -0.279 0.759  -0.315 0.644  -0.350 0.528  -0.385 0.413  -0.420 0.297  -0.454 0.181  -0.489 0.066  -0.524 -0.050  -0.560 -0.165  -0.596 -0.280  -0.633 -0.395  -0.669 -0.510  -0.706 -0.626  -0.723 -0.744  -0.731 -0.865  -0.740 -0.985  -0.748 -1.106  -0.712 -1.221  -0.654 -1.285  -0.549 -1.225  -0.450 -1.159  -0.381 -1.060  -0.312 -0.961  -0.244 -0.862  -0.175 -0.762  -0.109 -0.661  -0.043 -0.560  0.022 -0.458  0.088 -0.357  0.153 -0.255  0.222 -0.156  0.293 -0.058  0.363 0.040  0.434 0.138  0.505 0.236  0.575 0.333  0.643 0.434  0.708 0.535  0.774 0.636  0.839 0.738  0.905 0.839  0.975 0.937  1.056 1.027  1.136 1.117  1.217 1.207  1.294 1.300  1.370 1.394
3#apb#apb31#app3198/r  -0.201 0.528  -0.250 0.401  -0.298 0.274  -0.333 0.143  -0.365 0.010  -0.396 -0.122  -0.429 -0.254  -0.462 -0.386  -0.495 -0.518  -0.514 -0.652  -0.527 -0.788  -0.539 -0.923  -0.553 -1.058  -0.569 -1.193  -0.585 -1.328  -0.566 -1.460  -0.570 -1.482  -0.592 -1.350  -0.586 -1.214  -0.567 -1.080  -0.547 -0.945  -0.506 -0.815  -0.466 -0.686  -0.422 -0.557  -0.371 -0.431  -0.321 -0.305  -0.270 -0.178  -0.213 -0.055  -0.155 0.068  -0.096 0.191  -0.021 0.302  0.069 0.404  0.159 0.506  0.249 0.608  0.342 0.707  0.435 0.807  0.528 0.906  0.626 1.000  0.729 1.089  0.832 1.177  0.943 1.256  1.064 1.310  1.046 1.195  1.002 1.066  0.942 0.945  0.881 0.823  0.821 0.701  0.763 0.578  0.704 0.455  0.646 0.332
3#apb#apb31#app3198/e  -1.090 -0.304  -0.928 -0.304  -0.767 -0.304  -0.608 -0.290  -0.453 -0.243  -0.299 -0.195  -0.150 -0.135  -0.008 -0.058  0.134 0.018  0.268 0.106  0.388 0.214  0.508 0.322  0.625 0.433  0.739 0.547  0.821 0.684  0.893 0.829  0.826 0.968  0.722 1.090  0.608 1.204  0.479 1.277  0.318 1.263  0.157 1.248  0.004 1.197  -0.148 1.144  -0.248 1.018  -0.349 0.892  -0.442 0.760  -0.518 0.618  -0.595 0.476  -0.666 0.332  -0.724 0.181  -0.782 0.031  -0.810 -0.123  -0.782 -0.282  -0.754 -0.441  -0.726 -0.600  -0.620 -0.709  -0.488 -0.801  -0.355 -0.893  -0.216 -0.973  -0.068 -1.037  0.080 -1.102  0.228 -1.167  0.383 -1.151  0.540 -1.114  0.697 -1.078  0.850 -1.032  0.980 -0.936  1.109 -0.839  1.238 -0.742
3#apb#apb31#app3198/T  0.562 0.716  0.566 0.661  0.535 0.525  0.503 0.389  0.468 0.254  0.430 0.119  0.393 -0.015  0.354 -0.150  0.314 -0.284  0.275 -0.418  0.228 -0.549  0.175 -0.678  0.122 -0.808  0.064 -0.934  0.001 -1.059  -0.063 -1.183  -0.155 -1.288  -0.246 -1.394  -0.335 -1.502  -0.437 -1.424  -0.461 -1.286  -0.484 -1.148  -0.508 -1.011  -0.531 -0.873  -0.555 -0.735  -0.578 -0.598  -0.602 -0.460  -0.625 -0.322  -0.649 -0.184  -0.672 -0.047  -0.696 0.091  -0.719 0.229  -0.743 0.366  -0.766 0.504  -0.679 0.558  -0.543 0.580  -0.409 0.621  -0.279 0.670  -0.153 0.729  -0.026 0.789  0.100 0.849  0.234 0.889  0.368 0.929  0.501 0.969  0.633 1.015  0.761 1.071  0.889 1.127  1.018 1.182  1.147 1.234  1.277 1.286
3#apb#apb31#app3198/o  -0.278 0.689  -0.362 0.586  -0.447 0.482  -0.525 0.375  -0.589 0.258  -0.653 0.141  -0.697 0.015  -0.739 -0.111  -0.781 -0.238  -0.801 -0.370  -0.818 -0.502  -0.834 -0.634  -0.816 -0.766  -0.797 -0.898  -0.753 -1.018  -0.664 -1.117  -0.575 -1.216  -0.452 -1.253  -0.320 -1.273  -0.197 -1.261  -0.096 -1.174  0.004 -1.087  0.105 -0.999  0.192 -0.900  0.267 -0.790  0.343 -0.680  0.418 -0.569  0.493 -0.459  0.557 -0.343  0.610 -0.221  0.662 -0.098  0.715 0.024  0.766 0.147  0.806 0.275  0.845 0.402  0.885 0.529  0.850 0.657  0.810 0.784  0.770 0.911  0.693 1.016  0.602 1.115  0.512 1.213  0.394 1.254  0.261 1.266  0.144 1.225  0.039 1.143  -0.048 1.046  -0.108 0.927  -0.168 0.808  -0.227 0.689
3#apb#apb31#app3198/w  -1.076 0.427  -1.135 0.277  -1.194 0.127  -1.253 -0.023  -1.263 -0.183  -1.263 -0.344  -1.262 -0.505  -1.253 -0.666  -1.245 -0.827  -1.158 -0.946  -1.022 -0.986  -0.872 -0.926  -0.729 -0.854  -0.605 -0.751  -0.480 -0.649  -0.368 -0.535  -0.270 -0.407  -0.173 -0.278  -0.075 -0.150  0.016 -0.017  0.096 0.123  0.176 0.263  0.256 0.403  0.335 0.543  0.412 0.685  0.489 0.827  0.567 0.968  0.634 1.115  0.691 1.263  0.642 1.186  0.564 1.045  0.483 0.906  0.407 0.765  0.349 0.614  0.292 0.463  0.240 0.311  0.197 0.155  0.155 -0.000  0.136 -0.158  0.150 -0.318  0.262 -0.433  0.410 -0.467  0.570 -0.456  0.726 -0.417  0.881 -0.374  1.030 -0.313  1.180 -0.251  1.317 -0.168  1.451 -0.078  1.585 0.011
3#apb#apb31#app3198/n  -0.864 1.038  -0.757 0.939  -0.671 0.813  -0.599 0.679  -0.581 0.527  -0.564 0.375  -0.539 0.224  -0.509 0.073  -0.490 -0.078  -0.490 -0.231  -0.504 -0.382  -0.541 -0.531  -0.579 -0.679  -0.651 -0.814  -0.724 -0.949  -0.778 -1.092  -0.829 -1.236  -0.900 -1.252  -0.839 -1.112  -0.779 -0.971  -0.703 -0.838  -0.626 -0.706  -0.550 -0.573  -0.473 -0.441  -0.397 -0.308  -0.320 -0.175  -0.244 -0.043  -0.163 0.087  -0.078 0.215  0.007 0.342  0.092 0.470  0.200 0.577  0.313 0.681  0.424 0.786  0.532 0.894  0.669 0.949  0.820 0.972  0.966 0.946  1.094 0.863  1.183 0.742  1.191 0.594  1.168 0.443  1.134 0.294  1.097 0.145  1.060 -0.003  1.028 -0.153  0.998 -0.303  0.968 -0.453  0.923 -0.599  0.875 -0.745
3#apb#apb31#app3198/e  -1.089 -0.552  -0.961 -0.440  -0.814 -0.359  -0.655 -0.298  -0.497 -0.236  -0.338 -0.176  -0.179 -0.115  -0.022 -0.050  0.125 0.035  0.273 0.120  0.417 0.210  0.555 0.310  0.693 0.409  0.823 0.517  0.944 0.638  1.024 0.777  1.019 0.940  0.925 1.082  0.797 1.192  0.661 1.294  0.497 1.293  0.329 1.273  0.167 1.225  0.009 1.161  -0.133 1.078  -0.223 0.934  -0.312 0.789  -0.402 0.644  -0.464 0.486  -0.526 0.328  -0.588 0.170  -0.647 0.010  -0.673 -0.158  -0.699 -0.326  -0.725 -0.494  -0.734 -0.663  -0.734 -0.833  -0.728 -1.001  -0.596 -1.108  -0.457 -1.198  -0.288 -1.212  -0.125 -1.178  0.033 -1.115  0.190 -1.051  0.335 -0.963  0.477 -0.868  0.618 -0.774  0.758 -0.678  0.899 -0.582  1.039 -0.486
3#apb#apb31#app3198/J  0.373 0.583  0.324 0.724  0.392 0.857  0.511 0.931  0.561 0.793  0.562 0.641  0.546 0.489  0.528 0.338  0.492 0.190  0.457 0.042  0.437 -0.109  0.424 -0.260  0.412 -0.412  0.383 -0.562  0.351 -0.711  0.320 -0.860  0.297 -1.010  0.272 -1.160  0.220 -1.304  0.120 -1.416  -0.018 -1.476  -0.159 -1.530  -0.287 -1.465  -0.408 -1.372  -0.483 -1.241  -0.501 -1.090  -0.518 -0.938  -0.535 -0.787  -0.553 -0.636  -0.570 -0.484  -0.588 -0.333  -0.605 -0.182  -0.622 -0.030  -0.640 0.121  -0.657 0.272  -0.675 0.424  -0.692 0.575  -0.709 0.726  -0.725 0.877  -0.578 0.913  -0.426 0.913  -0.274 0.913  -0.123 0.936  0.027 0.960  0.178 0.981  0.329 0.997  0.481 1.014  0.632 1.032  0.783 1.052  0.934 1.071
3#apb#apb31#app3198/e  -1.097 -0.697  -0.957 -0.651  -0.817 -0.604  -0.677 -0.559  -0.536 -0.515  -0.395 -0.472  -0.273 -0.391  -0.150 -0.309  -0.027 -0.228  0.087 -0.135  0.201 -0.041  0.315 0.052  0.426 0.148  0.524 0.258  0.622 0.368  0.720 0.479  0.817 0.589  0.886 0.720  0.954 0.850  1.023 0.980  1.041 1.123  1.035 1.266  0.897 1.318  0.765 1.297  0.637 1.223  0.509 1.150  0.401 1.051  0.296 0.947  0.192 0.843  0.090 0.737  -0.007 0.627  -0.104 0.516  -0.201 0.405  -0.277 0.280  -0.337 0.146  -0.398 0.012  -0.458 -0.123  -0.509 -0.261  -0.558 -0.400  -0.606 -0.539  -0.646 -0.680  -0.655 -0.827  -0.664 -0.974  -0.640 -1.115  -0.580 -1.250  -0.455 -1.311  -0.314 -1.354  -0.173 -1.357  -0.031 -1.316  0.110 -1.276
3#apb#apb31#app3198/w  -0.573 0.721  -0.659 0.598  -0.738 0.471  -0.805 0.337  -0.872 0.203  -0.933 0.066  -0.994 -0.071  -1.046 -0.212  -1.085 -0.357  -1.129 -0.500  -1.185 -0.639  -1.152 -0.783  -1.042 -0.820  -0.917 -0.736  -0.811 -0.630  -0.705 -0.524  -0.604 -0.413  -0.505 -0.301  -0.416 -0.180  -0.327 -0.059  -0.241 0.064  -0.155 0.187  -0.083 0.318  -0.005 0.439  -0.073 0.341  -0.112 0.196  -0.107 0.047  -0.098 -0.103  -0.096 -0.253  -0.096 -0.403  -0.044 -0.538  0.041 -0.658  0.179 -0.704  0.318 -0.649  0.442 -0.567  0.559 -0.473  0.671 -0.375  0.751 -0.248  0.831 -0.121  0.911 0.006  0.986 0.136  1.061 0.266  1.134 0.397  1.201 0.531  1.268 0.665  1.336 0.799  1.403 0.934  1.445 1.077  1.478 1.219  1.595 1.298
3#apb#apb31#app3198/e  -1.407 -1.123  -1.380 -0.953  -1.231 -0.855  -1.059 -0.800  -0.884 -0.753  -0.709 -0.709  -0.534 -0.662  -0.374 -0.578  -0.214 -0.494  -0.055 -0.409  0.104 -0.321  0.262 -0.233  0.394 -0.115  0.501 0.030  0.608 0.176  0.720 0.318  0.832 0.461  0.881 0.629  0.903 0.809  0.867 0.978  0.784 1.139  0.684 1.289  0.555 1.414  0.410 1.493  0.255 1.400  0.123 1.280  0.005 1.142  -0.108 1.002  -0.198 0.845  -0.289 0.689  -0.370 0.528  -0.425 0.355  -0.479 0.183  -0.533 0.010  -0.584 -0.163  -0.636 -0.337  -0.642 -0.517  -0.642 -0.698  -0.551 -0.846  -0.400 -0.895  -0.221 -0.871  -0.056 -0.807  0.097 -0.710  0.250 -0.614  0.404 -0.519  0.560 -0.426  0.715 -0.333  0.869 -0.239  1.022 -0.143  1.176 -0.047
3#apb#apb31#app3198/l  0.555 1.604  0.539 1.536  0.523 1.469  0.506 1.402  0.483 1.336  0.460 1.271  0.438 1.205  0.415 1.140  0.391 1.075  0.368 1.009  0.344 0.944  0.321 0.879  0.297 0.814  0.274 0.748  0.250 0.683  0.226 0.618  0.203 0.553  0.179 0.488  0.155 0.423  0.132 0.358  0.108 0.293  0.083 0.228  0.058 0.163  0.033 0.098  0.009 0.034  -0.016 -0.031  -0.041 -0.096  -0.066 -0.160  -0.091 -0.225  -0.115 -0.290  -0.138 -0.355  -0.161 -0.421  -0.184 -0.486  -0.207 -0.552  -0.230 -0.617  -0.253 -0.682  -0.276 -0.748  -0.299 -0.813  -0.321 -0.879  -0.344 -0.944  -0.367 -1.010  -0.389 -1.075  -0.412 -1.141  -0.434 -1.206  -0.457 -1.272  -0.475 -1.339  -0.492 -1.406  -0.510 -1.473  -0.527 -1.540  -0.545 -1.607
3#apb#apb31#app3198/e  -0.927 -0.668  -0.766 -0.668  -0.607 -0.649  -0.452 -0.602  -0.307 -0.537  -0.179 -0.438  -0.050 -0.340  0.075 -0.238  0.182 -0.117  0.289 0.004  0.396 0.126  0.503 0.247  0.590 0.382  0.667 0.525  0.743 0.667  0.808 0.815  0.868 0.965  0.859 1.117  0.808 1.271  0.709 1.395  0.565 1.425  0.404 1.408  0.271 1.321  0.143 1.222  0.015 1.124  -0.093 1.006  -0.189 0.875  -0.284 0.745  -0.380 0.614  -0.454 0.471  -0.526 0.326  -0.598 0.181  -0.671 0.037  -0.716 -0.116  -0.737 -0.277  -0.758 -0.437  -0.768 -0.598  -0.768 -0.760  -0.679 -0.885  -0.565 -0.999  -0.450 -1.113  -0.289 -1.115  -0.127 -1.115  0.031 -1.093  0.184 -1.042  0.338 -0.991  0.491 -0.941  0.646 -0.892  0.800 -0.844  0.954 -0.796
3#apb#apb31#app3198/r  -0.456 0.182  -0.500 0.064  -0.544 -0.054  -0.584 -0.174  -0.606 -0.298  -0.628 -0.422  -0.649 -0.546  -0.670 -0.670  -0.691 -0.794  -0.710 -0.919  -0.728 -1.044  -0.746 -1.168  -0.760 -1.294  -0.757 -1.352  -0.726 -1.230  -0.677 -1.114  -0.627 -0.998  -0.577 -0.883  -0.531 -0.765  -0.486 -0.648  -0.441 -0.530  -0.396 -0.412  -0.351 -0.294  -0.308 -0.176  -0.264 -0.058  -0.220 0.060  -0.176 0.178  -0.116 0.288  -0.051 0.396  0.014 0.504  0.079 0.612  0.144 0.720  0.240 0.802  0.335 0.885  0.430 0.967  0.536 1.035  0.645 1.098  0.762 1.130  0.888 1.130  0.994 1.081  1.083 0.992  1.115 0.872  1.127 0.748  1.118 0.622  1.090 0.503  1.016 0.401  0.941 0.300  0.864 0.200  0.795 0.097  0.760 -0.025
3#apb#apb31#app3198/s  0.431 1.579  0.350 1.576  0.286 1.529  0.234 1.467  0.183 1.404  0.143 1.334  0.103 1.264  0.071 1.190  0.045 1.113  0.025 1.034  0.007 0.955  -0.010 0.876  -0.013 0.796  -0.013 0.715  0.003 0.636  0.026 0.558  0.070 0.495  0.135 0.446  0.175 0.376  0.215 0.306  0.271 0.251  0.341 0.209  0.391 0.148  0.436 0.081  0.448 0.006  0.434 -0.074  0.407 -0.150  0.375 -0.224  0.334 -0.293  0.280 -0.353  0.226 -0.413  0.172 -0.474  0.118 -0.534  0.066 -0.596  0.014 -0.658  -0.039 -0.720  -0.091 -0.782  -0.144 -0.843  -0.204 -0.898  -0.263 -0.953  -0.322 -1.008  -0.381 -1.064  -0.441 -1.119  -0.500 -1.174  -0.566 -1.221  -0.633 -1.267  -0.699 -1.313  -0.766 -1.359  -0.833 -1.405  -0.900 -1.451
