1d#ced#cypl9614_s_jd/@  0.284 0.416  0.142 0.618  -0.104 0.577  -0.311 0.407  -0.445 0.179  -0.565 -0.060  -0.520 -0.319  -0.307 -0.450  -0.064 -0.359  0.144 -0.192  0.294 0.029  0.362 0.280  0.259 0.426  0.247 0.161  0.281 -0.104  0.322 -0.367  0.524 -0.518  0.747 -0.392  0.913 -0.184  1.021 0.061  1.076 0.325  1.056 0.592  0.972 0.846  0.816 1.062  0.595 1.215  0.334 1.256  0.074 1.267  -0.191 1.222  -0.437 1.119  -0.653 0.961  -0.830 0.758  -0.974 0.531  -1.074 0.281  -1.144 0.023  -1.178 -0.244  -1.157 -0.512  -1.150 -0.781  -1.061 -1.034  -0.909 -1.254  -0.682 -1.393  -0.417 -1.432  -0.152 -1.387  0.088 -1.266  0.273 -1.075  0.422 -0.851  0.544 -0.612  0.622 -0.354  0.667 -0.088  0.656 0.180  0.589 0.436
1d#ced#cypl9614_s_jd/  -1.324 -0.007  -1.324 -0.067  -1.337 -0.007  -1.391 0.013  -1.391 0.035  -1.391 0.027  -1.363 0.033  -1.305 -0.007  -1.231 -0.007  -1.157 -0.007  -1.083 -0.007  -1.009 -0.007  -0.935 -0.007  -0.867 -0.032  -0.800 -0.066  -0.728 -0.074  -0.654 -0.074  -0.580 -0.074  -0.506 -0.074  -0.432 -0.074  -0.357 -0.074  -0.283 -0.074  -0.213 -0.053  -0.142 -0.029  -0.072 -0.007  0.002 -0.007  0.076 -0.007  0.151 -0.007  0.225 -0.007  0.299 -0.007  0.373 -0.007  0.447 -0.007  0.521 -0.007  0.592 0.013  0.663 0.037  0.733 0.060  0.803 0.039  0.874 0.015  0.944 -0.005  1.014 0.019  1.085 0.042  1.156 0.061  1.230 0.061  1.304 0.061  1.378 0.061  1.452 0.061  1.526 0.061  1.601 0.061  1.675 0.061  1.749 0.061
1d#ced#cypl9614_s_jd/  -1.143 -0.016  -1.148 0.059  -1.219 0.068  -1.219 0.122  -1.231 0.072  -1.287 0.128  -1.244 0.085  -1.219 0.103  -1.219 0.087  -1.167 0.059  -1.087 0.059  -1.068 -0.001  -1.003 -0.016  -0.923 -0.016  -0.865 -0.068  -0.809 -0.058  -0.747 -0.016  -0.667 -0.016  -0.590 -0.029  -0.519 -0.064  -0.452 -0.078  -0.395 -0.021  -0.318 -0.016  -0.238 -0.016  -0.158 -0.016  -0.079 -0.016  0.001 -0.016  0.081 -0.016  0.160 -0.016  0.240 -0.016  0.320 -0.016  0.399 -0.016  0.479 -0.016  0.559 -0.016  0.638 -0.016  0.718 -0.016  0.798 -0.016  0.877 -0.016  0.957 -0.016  1.037 -0.016  1.116 -0.016  1.196 -0.016  1.276 -0.016  1.356 -0.016  1.435 -0.016  1.515 -0.016  1.595 -0.016  1.674 -0.016  1.754 -0.016  1.834 -0.016
1d#ced#cypl9614_s_jd/:  0.796 1.131  0.796 1.260  0.753 1.347  0.750 1.302  0.677 1.226  0.570 1.174  0.458 1.131  0.353 1.158  0.253 1.174  0.157 1.232  0.199 1.286  0.139 1.217  0.071 1.156  0.029 1.154  0.008 1.027  -0.018 0.901  -0.044 0.774  -0.070 0.648  -0.095 0.521  -0.121 0.395  -0.147 0.268  -0.173 0.142  -0.198 0.015  -0.224 -0.111  -0.250 -0.237  -0.275 -0.364  -0.301 -0.490  -0.327 -0.617  -0.353 -0.743  -0.378 -0.870  -0.404 -0.996  -0.430 -1.123  -0.456 -1.249  -0.481 -1.376  -0.483 -1.263  -0.440 -1.144  -0.398 -1.057  -0.334 -0.979  -0.253 -0.881  -0.173 -0.787  -0.045 -0.781  0.075 -0.744  0.204 -0.744  0.333 -0.744  0.320 -0.787  0.191 -0.787  0.079 -0.744  -0.032 -0.684  -0.123 -0.678  -0.184 -0.659
1d#ced#cypl9614_s_jd/$  0.601 0.601  0.597 0.855  0.474 1.087  0.272 1.186  0.041 1.053  -0.166 0.886  -0.355 0.699  -0.531 0.503  -0.718 0.314  -0.670 0.209  -0.425 0.302  -0.170 0.385  0.076 0.488  0.326 0.585  0.584 0.609  0.810 0.479  0.975 0.271  1.064 0.026  1.085 -0.241  0.987 -0.485  0.808 -0.677  0.592 -0.830  0.338 -0.911  0.078 -0.967  -0.190 -0.967  -0.456 -0.941  -0.703 -0.847  -0.897 -0.673  -0.844 -0.429  -0.725 -0.189  -0.607 0.052  -0.488 0.293  -0.370 0.533  -0.251 0.774  -0.225 1.028  -0.225 1.288  -0.156 1.277  -0.094 1.016  -0.060 0.751  -0.032 0.484  -0.018 0.217  -0.018 -0.051  -0.018 -0.320  -0.018 -0.588  -0.018 -0.856  -0.022 -1.124  -0.039 -1.391  -0.075 -1.657  -0.061 -1.923  -0.060 -2.184
1d#ced#cypl9614_s_jd/,  -0.456 -0.586  -0.568 -0.586  -0.600 -0.507  -0.600 -0.396  -0.610 -0.288  -0.689 -0.209  -0.745 -0.121  -0.745 -0.009  -0.745 0.103  -0.745 0.214  -0.745 0.326  -0.745 0.438  -0.745 0.549  -0.745 0.661  -0.745 0.773  -0.745 0.884  -0.745 0.996  -0.669 1.076  -0.600 1.132  -0.600 1.020  -0.508 1.001  -0.413 0.959  -0.335 0.880  -0.256 0.801  -0.177 0.722  -0.098 0.643  -0.018 0.566  0.082 0.516  0.182 0.466  0.278 0.411  0.357 0.332  0.427 0.246  0.477 0.147  0.527 0.047  0.576 -0.053  0.626 -0.153  0.676 -0.253  0.726 -0.353  0.776 -0.452  0.826 -0.552  0.843 -0.660  0.843 -0.772  0.843 -0.883  0.843 -0.995  0.882 -1.097  0.932 -1.197  0.982 -1.297  0.943 -1.397  0.893 -1.497  0.843 -1.597
1d#ced#cypl9614_s_jd/!  -0.094 0.961  -0.071 1.050  -0.039 1.136  0.003 1.219  0.031 1.306  0.075 1.385  0.106 1.469  0.145 1.547  0.167 1.464  0.167 1.371  0.167 1.279  0.167 1.187  0.159 1.096  0.142 1.005  0.127 0.914  0.123 0.822  0.114 0.731  0.099 0.640  0.086 0.549  0.073 0.458  0.060 0.366  0.045 0.275  0.031 0.184  0.018 0.093  0.001 0.003  -0.015 -0.088  -0.030 -0.179  -0.045 -0.270  -0.050 -0.362  -0.059 -0.453  -0.079 -0.543  -0.094 -0.633  -0.112 -0.722  -0.135 -0.810  -0.118 -0.901  -0.101 -0.991  -0.084 -1.082  -0.094 -1.151  -0.115 -1.135  -0.052 -1.104  0.031 -1.081  0.123 -1.081  0.123 -1.129  0.083 -1.208  0.011 -1.257  -0.068 -1.298  -0.155 -1.320  -0.242 -1.298  -0.313 -1.250  -0.311 -1.168
1d#ced#cypl9614_s_jd/'  0.997 0.369  0.894 0.369  0.804 0.401  0.722 0.450  0.675 0.506  0.596 0.530  0.574 0.611  0.471 0.611  0.368 0.611  0.353 0.699  0.323 0.772  0.273 0.825  0.197 0.852  0.192 0.950  0.192 1.053  0.148 1.050  0.075 1.050  -0.010 1.094  -0.049 1.030  -0.135 1.013  -0.210 0.985  -0.210 0.882  -0.210 0.779  -0.210 0.676  -0.210 0.573  -0.229 0.473  -0.262 0.376  -0.291 0.277  -0.291 0.174  -0.291 0.071  -0.291 -0.032  -0.291 -0.135  -0.291 -0.238  -0.291 -0.341  -0.291 -0.444  -0.291 -0.547  -0.291 -0.650  -0.291 -0.753  -0.291 -0.856  -0.291 -0.959  -0.291 -1.062  -0.291 -1.165  -0.291 -1.268  -0.291 -1.371  -0.268 -1.470  -0.236 -1.568  -0.205 -1.666  -0.180 -1.766  -0.155 -1.866  -0.130 -1.966
1d#ced#cypl9614_s_jd/'  -0.232 0.618  -0.232 0.703  -0.232 0.789  -0.237 0.872  -0.298 0.932  -0.315 1.011  -0.315 1.096  -0.315 1.182  -0.315 1.267  -0.315 1.213  -0.265 1.251  -0.204 1.255  -0.149 1.192  -0.149 1.107  -0.149 1.021  -0.149 0.936  -0.137 0.855  -0.077 0.795  -0.066 0.714  -0.066 0.628  -0.032 0.551  0.006 0.474  0.017 0.391  0.017 0.306  0.046 0.227  0.084 0.151  0.100 0.069  0.100 -0.016  0.100 -0.102  0.126 -0.181  0.164 -0.258  0.184 -0.339  0.184 -0.424  0.184 -0.509  0.184 -0.595  0.184 -0.680  0.184 -0.766  0.184 -0.851  0.184 -0.937  0.184 -1.022  0.184 -1.108  0.184 -1.193  0.184 -1.279  0.184 -1.364  0.184 -1.450  0.184 -1.535  0.184 -1.621  0.184 -1.706  0.184 -1.792  0.184 -1.877
1d#ced#cypl9614_s_jd/!  -0.006 1.292  0.002 1.377  0.019 1.460  0.042 1.543  0.042 1.630  0.042 1.577  0.042 1.490  0.042 1.403  0.018 1.321  0.018 1.234  0.018 1.147  0.018 1.060  0.018 0.973  0.018 0.886  0.018 0.799  0.018 0.712  0.018 0.625  0.018 0.538  0.018 0.451  0.018 0.364  0.018 0.277  0.018 0.190  0.018 0.103  0.018 0.016  0.018 -0.071  0.018 -0.158  0.018 -0.245  0.018 -0.332  0.018 -0.419  0.018 -0.506  0.015 -0.593  0.012 -0.680  0.010 -0.767  0.007 -0.854  0.004 -0.941  0.001 -1.028  -0.002 -1.115  -0.005 -1.202  0.018 -1.172  0.018 -1.165  -0.029 -1.102  -0.029 -1.106  0.018 -1.134  -0.024 -1.189  -0.077 -1.193  -0.144 -1.191  -0.189 -1.130  -0.149 -1.078  -0.073 -1.052  -0.006 -1.052
1d#ced#cypl9614_s_jd/=  -0.569 0.383  -0.709 0.444  -0.850 0.543  -0.950 0.656  -0.824 0.617  -0.647 0.595  -0.475 0.586  -0.294 0.595  -0.113 0.611  0.067 0.625  0.245 0.670  0.423 0.709  0.604 0.722  0.781 0.766  0.957 0.807  1.139 0.813  1.305 0.811  1.175 0.724  1.013 0.640  0.850 0.557  0.688 0.474  0.525 0.390  0.363 0.307  0.200 0.224  0.038 0.140  -0.124 0.057  -0.287 -0.026  -0.449 -0.110  -0.612 -0.193  -0.774 -0.276  -0.936 -0.360  -1.083 -0.464  -1.221 -0.572  -1.326 -0.711  -1.230 -0.798  -1.062 -0.798  -0.879 -0.798  -0.700 -0.770  -0.518 -0.768  -0.336 -0.762  -0.156 -0.737  0.026 -0.737  0.209 -0.737  0.391 -0.737  0.572 -0.725  0.753 -0.707  0.935 -0.702  1.114 -0.677  1.293 -0.652  1.460 -0.646
