2#apa#apa13#app1362/8  0.286 -0.180  0.184 -0.086  0.003 -0.101  -0.107 -0.196  -0.245 -0.335  -0.279 -0.517  -0.373 -0.673  -0.373 -0.869  -0.279 -0.971  -0.247 -1.154  -0.081 -1.226  0.080 -1.310  0.276 -1.310  0.472 -1.310  0.668 -1.310  0.770 -1.216  0.932 -1.135  0.945 -0.944  0.881 -0.775  0.714 -0.676  0.618 -0.557  0.461 -0.462  0.277 -0.411  0.121 -0.297  0.025 -0.128  -0.104 0.015  -0.280 0.103  -0.418 0.242  -0.524 0.404  -0.656 0.496  -0.775 0.573  -0.877 0.668  -0.967 0.790  -1.033 0.959  -0.955 1.122  -0.809 1.250  -0.631 1.327  -0.435 1.327  -0.239 1.327  -0.043 1.327  0.137 1.288  0.303 1.216  0.441 1.077  0.474 0.895  0.474 0.699  0.474 0.503  0.352 0.357  0.214 0.219  0.142 0.053  0.003 -0.086
2#apa#apa13#app1362/;  -0.803 1.478  -0.803 1.404  -0.803 1.330  -0.803 1.256  -0.785 1.190  -0.733 1.137  -0.681 1.085  -0.629 1.033  -0.576 0.981  -0.524 0.928  -0.472 0.876  -0.420 0.824  -0.367 0.772  -0.315 0.720  -0.263 0.667  -0.211 0.615  -0.159 0.563  -0.106 0.511  -0.054 0.458  -0.002 0.406  0.050 0.354  0.103 0.302  0.155 0.250  0.207 0.197  0.259 0.145  0.278 0.079  0.278 0.005  0.278 -0.069  0.278 -0.143  0.278 -0.216  0.283 -0.289  0.316 -0.355  0.349 -0.421  0.382 -0.487  0.413 -0.554  0.413 -0.628  0.413 -0.702  0.413 -0.775  0.413 -0.849  0.413 -0.923  0.413 -0.997  0.413 -1.071  0.413 -1.145  0.413 -1.219  0.383 -1.285  0.349 -1.351  0.316 -1.417  0.283 -1.483  0.278 -1.556  0.278 -1.630
2#apa#apa13#app1362/>  -1.310 1.223  -1.240 1.153  -1.146 1.139  -1.075 1.071  -0.982 1.055  -0.909 0.990  -0.817 0.971  -0.722 0.943  -0.628 0.912  -0.539 0.871  -0.468 0.802  -0.379 0.757  -0.293 0.709  -0.222 0.638  -0.134 0.593  -0.044 0.552  0.055 0.552  0.143 0.524  0.214 0.454  0.284 0.383  0.355 0.313  0.425 0.243  0.495 0.172  0.578 0.133  0.645 0.080  0.690 -0.009  0.773 -0.035  0.848 -0.096  0.918 -0.166  0.954 -0.251  0.909 -0.332  0.839 -0.402  0.761 -0.455  0.674 -0.484  0.597 -0.538  0.508 -0.565  0.438 -0.636  0.368 -0.706  0.273 -0.717  0.202 -0.787  0.132 -0.858  0.062 -0.928  -0.023 -0.976  -0.117 -1.008  -0.212 -1.039  -0.284 -1.106  -0.304 -1.197  -0.366 -1.271  -0.456 -1.293  -0.472 -1.377
2#apa#apa13#app1362/S  0.736 1.515  0.736 1.402  0.719 1.295  0.639 1.215  0.527 1.208  0.426 1.157  0.324 1.106  0.223 1.055  0.121 1.007  0.012 0.995  -0.069 0.914  -0.168 0.860  -0.269 0.809  -0.352 0.733  -0.432 0.652  -0.524 0.600  -0.623 0.563  -0.709 0.498  -0.790 0.465  -0.758 0.365  -0.688 0.280  -0.662 0.193  -0.559 0.166  -0.477 0.091  -0.369 0.077  -0.289 -0.003  -0.178 -0.011  -0.068 -0.020  0.012 -0.100  0.092 -0.181  0.173 -0.261  0.260 -0.332  0.361 -0.383  0.447 -0.450  0.498 -0.551  0.532 -0.657  0.532 -0.770  0.532 -0.884  0.532 -0.998  0.473 -1.087  0.377 -1.129  0.283 -1.176  0.192 -1.231  0.079 -1.231  -0.035 -1.231  -0.145 -1.254  -0.253 -1.289  -0.361 -1.325  -0.473 -1.333  -0.587 -1.333
2#apa#apa13#app1362/i  0.348 0.132  0.348 0.018  0.348 -0.097  0.348 -0.212  0.348 -0.327  0.237 -0.331  0.143 -0.381  0.062 -0.462  0.039 -0.568  -0.004 -0.640  -0.115 -0.643  -0.115 -0.758  -0.115 -0.873  -0.115 -0.987  -0.115 -1.102  -0.115 -1.217  -0.115 -1.332  -0.080 -1.412  0.034 -1.412  0.034 -1.301  0.029 -1.187  0.024 -1.072  0.018 -0.957  0.013 -0.843  0.008 -0.728  0.003 -0.613  -0.003 -0.499  -0.008 -0.384  -0.013 -0.269  -0.018 -0.154  -0.023 -0.040  -0.029 0.075  -0.034 0.190  -0.039 0.304  -0.044 0.419  -0.049 0.534  -0.055 0.648  -0.060 0.763  -0.065 0.878  -0.070 0.993  -0.075 1.107  -0.081 1.222  -0.086 1.337  -0.091 1.451  -0.096 1.566  -0.102 1.681  -0.107 1.795  -0.112 1.910  -0.115 1.946  -0.115 1.831
2#apa#apa13#app1362/m  -1.406 0.701  -1.282 0.603  -1.209 0.511  -1.111 0.387  -1.111 0.223  -1.111 0.059  -1.111 -0.106  -1.111 -0.270  -1.111 -0.435  -1.111 -0.599  -1.020 -0.673  -0.915 -0.556  -0.830 -0.476  -0.780 -0.341  -0.694 -0.206  -0.642 -0.050  -0.552 0.083  -0.436 0.199  -0.326 0.318  -0.292 0.474  -0.228 0.624  -0.141 0.701  -0.130 0.548  -0.215 0.419  -0.228 0.260  -0.228 0.096  -0.228 -0.069  -0.228 -0.233  -0.145 -0.363  0.013 -0.378  0.178 -0.378  0.263 -0.299  0.395 -0.247  0.511 -0.130  0.627 -0.014  0.772 0.033  0.888 0.149  1.005 0.265  1.094 0.401  1.180 0.539  1.244 0.530  1.244 0.365  1.244 0.201  1.244 0.036  1.244 -0.128  1.244 -0.293  1.244 -0.457  1.342 -0.581  1.415 -0.673  1.539 -0.771
2#apa#apa13#app1362/i  0.017 -0.281  0.083 -0.348  0.129 -0.423  0.129 -0.517  0.129 -0.612  0.129 -0.706  0.129 -0.800  0.129 -0.894  0.129 -0.988  0.129 -1.083  0.129 -1.177  0.196 -1.243  0.241 -1.319  0.238 -1.387  0.222 -1.294  0.206 -1.202  0.190 -1.109  0.174 -1.016  0.158 -0.923  0.142 -0.830  0.126 -0.737  0.110 -0.644  0.094 -0.551  0.078 -0.459  0.062 -0.366  0.046 -0.273  0.030 -0.180  0.014 -0.087  -0.002 0.006  -0.018 0.099  -0.034 0.191  -0.050 0.284  -0.066 0.377  -0.082 0.470  -0.098 0.563  -0.114 0.656  -0.130 0.749  -0.146 0.841  -0.162 0.934  -0.178 1.027  -0.194 1.120  -0.210 1.213  -0.226 1.306  -0.242 1.399  -0.258 1.492  -0.274 1.584  -0.290 1.677  -0.306 1.770  -0.301 1.846  -0.207 1.846
2#apa#apa13#app1362/l  -0.087 1.711  -0.087 1.640  -0.087 1.570  -0.087 1.499  -0.087 1.428  -0.087 1.357  -0.087 1.286  -0.087 1.215  -0.087 1.144  -0.087 1.073  -0.087 1.003  -0.087 0.932  -0.087 0.861  -0.087 0.790  -0.087 0.719  -0.087 0.648  -0.087 0.577  -0.087 0.506  -0.087 0.435  -0.087 0.365  -0.087 0.294  -0.087 0.223  -0.085 0.153  -0.053 0.089  -0.021 0.026  0.010 -0.038  0.032 -0.103  0.032 -0.174  0.032 -0.245  0.032 -0.316  0.032 -0.387  0.032 -0.458  0.032 -0.529  0.032 -0.600  0.032 -0.670  0.032 -0.741  0.032 -0.812  0.032 -0.883  0.032 -0.954  0.032 -1.025  0.074 -1.079  0.124 -1.129  0.152 -1.188  0.152 -1.259  0.152 -1.330  0.152 -1.401  0.152 -1.471  0.171 -1.534  0.221 -1.584  0.271 -1.635
2#apa#apa13#app1362/a  -0.332 0.123  -0.145 0.160  -0.003 0.303  0.115 0.456  0.178 0.633  0.264 0.799  0.264 1.001  0.228 1.166  0.026 1.166  -0.134 1.066  -0.316 1.017  -0.518 1.017  -0.694 0.954  -0.836 0.811  -0.928 0.647  -1.017 0.482  -1.129 0.317  -1.220 0.136  -1.226 -0.064  -1.226 -0.266  -1.226 -0.468  -1.087 -0.612  -0.944 -0.755  -0.749 -0.771  -0.547 -0.771  -0.385 -0.675  -0.218 -0.565  -0.037 -0.475  0.150 -0.439  0.293 -0.296  0.436 -0.153  0.578 -0.010  0.712 0.137  0.712 0.339  0.712 0.541  0.539 0.570  0.359 0.516  0.264 0.354  0.264 0.152  0.264 -0.050  0.264 -0.252  0.357 -0.416  0.499 -0.559  0.613 -0.723  0.703 -0.904  0.841 -1.050  1.035 -1.069  1.229 -1.104  1.410 -1.195  1.606 -1.218
2#apa#apa13#app1362/r  -0.834 0.193  -0.834 0.063  -0.834 -0.067  -0.760 -0.167  -0.690 -0.268  -0.677 -0.393  -0.585 -0.485  -0.547 -0.599  -0.547 -0.730  -0.497 -0.809  -0.404 -0.847  -0.404 -0.977  -0.393 -1.096  -0.262 -1.096  -0.170 -1.187  -0.118 -1.183  -0.118 -1.052  -0.139 -0.931  -0.231 -0.839  -0.261 -0.721  -0.261 -0.591  -0.261 -0.461  -0.295 -0.345  -0.387 -0.253  -0.404 -0.130  -0.446 -0.009  -0.504 0.107  -0.547 0.227  -0.547 0.357  -0.539 0.480  -0.409 0.480  -0.404 0.605  -0.292 0.623  -0.162 0.623  -0.032 0.623  0.099 0.623  0.229 0.623  0.359 0.623  0.486 0.638  0.602 0.696  0.719 0.755  0.846 0.766  0.976 0.766  1.106 0.766  1.237 0.766  1.367 0.766  1.497 0.766  1.627 0.766  1.757 0.766  1.888 0.766
2#apa#apa13#app1362/?  -0.761 1.070  -0.736 1.153  -0.628 1.153  -0.519 1.153  -0.411 1.153  -0.303 1.153  -0.195 1.153  -0.087 1.153  0.017 1.136  0.114 1.088  0.218 1.070  0.299 1.004  0.353 0.912  0.403 0.816  0.480 0.740  0.556 0.663  0.574 0.563  0.646 0.484  0.646 0.376  0.703 0.325  0.729 0.243  0.729 0.135  0.729 0.027  0.729 -0.082  0.628 -0.089  0.532 -0.119  0.446 -0.171  0.338 -0.171  0.229 -0.171  0.124 -0.184  0.028 -0.232  -0.075 -0.254  -0.183 -0.255  -0.259 -0.332  -0.347 -0.355  -0.391 -0.420  -0.430 -0.489  -0.497 -0.569  -0.513 -0.671  -0.505 -0.778  -0.477 -0.882  -0.448 -0.986  -0.420 -1.091  -0.392 -1.195  -0.363 -1.299  -0.335 -1.404  -0.306 -1.508  -0.278 -1.612  -0.207 -1.661  -0.182 -1.744
