3#app#app31#app3107/j  0.523 0.614  0.523 0.624  0.459 0.697  0.396 0.711  0.459 0.600  0.459 0.464  0.459 0.328  0.459 0.191  0.446 0.056  0.413 -0.076  0.396 -0.210  0.362 -0.339  0.333 -0.468  0.307 -0.600  0.270 -0.731  0.270 -0.867  0.253 -1.000  0.206 -1.125  0.160 -1.250  0.143 -1.383  0.080 -1.493  -0.005 -1.515  -0.101 -1.418  -0.173 -1.311  -0.207 -1.181  -0.276 -1.073  -0.363 -0.991  -0.398 -0.869  -0.426 -0.744  -0.426 -0.608  -0.426 -0.471  -0.412 -0.336  -0.397 -0.200  -0.382 -0.065  -0.367 0.071  -0.352 0.207  -0.337 0.342  -0.322 0.478  -0.307 0.613  -0.292 0.749  -0.276 0.884  -0.261 1.020  -0.246 1.156  -0.268 1.278  -0.300 1.402  -0.209 1.463  -0.112 1.560  -0.040 1.626  0.096 1.626  0.206 1.562
3#app#app31#app3107/d  -0.285 -0.532  -0.376 -0.450  -0.520 -0.519  -0.654 -0.615  -0.814 -0.647  -0.936 -0.770  -1.029 -0.905  -1.029 -1.078  -0.922 -1.193  -0.749 -1.193  -0.610 -1.111  -0.465 -1.043  -0.368 -0.958  -0.285 -0.867  -0.210 -0.712  -0.092 -0.586  -0.031 -0.437  0.047 -0.283  0.128 -0.143  0.158 0.023  0.235 0.178  0.313 0.333  0.376 0.491  0.394 0.660  0.467 0.817  0.522 0.981  0.541 1.151  0.541 1.324  0.624 1.463  0.603 1.616  0.541 1.669  0.432 1.590  0.376 1.440  0.362 1.272  0.293 1.128  0.256 0.963  0.178 0.808  0.128 0.647  0.097 0.481  0.045 0.320  0.045 0.147  0.045 -0.026  0.045 -0.200  0.045 -0.373  0.045 -0.546  0.061 -0.713  0.163 -0.850  0.277 -0.945  0.450 -0.945  0.541 -0.863
3#app#app31#app3107/e  -0.666 0.136  -0.662 -0.030  -0.492 -0.030  -0.335 -0.043  -0.318 -0.195  -0.148 -0.195  0.015 -0.214  0.135 -0.334  0.294 -0.361  0.424 -0.265  0.565 -0.195  0.735 -0.195  0.881 -0.139  0.990 -0.014  0.999 0.154  1.075 0.306  1.151 0.458  1.156 0.626  1.040 0.748  0.990 0.898  0.917 1.037  0.785 1.130  0.615 1.130  0.445 1.130  0.276 1.130  0.112 1.104  -0.040 1.028  -0.188 0.946  -0.308 0.825  -0.428 0.705  -0.548 0.585  -0.668 0.465  -0.788 0.345  -0.832 0.193  -0.911 0.056  -0.997 -0.078  -0.997 -0.248  -0.957 -0.401  -0.837 -0.522  -0.832 -0.689  -0.830 -0.858  -0.662 -0.862  -0.542 -0.982  -0.389 -1.023  -0.219 -1.023  -0.084 -1.108  0.052 -1.189  0.205 -1.232  0.325 -1.352  0.493 -1.355
3#app#app31#app3107/n  -0.362 0.607  -0.478 0.492  -0.593 0.376  -0.709 0.260  -0.713 0.099  -0.816 -0.022  -0.889 -0.155  -0.937 -0.271  -1.064 -0.307  -1.064 -0.470  -1.076 -0.622  -1.240 -0.622  -1.077 -0.622  -1.064 -0.471  -0.925 -0.446  -0.889 -0.319  -0.807 -0.189  -0.683 -0.095  -0.525 -0.082  -0.409 0.033  -0.294 0.149  -0.178 0.264  -0.063 0.380  0.053 0.495  0.169 0.611  0.284 0.727  0.400 0.842  0.515 0.958  0.679 0.958  0.798 1.065  0.933 1.134  1.042 1.080  1.013 0.929  0.897 0.813  0.867 0.662  0.867 0.499  0.824 0.346  0.751 0.200  0.691 0.050  0.678 -0.108  0.563 -0.224  0.516 -0.367  0.516 -0.531  0.516 -0.694  0.516 -0.858  0.516 -1.021  0.516 -1.185  0.516 -1.348  0.528 -1.500  0.691 -1.500
3#app#app31#app3107/b  0.792 1.990  0.792 2.043  0.792 1.880  0.751 1.734  0.684 1.599  0.673 1.441  0.576 1.318  0.576 1.155  0.480 1.032  0.364 0.917  0.323 0.761  0.283 0.603  0.236 0.448  0.163 0.302  0.090 0.156  0.017 0.011  -0.056 -0.135  -0.163 -0.256  -0.278 -0.371  -0.353 -0.515  -0.393 -0.668  -0.484 -0.793  -0.608 -0.841  -0.696 -0.916  -0.614 -0.815  -0.575 -0.669  -0.500 -0.537  -0.497 -0.375  -0.382 -0.260  -0.285 -0.138  -0.205 -0.055  -0.070 -0.027  0.013 0.052  0.176 0.052  0.314 -0.008  0.457 -0.055  0.469 -0.206  0.469 -0.369  0.361 -0.487  0.321 -0.634  0.186 -0.701  0.131 -0.809  -0.032 -0.809  -0.182 -0.865  -0.332 -0.916  -0.495 -0.916  -0.658 -0.916  -0.716 -0.811  -0.876 -0.809  -1.038 -0.809
3#app#app31#app3107/y  -0.389 1.244  -0.479 1.153  -0.482 1.027  -0.437 0.917  -0.347 0.827  -0.295 0.720  -0.232 0.618  -0.117 0.587  -0.024 0.504  0.067 0.413  0.185 0.389  0.278 0.306  0.406 0.306  0.534 0.306  0.643 0.326  0.670 0.446  0.736 0.556  0.802 0.666  0.868 0.775  0.943 0.869  1.018 0.815  0.930 0.775  0.838 0.689  0.720 0.665  0.629 0.574  0.539 0.484  0.448 0.393  0.359 0.302  0.302 0.187  0.231 0.082  0.141 -0.008  0.050 -0.099  -0.040 -0.189  -0.131 -0.280  -0.214 -0.376  -0.271 -0.490  -0.348 -0.590  -0.420 -0.694  -0.477 -0.809  -0.535 -0.923  -0.601 -1.031  -0.691 -1.122  -0.764 -1.220  -0.764 -1.347  -0.858 -1.382  -0.858 -1.510  -0.789 -1.569  -0.691 -1.496  -0.600 -1.406  -0.482 -1.381
3#app#app31#app3107/q  0.842 0.844  0.760 0.934  0.661 1.008  0.505 1.025  0.332 1.025  0.160 1.025  -0.013 1.025  -0.178 1.005  -0.322 0.934  -0.449 0.824  -0.571 0.702  -0.693 0.580  -0.842 0.522  -0.884 0.366  -0.874 0.197  -0.734 0.117  -0.599 0.026  -0.426 0.026  -0.262 0.064  -0.118 0.156  0.031 0.214  0.153 0.336  0.275 0.458  0.402 0.571  0.482 0.665  0.570 0.802  0.541 0.906  0.479 0.759  0.361 0.635  0.260 0.497  0.183 0.342  0.103 0.189  0.007 0.045  -0.084 -0.101  -0.157 -0.257  -0.158 -0.429  -0.248 -0.565  -0.274 -0.727  -0.339 -0.873  -0.339 -1.046  -0.339 -1.219  -0.300 -1.376  -0.242 -1.525  -0.104 -1.610  0.069 -1.610  0.242 -1.610  0.324 -1.519  0.479 -1.501  0.579 -1.428  0.751 -1.428
3#app#app31#app3107/u  -0.288 0.907  -0.446 0.907  -0.562 0.803  -0.693 0.737  -0.835 0.698  -0.948 0.586  -0.966 0.436  -1.087 0.398  -1.136 0.288  -1.180 0.140  -1.251 -0.001  -1.305 -0.147  -1.305 -0.305  -1.291 -0.450  -1.136 -0.453  -1.136 -0.611  -0.985 -0.619  -0.827 -0.619  -0.668 -0.619  -0.510 -0.619  -0.382 -0.544  -0.270 -0.432  -0.158 -0.320  -0.046 -0.208  0.072 -0.110  0.227 -0.104  0.339 0.008  0.451 0.120  0.565 0.229  0.723 0.229  0.729 0.381  0.871 0.398  0.991 0.490  1.068 0.617  1.106 0.737  1.219 0.718  1.107 0.606  1.068 0.464  1.003 0.332  0.899 0.217  0.899 0.059  0.899 -0.100  0.794 -0.215  0.729 -0.347  0.729 -0.505  0.685 -0.619  0.560 -0.652  0.560 -0.811  0.560 -0.969  0.560 -1.128
3#app#app31#app3107/i  0.256 -0.282  0.256 -0.385  0.167 -0.399  0.139 -0.474  0.078 -0.516  0.023 -0.563  0.023 -0.666  0.023 -0.769  0.019 -0.870  -0.054 -0.943  -0.094 -1.029  -0.094 -1.132  -0.094 -1.235  -0.094 -1.338  -0.094 -1.440  -0.085 -1.357  -0.076 -1.255  -0.066 -1.153  -0.056 -1.050  -0.046 -0.948  -0.037 -0.845  -0.027 -0.743  -0.017 -0.641  -0.007 -0.538  0.002 -0.436  0.012 -0.333  0.022 -0.231  0.032 -0.129  0.041 -0.026  0.051 0.076  0.061 0.178  0.071 0.281  0.080 0.383  0.090 0.486  0.100 0.588  0.110 0.690  0.119 0.793  0.129 0.895  0.139 0.998  0.070 1.072  0.006 1.151  -0.040 1.243  -0.086 1.335  -0.094 1.436  -0.094 1.539  -0.150 1.586  -0.211 1.628  -0.211 1.731  -0.197 1.819  -0.094 1.819
3#app#app31#app3107/e  -1.206 0.285  -1.016 0.285  -0.998 0.112  -0.843 0.078  -0.693 -0.020  -0.548 -0.130  -0.357 -0.130  -0.167 -0.130  0.024 -0.130  0.164 -0.253  0.319 -0.338  0.509 -0.338  0.690 -0.314  0.824 -0.179  0.959 -0.044  1.081 0.096  1.081 0.286  1.081 0.477  1.081 0.667  1.081 0.858  0.942 0.909  0.873 1.031  0.769 1.117  0.578 1.117  0.388 1.117  0.197 1.117  0.017 1.093  -0.118 0.958  -0.253 0.823  -0.393 0.701  -0.583 0.701  -0.718 0.566  -0.790 0.406  -0.790 0.215  -0.790 0.024  -0.790 -0.166  -0.790 -0.357  -0.790 -0.546  -0.599 -0.546  -0.583 -0.720  -0.426 -0.754  -0.375 -0.893  -0.253 -0.962  -0.167 -1.067  -0.080 -1.170  0.111 -1.170  0.301 -1.170  0.492 -1.170  0.682 -1.170  0.873 -1.170
3#app#app31#app3107/t  0.609 1.714  0.609 1.858  0.523 1.858  0.462 1.740  0.437 1.606  0.401 1.471  0.350 1.339  0.350 1.195  0.324 1.057  0.261 0.928  0.215 0.791  0.177 0.653  0.177 0.509  0.161 0.368  0.115 0.232  0.061 0.099  0.001 -0.032  -0.027 -0.173  -0.055 -0.314  -0.082 -0.455  -0.082 -0.599  -0.138 -0.730  -0.168 -0.867  -0.168 -1.011  -0.168 -1.155  -0.168 -1.299  -0.168 -1.443  -0.174 -1.553  -0.222 -1.417  -0.270 -1.281  -0.318 -1.146  -0.366 -1.010  -0.414 -0.874  -0.462 -0.738  -0.509 -0.603  -0.557 -0.467  -0.605 -0.331  -0.653 -0.195  -0.643 -0.100  -0.586 -0.014  -0.442 -0.014  -0.298 -0.014  -0.158 -0.004  -0.046 0.072  0.098 0.072  0.242 0.072  0.386 0.072  0.530 0.072  0.674 0.072  0.782 -0.014
3#app#app31#app3107/z  0.200 0.879  0.091 1.012  0.154 1.144  0.395 1.144  0.636 1.144  0.878 1.144  1.106 1.088  1.259 0.942  1.127 0.833  0.978 0.731  0.793 0.580  0.582 0.466  0.411 0.296  0.216 0.159  0.014 0.031  -0.194 -0.047  -0.405 -0.123  -0.575 -0.293  -0.785 -0.370  -0.981 -0.505  -1.205 -0.577  -1.391 -0.712  -1.462 -0.841  -1.353 -0.974  -1.113 -0.969  -0.897 -0.861  -0.661 -0.841  -0.419 -0.841  -0.178 -0.841  0.063 -0.841  0.305 -0.841  0.546 -0.841  0.730 -0.899  0.595 -0.876  0.400 -0.734  0.205 -0.592  0.010 -0.450  -0.186 -0.308  -0.381 -0.166  -0.576 -0.024  -0.726 0.141  -0.694 0.350  -0.494 0.450  -0.266 0.482  -0.025 0.482  0.212 0.471  0.403 0.350  0.644 0.350  0.886 0.350  1.127 0.350
3#app#app31#app3107/e  -0.702 0.068  -0.538 0.068  -0.373 0.068  -0.208 0.068  -0.065 0.015  0.051 -0.102  0.205 -0.126  0.370 -0.126  0.535 -0.126  0.700 -0.126  0.864 -0.126  1.029 -0.126  1.194 -0.126  1.325 -0.045  1.438 0.073  1.438 0.238  1.298 0.263  1.243 0.372  1.163 0.457  1.049 0.507  1.029 0.652  0.864 0.652  0.699 0.652  0.534 0.652  0.370 0.652  0.205 0.652  0.040 0.652  -0.125 0.652  -0.289 0.652  -0.454 0.652  -0.619 0.652  -0.760 0.594  -0.876 0.478  -1.032 0.457  -1.091 0.352  -1.091 0.187  -1.091 0.022  -1.091 -0.143  -1.091 -0.307  -1.091 -0.472  -0.970 -0.516  -0.897 -0.607  -0.853 -0.754  -0.737 -0.870  -0.620 -0.987  -0.502 -1.099  -0.338 -1.099  -0.173 -1.099  -0.040 -1.177  0.076 -1.294
3#app#app31#app3107/a  0.812 0.371  0.812 0.573  0.685 0.722  0.524 0.819  0.322 0.819  0.120 0.819  -0.081 0.819  -0.283 0.819  -0.485 0.819  -0.687 0.819  -0.849 0.725  -0.992 0.582  -1.135 0.440  -1.250 0.277  -1.340 0.097  -1.427 -0.084  -1.427 -0.286  -1.427 -0.488  -1.263 -0.525  -1.061 -0.525  -0.859 -0.525  -0.658 -0.525  -0.456 -0.525  -0.270 -0.487  -0.127 -0.345  0.056 -0.301  0.140 -0.183  0.208 -0.009  0.350 0.133  0.493 0.276  0.636 0.418  0.778 0.561  0.812 0.749  0.680 0.819  0.588 0.709  0.588 0.508  0.523 0.371  0.364 0.328  0.364 0.126  0.364 -0.075  0.364 -0.277  0.364 -0.479  0.364 -0.681  0.364 -0.882  0.475 -0.973  0.588 -1.062  0.655 -1.197  0.812 -1.241  0.834 -1.421  1.036 -1.421
3#app#app31#app3107/l  0.593 1.146  0.669 1.146  0.709 1.181  0.709 1.257  0.637 1.261  0.562 1.261  0.486 1.261  0.430 1.214  0.376 1.160  0.362 1.090  0.351 1.019  0.297 0.966  0.246 0.911  0.246 0.835  0.219 0.771  0.165 0.717  0.130 0.656  0.130 0.580  0.130 0.504  0.125 0.429  0.107 0.356  0.088 0.282  0.070 0.209  0.051 0.135  0.033 0.062  0.015 -0.011  -0.019 -0.079  -0.053 -0.147  -0.087 -0.215  -0.101 -0.287  -0.103 -0.362  -0.137 -0.430  -0.171 -0.498  -0.205 -0.566  -0.251 -0.624  -0.305 -0.678  -0.332 -0.742  -0.332 -0.818  -0.384 -0.872  -0.437 -0.926  -0.448 -0.997  -0.448 -1.073  -0.448 -1.149  -0.448 -1.224  -0.460 -1.295  -0.513 -1.349  -0.564 -1.404  -0.564 -1.479  -0.564 -1.555  -0.564 -1.631
