1c#apb#apb36#app3667/a  0.144 0.637  0.124 0.446  0.150 0.322  0.247 0.482  0.265 0.674  0.299 0.864  0.304 1.054  0.262 1.242  0.136 1.372  -0.023 1.281  -0.180 1.169  -0.335 1.053  -0.467 0.918  -0.569 0.754  -0.671 0.590  -0.769 0.424  -0.855 0.251  -0.941 0.078  -1.013 -0.099  -1.060 -0.287  -1.107 -0.474  -1.102 -0.664  -1.077 -0.855  -0.985 -1.020  -0.820 -1.062  -0.636 -1.022  -0.477 -0.912  -0.330 -0.792  -0.226 -0.629  -0.122 -0.466  -0.036 -0.294  0.044 -0.118  0.113 0.062  0.163 0.247  0.202 0.436  0.235 0.506  0.214 0.314  0.203 0.121  0.199 -0.071  0.223 -0.263  0.260 -0.448  0.389 -0.591  0.543 -0.692  0.732 -0.730  0.922 -0.738  1.113 -0.708  1.303 -0.678  1.487 -0.620  1.671 -0.562  1.855 -0.503
1c#apb#apb36#app3667/l  0.248 1.670  0.206 1.615  0.189 1.548  0.175 1.480  0.160 1.413  0.146 1.345  0.135 1.276  0.127 1.207  0.118 1.138  0.110 1.070  0.102 1.001  0.093 0.932  0.085 0.863  0.077 0.794  0.072 0.725  0.066 0.656  0.061 0.586  0.056 0.517  0.051 0.448  0.046 0.379  0.040 0.310  0.035 0.240  0.030 0.171  0.021 0.102  0.013 0.033  0.005 -0.035  -0.004 -0.104  -0.012 -0.173  -0.021 -0.242  -0.029 -0.311  -0.037 -0.380  -0.046 -0.449  -0.056 -0.517  -0.066 -0.586  -0.077 -0.654  -0.087 -0.723  -0.098 -0.792  -0.108 -0.860  -0.118 -0.929  -0.128 -0.998  -0.136 -1.067  -0.144 -1.135  -0.153 -1.204  -0.161 -1.273  -0.169 -1.342  -0.171 -1.411  -0.171 -1.481  -0.171 -1.550  -0.162 -1.618  -0.140 -1.684
1c#apb#apb36#app3667/m  -1.070 0.633  -1.016 0.439  -0.973 0.243  -0.929 0.046  -0.885 -0.150  -0.842 -0.347  -0.827 -0.545  -0.841 -0.746  -0.860 -0.946  -0.959 -1.092  -1.008 -0.938  -0.980 -0.739  -0.926 -0.546  -0.860 -0.356  -0.793 -0.166  -0.694 0.009  -0.595 0.185  -0.483 0.352  -0.366 0.516  -0.242 0.674  -0.112 0.792  -0.092 0.594  -0.109 0.395  -0.161 0.201  -0.193 0.003  -0.193 -0.198  -0.218 -0.397  -0.243 -0.596  -0.126 -0.432  -0.034 -0.253  0.056 -0.073  0.163 0.097  0.277 0.263  0.390 0.430  0.499 0.598  0.608 0.767  0.760 0.896  0.930 1.001  1.102 1.029  1.192 0.849  1.212 0.652  1.212 0.451  1.201 0.250  1.175 0.051  1.149 -0.149  1.131 -0.349  1.120 -0.550  1.120 -0.751  1.150 -0.950  1.187 -1.148
1c#apb#apb36#app3667/n  -0.396 0.677  -0.447 0.534  -0.447 0.369  -0.466 0.205  -0.486 0.042  -0.507 -0.121  -0.532 -0.284  -0.558 -0.446  -0.588 -0.608  -0.633 -0.766  -0.679 -0.924  -0.751 -1.072  -0.832 -1.214  -0.876 -1.187  -0.851 -1.025  -0.813 -0.865  -0.758 -0.710  -0.703 -0.555  -0.641 -0.403  -0.574 -0.253  -0.506 -0.102  -0.437 0.047  -0.361 0.193  -0.285 0.339  -0.210 0.485  -0.134 0.631  -0.048 0.772  0.041 0.910  0.130 1.048  0.239 1.170  0.366 1.274  0.502 1.358  0.658 1.360  0.765 1.235  0.816 1.085  0.842 0.922  0.868 0.760  0.858 0.597  0.830 0.435  0.802 0.273  0.774 0.111  0.740 -0.050  0.707 -0.211  0.673 -0.372  0.643 -0.534  0.643 -0.699  0.643 -0.863  0.643 -1.028  0.643 -1.192  0.695 -1.348
1c#apb#apb36#app3667/o  -0.133 0.922  -0.230 0.851  -0.296 0.694  -0.355 0.535  -0.409 0.374  -0.463 0.213  -0.516 0.052  -0.561 -0.112  -0.603 -0.277  -0.646 -0.441  -0.689 -0.605  -0.728 -0.770  -0.759 -0.937  -0.791 -1.104  -0.738 -1.249  -0.623 -1.369  -0.454 -1.381  -0.284 -1.393  -0.143 -1.314  -0.010 -1.208  0.122 -1.102  0.239 -0.980  0.345 -0.847  0.451 -0.714  0.557 -0.582  0.646 -0.439  0.711 -0.282  0.775 -0.125  0.839 0.032  0.884 0.195  0.909 0.362  0.935 0.530  0.949 0.698  0.908 0.863  0.867 1.027  0.782 1.164  0.647 1.265  0.486 1.258  0.319 1.225  0.169 1.164  0.057 1.036  -0.055 0.908  -0.167 0.780  -0.245 0.631  -0.314 0.476  -0.384 0.321  -0.447 0.164  -0.482 -0.002  -0.517 -0.168  -0.552 -0.335
1c#apb#apb36#app3667/p  -0.078 0.289  -0.113 0.124  -0.148 -0.042  -0.169 -0.209  -0.184 -0.377  -0.198 -0.546  -0.228 -0.712  -0.259 -0.878  -0.290 -1.044  -0.311 -1.212  -0.328 -1.380  -0.350 -1.547  -0.381 -1.713  -0.424 -1.659  -0.441 -1.494  -0.441 -1.325  -0.441 -1.156  -0.424 -0.989  -0.399 -0.822  -0.373 -0.655  -0.348 -0.488  -0.313 -0.322  -0.274 -0.158  -0.235 0.006  -0.197 0.171  -0.157 0.335  -0.114 0.499  -0.071 0.662  -0.028 0.825  0.015 0.989  0.091 1.139  0.172 1.287  0.259 1.431  0.385 1.544  0.520 1.553  0.657 1.458  0.737 1.309  0.788 1.153  0.788 0.984  0.788 0.815  0.738 0.654  0.688 0.493  0.592 0.353  0.492 0.218  0.362 0.111  0.221 0.019  0.068 -0.051  -0.086 0.014  -0.216 0.116  -0.340 0.229
1c#apb#apb36#app3667/q  0.229 1.362  0.172 1.524  0.004 1.488  -0.118 1.359  -0.223 1.214  -0.324 1.066  -0.419 0.914  -0.512 0.761  -0.592 0.601  -0.659 0.435  -0.663 0.263  -0.537 0.186  -0.370 0.253  -0.241 0.374  -0.126 0.510  -0.038 0.666  0.045 0.825  0.104 0.993  0.062 1.166  0.011 1.070  -0.010 0.893  -0.023 0.714  -0.037 0.535  -0.062 0.358  -0.087 0.180  -0.111 0.003  -0.120 -0.176  -0.128 -0.355  -0.137 -0.534  -0.139 -0.713  -0.126 -0.892  -0.112 -1.071  -0.099 -1.250  -0.090 -1.429  -0.082 -1.608  0.012 -1.758  0.170 -1.752  0.307 -1.637  0.376 -1.472  0.445 -1.306  0.479 -1.132  0.502 -0.954  0.522 -0.776  0.516 -0.597  0.510 -0.418  0.489 -0.240  0.457 -0.064  0.403 0.106  0.263 0.195  0.105 0.124
1c#apb#apb36#app3667/r  -0.141 0.506  -0.141 0.376  -0.141 0.245  -0.141 0.115  -0.141 -0.016  -0.141 -0.146  -0.141 -0.277  -0.141 -0.407  -0.141 -0.538  -0.141 -0.668  -0.146 -0.798  -0.166 -0.927  -0.186 -1.056  -0.196 -1.186  -0.196 -1.316  -0.211 -1.440  -0.304 -1.482  -0.393 -1.388  -0.446 -1.269  -0.499 -1.149  -0.505 -1.019  -0.510 -0.889  -0.516 -0.759  -0.522 -0.628  -0.523 -0.498  -0.495 -0.371  -0.468 -0.243  -0.440 -0.116  -0.412 0.012  -0.382 0.139  -0.337 0.261  -0.292 0.383  -0.247 0.506  -0.202 0.628  -0.139 0.743  -0.075 0.856  -0.010 0.969  0.079 1.057  0.196 1.115  0.312 1.174  0.436 1.180  0.564 1.154  0.692 1.128  0.812 1.084  0.919 1.010  1.026 0.935  1.134 0.861  1.242 0.789  1.351 0.716  1.459 0.644
1c#apb#apb36#app3667/s  0.858 0.997  0.843 1.068  0.726 1.048  0.608 1.034  0.491 1.020  0.375 0.995  0.260 0.965  0.146 0.935  0.031 0.905  -0.084 0.875  -0.194 0.832  -0.305 0.789  -0.415 0.747  -0.526 0.704  -0.639 0.671  -0.756 0.650  -0.873 0.630  -0.984 0.592  -1.046 0.512  -0.943 0.473  -0.828 0.443  -0.715 0.407  -0.607 0.360  -0.498 0.313  -0.389 0.265  -0.282 0.216  -0.186 0.146  -0.090 0.076  0.006 0.006  0.102 -0.063  0.192 -0.139  0.278 -0.221  0.364 -0.302  0.451 -0.384  0.525 -0.474  0.583 -0.578  0.641 -0.681  0.671 -0.788  0.646 -0.904  0.621 -1.020  0.544 -1.109  0.464 -1.196  0.378 -1.276  0.272 -1.329  0.166 -1.382  0.052 -1.403  -0.067 -1.403  -0.184 -1.397  -0.288 -1.341  -0.392 -1.284
1c#apb#apb36#app3667/t  0.361 2.096  0.347 1.972  0.382 1.834  0.393 1.692  0.403 1.550  0.414 1.408  0.413 1.266  0.405 1.124  0.397 0.982  0.388 0.840  0.380 0.698  0.361 0.557  0.341 0.415  0.321 0.274  0.302 0.133  0.279 -0.007  0.243 -0.145  0.208 -0.283  0.172 -0.421  0.142 -0.560  0.117 -0.700  0.093 -0.840  0.066 -0.980  0.034 -1.119  0.022 -1.260  0.047 -1.394  0.094 -1.442  0.011 -1.326  -0.072 -1.211  -0.155 -1.095  -0.238 -0.979  -0.321 -0.864  -0.404 -0.748  -0.487 -0.632  -0.570 -0.517  -0.653 -0.401  -0.736 -0.285  -0.819 -0.170  -0.902 -0.054  -0.865 0.000  -0.723 0.000  -0.581 0.000  -0.438 0.000  -0.296 0.000  -0.153 0.000  -0.017 0.038  0.118 0.083  0.254 0.124  0.393 0.156  0.531 0.189
1c#apb#apb36#app3667/u  -0.679 1.345  -0.648 1.261  -0.598 1.079  -0.627 0.896  -0.670 0.713  -0.709 0.529  -0.748 0.345  -0.787 0.161  -0.795 -0.027  -0.795 -0.215  -0.792 -0.403  -0.769 -0.590  -0.746 -0.776  -0.684 -0.951  -0.600 -1.120  -0.440 -1.213  -0.255 -1.225  -0.081 -1.177  0.076 -1.072  0.176 -0.918  0.260 -0.750  0.314 -0.575  0.314 -0.386  0.314 -0.198  0.303 -0.011  0.275 0.175  0.247 0.361  0.224 0.548  0.212 0.736  0.200 0.924  0.198 1.112  0.198 1.300  0.282 1.460  0.388 1.386  0.425 1.201  0.415 1.015  0.395 0.827  0.375 0.640  0.359 0.453  0.342 0.265  0.326 0.078  0.320 -0.110  0.338 -0.297  0.357 -0.484  0.385 -0.669  0.461 -0.841  0.536 -1.014  0.647 -1.157  0.802 -1.264  0.957 -1.371
1c#apb#apb36#app3667/v  -0.673 1.230  -0.663 1.125  -0.615 1.017  -0.604 0.893  -0.594 0.770  -0.587 0.646  -0.581 0.522  -0.575 0.399  -0.569 0.275  -0.562 0.152  -0.546 0.029  -0.530 -0.094  -0.514 -0.217  -0.498 -0.340  -0.482 -0.462  -0.445 -0.580  -0.407 -0.698  -0.370 -0.816  -0.333 -0.934  -0.298 -1.053  -0.263 -1.172  -0.229 -1.291  -0.163 -1.384  -0.047 -1.415  0.037 -1.353  0.090 -1.240  0.142 -1.128  0.194 -1.016  0.222 -0.896  0.247 -0.774  0.273 -0.653  0.298 -0.532  0.323 -0.411  0.345 -0.289  0.363 -0.166  0.381 -0.044  0.399 0.078  0.417 0.201  0.436 0.323  0.458 0.445  0.486 0.566  0.513 0.686  0.541 0.807  0.568 0.928  0.602 1.047  0.641 1.164  0.684 1.280  0.733 1.394  0.820 1.478  0.936 1.503
1c#apb#apb36#app3667/w  -0.871 1.212  -0.878 1.249  -0.899 1.079  -0.915 0.908  -0.930 0.737  -0.948 0.566  -0.969 0.396  -0.989 0.225  -1.006 0.055  -0.996 -0.116  -0.987 -0.288  -0.958 -0.456  -0.922 -0.624  -0.870 -0.787  -0.707 -0.751  -0.594 -0.632  -0.508 -0.483  -0.425 -0.333  -0.345 -0.181  -0.265 -0.030  -0.215 0.134  -0.169 0.299  -0.123 0.465  -0.082 0.631  -0.033 0.781  -0.003 0.635  0.009 0.464  0.021 0.293  0.034 0.122  0.060 -0.047  0.097 -0.215  0.133 -0.382  0.189 -0.543  0.266 -0.697  0.343 -0.850  0.482 -0.941  0.641 -0.982  0.810 -0.954  0.955 -0.870  1.074 -0.753  1.131 -0.591  1.179 -0.427  1.197 -0.257  1.215 -0.086  1.207 0.085  1.189 0.255  1.166 0.425  1.121 0.591  1.070 0.754  1.016 0.917
1c#apb#apb36#app3667/x  -0.822 1.419  -0.697 1.443  -0.640 1.256  -0.577 1.071  -0.507 0.889  -0.437 0.707  -0.367 0.525  -0.302 0.341  -0.240 0.155  -0.178 -0.030  -0.111 -0.213  -0.011 -0.380  0.090 -0.548  0.190 -0.715  0.287 -0.885  0.384 -1.054  0.497 -1.213  0.616 -1.368  0.654 -1.459  0.640 -1.264  0.619 -1.070  0.599 -0.876  0.578 -0.682  0.558 -0.488  0.538 -0.293  0.517 -0.099  0.497 0.095  0.477 0.289  0.456 0.483  0.436 0.678  0.416 0.872  0.395 1.066  0.375 1.260  0.323 1.419  0.273 1.249  0.186 1.075  0.100 0.899  0.021 0.721  -0.058 0.542  -0.139 0.364  -0.220 0.187  -0.301 0.009  -0.383 -0.168  -0.463 -0.346  -0.543 -0.524  -0.623 -0.703  -0.684 -0.888  -0.743 -1.074  -0.829 -1.247  -0.849 -1.425
1c#apb#apb36#app3667/y  -0.499 1.273  -0.465 1.215  -0.463 1.076  -0.455 0.938  -0.449 0.800  -0.470 0.663  -0.492 0.527  -0.499 0.389  -0.499 0.251  -0.499 0.112  -0.497 -0.026  -0.408 -0.131  -0.297 -0.110  -0.187 -0.027  -0.084 0.065  -0.016 0.185  0.052 0.306  0.099 0.435  0.138 0.568  0.177 0.701  0.215 0.834  0.227 0.971  0.227 1.109  0.227 1.248  0.239 1.163  0.280 1.030  0.313 0.896  0.341 0.761  0.369 0.625  0.382 0.488  0.382 0.350  0.382 0.211  0.382 0.073  0.373 -0.065  0.364 -0.203  0.354 -0.341  0.342 -0.479  0.324 -0.616  0.305 -0.753  0.287 -0.890  0.250 -1.022  0.194 -1.149  0.139 -1.276  0.080 -1.401  0.013 -1.522  -0.054 -1.643  -0.135 -1.754  -0.228 -1.856  -0.327 -1.953  -0.430 -2.045
1c#apb#apb36#app3667/z  -0.556 0.690  -0.618 0.792  -0.572 0.899  -0.485 0.974  -0.383 1.037  -0.283 1.101  -0.181 1.164  -0.076 1.221  0.029 1.278  0.146 1.265  0.264 1.247  0.379 1.217  0.491 1.176  0.578 1.109  0.623 0.999  0.639 0.886  0.612 0.769  0.584 0.653  0.548 0.541  0.471 0.450  0.395 0.358  0.319 0.266  0.242 0.174  0.164 0.084  0.087 -0.007  0.009 -0.098  -0.069 -0.188  -0.146 -0.279  -0.236 -0.357  -0.329 -0.433  -0.421 -0.508  -0.514 -0.584  -0.595 -0.672  -0.675 -0.760  -0.755 -0.848  -0.793 -0.957  -0.683 -1.004  -0.568 -1.032  -0.450 -1.050  -0.332 -1.066  -0.213 -1.073  -0.093 -1.081  0.026 -1.086  0.145 -1.086  0.265 -1.084  0.382 -1.063  0.500 -1.042  0.618 -1.027  0.708 -0.966  0.803 -0.998
