3#apa#apa02#app0240/k  -0.533 0.933  -0.501 0.933  -0.576 0.766  -0.656 0.583  -0.656 0.367  -0.656 0.151  -0.715 -0.051  -0.780 -0.252  -0.780 -0.468  -0.874 -0.645  -0.903 -0.849  -0.903 -1.065  -0.903 -1.281  -0.903 -1.497  -0.807 -1.396  -0.688 -1.216  -0.568 -1.036  -0.448 -0.856  -0.328 -0.677  -0.208 -0.497  -0.088 -0.317  0.032 -0.137  0.151 0.042  0.271 0.222  0.391 0.402  0.511 0.582  0.631 0.762  0.751 0.941  0.871 1.121  0.990 1.301  1.075 1.363  0.951 1.271  0.863 1.092  0.710 0.939  0.557 0.786  0.404 0.633  0.251 0.480  0.086 0.406  -0.038 0.313  -0.132 0.191  -0.099 0.067  -0.006 -0.056  0.086 -0.180  0.209 -0.273  0.333 -0.365  0.471 -0.496  0.580 -0.644  0.766 -0.674  0.859 -0.798  0.951 -0.922
3#apa#apa02#app0240/i  -0.083 0.605  0.044 0.605  0.078 0.512  0.078 0.386  0.078 0.259  0.078 0.132  -0.005 0.039  -0.083 -0.055  -0.083 -0.182  -0.083 -0.309  -0.083 -0.436  -0.112 -0.551  -0.202 -0.641  -0.244 -0.750  -0.244 -0.877  -0.244 -1.004  -0.244 -1.131  -0.309 -1.231  -0.399 -1.321  -0.405 -1.445  -0.321 -1.488  -0.235 -1.439  -0.211 -1.315  -0.187 -1.190  -0.164 -1.065  -0.140 -0.941  -0.116 -0.816  -0.092 -0.691  -0.069 -0.566  -0.045 -0.442  -0.021 -0.317  0.003 -0.192  0.026 -0.068  0.050 0.057  0.074 0.182  0.098 0.306  0.121 0.431  0.145 0.556  0.169 0.680  0.193 0.805  0.216 0.930  0.240 1.054  0.264 1.179  0.288 1.304  0.311 1.428  0.335 1.553  0.359 1.678  0.383 1.802  0.400 1.928  0.400 2.055
3#apa#apa02#app0240/t  0.506 1.875  0.625 1.756  0.648 1.597  0.633 1.434  0.514 1.315  0.506 1.150  0.506 0.981  0.484 0.816  0.431 0.656  0.377 0.496  0.364 0.329  0.296 0.177  0.219 0.027  0.100 -0.093  0.080 -0.253  0.062 -0.414  -0.057 -0.534  -0.062 -0.700  -0.062 -0.869  -0.062 -1.038  -0.062 -1.206  -0.062 -1.375  -0.062 -1.544  -0.076 -1.639  -0.139 -1.482  -0.201 -1.326  -0.264 -1.169  -0.327 -1.012  -0.389 -0.856  -0.452 -0.699  -0.515 -0.543  -0.577 -0.386  -0.640 -0.229  -0.702 -0.073  -0.765 0.084  -0.828 0.240  -0.890 0.397  -0.914 0.350  -0.781 0.313  -0.613 0.313  -0.444 0.313  -0.275 0.313  -0.107 0.313  0.062 0.313  0.231 0.313  0.399 0.313  0.568 0.313  0.737 0.313  0.905 0.313  1.074 0.313
3#apa#apa02#app0240/h  -0.179 1.932  -0.179 1.775  -0.179 1.617  -0.241 1.486  -0.307 1.356  -0.307 1.198  -0.307 1.041  -0.323 0.890  -0.435 0.779  -0.435 0.622  -0.435 0.464  -0.435 0.307  -0.487 0.161  -0.557 0.021  -0.567 -0.135  -0.606 -0.288  -0.644 -0.440  -0.682 -0.593  -0.692 -0.749  -0.795 -0.864  -0.820 -1.011  -0.797 -1.146  -0.655 -1.109  -0.564 -0.990  -0.523 -0.849  -0.412 -0.738  -0.298 -0.633  -0.179 -0.594  -0.179 -0.437  -0.092 -0.333  0.049 -0.263  0.166 -0.160  0.206 -0.019  0.298 0.101  0.409 0.212  0.521 0.323  0.591 0.452  0.678 0.522  0.836 0.522  0.847 0.376  0.847 0.218  0.847 0.061  0.847 -0.097  0.847 -0.254  0.847 -0.412  0.847 -0.569  0.847 -0.727  0.847 -0.884  0.955 -0.997  0.976 -1.146
3#apa#apa02#app0240/f  0.965 1.506  0.965 1.649  0.888 1.715  0.778 1.633  0.647 1.606  0.546 1.504  0.518 1.373  0.417 1.272  0.316 1.170  0.233 1.061  0.233 0.918  0.160 0.805  0.128 0.675  0.128 0.532  0.078 0.410  0.023 0.289  0.023 0.146  0.023 0.003  0.023 -0.141  0.023 -0.284  0.023 -0.427  0.063 -0.561  0.127 -0.689  0.128 -0.832  0.128 -0.975  0.136 -1.110  0.233 -1.157  0.233 -1.300  0.141 -1.235  0.035 -1.138  -0.070 -1.042  -0.176 -0.945  -0.281 -0.848  -0.387 -0.751  -0.492 -0.655  -0.598 -0.558  -0.704 -0.461  -0.809 -0.364  -0.915 -0.268  -1.020 -0.171  -0.924 -0.267  -0.784 -0.273  -0.641 -0.273  -0.497 -0.273  -0.354 -0.273  -0.211 -0.273  -0.080 -0.220  0.051 -0.168  0.194 -0.168  0.337 -0.168
3#apa#apa02#app0240/r  -0.678 1.476  -0.532 1.476  -0.460 1.401  -0.460 1.255  -0.460 1.109  -0.405 0.985  -0.302 0.882  -0.242 0.760  -0.242 0.614  -0.242 0.467  -0.242 0.321  -0.242 0.175  -0.242 0.028  -0.194 -0.098  -0.090 -0.201  -0.024 -0.320  -0.024 -0.467  -0.024 -0.613  -0.024 -0.759  -0.024 -0.906  -0.024 -1.052  -0.024 -1.198  -0.024 -1.345  -0.024 -1.491  -0.086 -1.575  -0.233 -1.575  -0.242 -1.438  -0.242 -1.292  -0.242 -1.145  -0.242 -0.999  -0.242 -0.853  -0.242 -0.706  -0.242 -0.560  -0.191 -0.435  -0.088 -0.331  -0.024 -0.211  -0.024 -0.065  0.068 0.043  0.172 0.146  0.194 0.284  0.225 0.417  0.328 0.521  0.432 0.624  0.535 0.728  0.639 0.831  0.742 0.935  0.845 1.038  0.991 1.040  1.137 1.040  1.284 1.040
3#apa#apa02#app0240/a  0.466 0.950  0.440 1.094  0.269 1.094  0.177 1.016  0.073 0.950  -0.098 0.950  -0.223 0.839  -0.380 0.805  -0.507 0.700  -0.649 0.609  -0.802 0.532  -0.835 0.382  -0.948 0.258  -1.069 0.138  -1.124 -0.010  -1.208 -0.146  -1.269 -0.292  -1.269 -0.463  -1.269 -0.633  -1.153 -0.756  -0.994 -0.785  -0.824 -0.785  -0.653 -0.785  -0.501 -0.740  -0.371 -0.641  -0.217 -0.601  -0.096 -0.480  0.024 -0.360  0.145 -0.239  0.266 -0.118  0.387 0.002  0.466 0.140  0.466 0.311  0.466 0.482  0.563 0.612  0.611 0.763  0.611 0.676  0.611 0.506  0.637 0.346  0.756 0.224  0.756 0.053  0.756 -0.117  0.813 -0.264  0.900 -0.399  0.900 -0.570  0.900 -0.741  0.900 -0.911  1.008 -1.037  1.045 -1.193  1.045 -1.364
3#apa#apa02#app0240/n  -1.133 0.619  -1.133 0.485  -1.124 0.354  -1.029 0.259  -1.005 0.134  -1.005 -0.001  -1.005 -0.135  -0.921 -0.235  -0.877 -0.351  -0.877 -0.486  -0.877 -0.620  -0.877 -0.755  -0.877 -0.890  -0.877 -1.024  -0.798 -0.969  -0.703 -0.873  -0.621 -0.773  -0.621 -0.638  -0.590 -0.535  -0.466 -0.508  -0.371 -0.413  -0.276 -0.318  -0.201 -0.208  -0.141 -0.088  -0.065 0.021  0.020 0.121  0.035 0.249  0.130 0.345  0.197 0.460  0.257 0.580  0.341 0.684  0.436 0.779  0.532 0.874  0.664 0.879  0.759 0.974  0.882 1.004  0.918 0.906  0.918 0.771  0.918 0.637  1.001 0.536  1.046 0.421  1.046 0.286  1.046 0.151  1.046 0.017  1.046 -0.118  1.046 -0.253  1.046 -0.387  1.046 -0.522  1.046 -0.656  1.046 -0.791
3#apa#apa02#app0240/t  0.217 1.971  0.330 1.952  0.219 1.841  0.217 1.685  0.217 1.528  0.183 1.378  0.113 1.238  0.086 1.087  0.086 0.930  0.086 0.773  0.086 0.616  0.086 0.458  0.086 0.301  0.086 0.144  0.086 -0.013  0.086 -0.170  0.086 -0.327  0.086 -0.485  0.086 -0.642  0.086 -0.799  0.086 -0.956  0.086 -1.113  0.086 -1.270  0.170 -1.393  0.217 -1.530  0.334 -1.571  0.271 -1.451  0.186 -1.319  0.101 -1.187  0.016 -1.055  -0.069 -0.922  -0.154 -0.790  -0.239 -0.658  -0.324 -0.526  -0.409 -0.393  -0.494 -0.261  -0.579 -0.129  -0.664 0.003  -0.749 0.135  -0.830 0.265  -0.673 0.265  -0.516 0.265  -0.358 0.265  -0.201 0.265  -0.044 0.265  0.113 0.265  0.270 0.265  0.427 0.265  0.585 0.265  0.742 0.265
3#apa#apa02#app0240/i  -0.035 1.045  -0.035 0.902  -0.035 0.758  -0.035 0.615  -0.035 0.472  -0.035 0.329  -0.035 0.185  -0.035 0.042  -0.035 -0.101  -0.035 -0.244  -0.035 -0.388  -0.035 -0.531  -0.035 -0.674  -0.035 -0.817  -0.098 -0.946  -0.163 -1.074  -0.168 -1.216  -0.168 -1.359  -0.168 -1.502  -0.168 -1.645  -0.165 -1.712  -0.152 -1.569  -0.140 -1.426  -0.127 -1.284  -0.115 -1.141  -0.103 -0.998  -0.090 -0.856  -0.078 -0.713  -0.065 -0.570  -0.053 -0.428  -0.041 -0.285  -0.028 -0.142  -0.016 0.001  -0.003 0.143  0.009 0.286  0.021 0.429  0.034 0.571  0.046 0.714  0.059 0.857  0.071 1.000  0.083 1.142  0.096 1.285  0.181 1.228  0.303 1.178  0.364 1.260  0.272 1.311  0.231 1.414  0.231 1.557  0.231 1.454  0.364 1.444
3#apa#apa02#app0240/c  0.822 0.878  0.822 0.976  0.822 1.073  0.781 1.129  0.684 1.129  0.587 1.129  0.489 1.129  0.392 1.129  0.297 1.118  0.210 1.074  0.123 1.031  0.032 1.004  -0.060 0.995  -0.103 0.908  -0.147 0.821  -0.196 0.738  -0.264 0.669  -0.333 0.601  -0.402 0.532  -0.432 0.447  -0.451 0.357  -0.520 0.289  -0.589 0.220  -0.657 0.151  -0.682 0.064  -0.682 -0.033  -0.682 -0.130  -0.682 -0.228  -0.682 -0.325  -0.649 -0.409  -0.580 -0.477  -0.557 -0.565  -0.531 -0.652  -0.463 -0.721  -0.384 -0.775  -0.297 -0.819  -0.210 -0.862  -0.116 -0.877  -0.029 -0.903  0.039 -0.972  0.124 -1.002  0.221 -1.002  0.319 -1.002  0.388 -1.070  0.461 -1.128  0.559 -1.128  0.656 -1.128  0.753 -1.128  0.850 -1.128  0.948 -1.128
