3#app#app08#app0812/A  -0.173 1.255  -0.066 1.090  -0.147 0.851  -0.279 0.613  -0.392 0.386  -0.497 0.138  -0.588 -0.113  -0.712 -0.338  -0.820 -0.567  -0.927 -0.814  -1.007 -1.007  -1.023 -1.196  -0.912 -0.946  -0.801 -0.697  -0.691 -0.447  -0.580 -0.198  -0.469 0.052  -0.358 0.301  -0.247 0.551  -0.136 0.800  -0.025 1.050  0.086 1.299  0.197 1.549  0.258 1.563  0.338 1.309  0.365 1.043  0.477 0.815  0.581 0.567  0.651 0.323  0.692 0.067  0.796 -0.163  0.904 -0.391  0.966 -0.654  1.012 -0.920  1.119 -1.148  1.119 -1.421  0.927 -1.269  0.723 -1.088  0.518 -0.908  0.313 -0.727  0.109 -0.546  -0.096 -0.366  -0.301 -0.185  -0.506 -0.004  -0.710 0.176  -0.441 0.178  -0.213 0.070  0.060 0.070  0.325 0.036  0.581 -0.038
3#app#app08#app0812/L  -0.277 1.731  -0.277 1.638  -0.277 1.545  -0.277 1.452  -0.277 1.359  -0.277 1.266  -0.277 1.173  -0.277 1.080  -0.277 0.987  -0.277 0.894  -0.289 0.806  -0.354 0.740  -0.378 0.657  -0.378 0.564  -0.397 0.475  -0.439 0.392  -0.480 0.309  -0.480 0.216  -0.540 0.148  -0.581 0.072  -0.581 -0.021  -0.581 -0.114  -0.581 -0.207  -0.581 -0.300  -0.581 -0.393  -0.581 -0.486  -0.505 -0.502  -0.480 -0.570  -0.420 -0.604  -0.327 -0.604  -0.234 -0.604  -0.141 -0.604  -0.048 -0.604  0.045 -0.604  0.138 -0.604  0.231 -0.604  0.324 -0.604  0.392 -0.663  0.468 -0.705  0.561 -0.705  0.654 -0.705  0.746 -0.705  0.839 -0.705  0.932 -0.705  1.025 -0.705  1.118 -0.705  1.192 -0.753  1.262 -0.806  1.355 -0.806  1.448 -0.806
3#app#app08#app0812/M  -1.001 0.593  -0.963 0.382  -0.914 0.175  -0.914 -0.051  -0.914 -0.278  -0.914 -0.505  -0.914 -0.731  -0.914 -0.958  -0.914 -1.089  -0.828 -0.948  -0.828 -0.722  -0.741 -0.531  -0.741 -0.304  -0.741 -0.077  -0.655 0.113  -0.650 0.338  -0.568 0.531  -0.568 0.758  -0.536 0.971  -0.482 1.175  -0.399 1.029  -0.395 0.804  -0.309 0.664  -0.309 0.437  -0.222 0.297  -0.220 0.071  -0.136 -0.121  -0.049 -0.261  0.037 -0.401  0.184 -0.531  0.411 -0.531  0.506 -0.372  0.556 -0.157  0.642 0.034  0.729 0.225  0.751 0.442  0.815 0.643  0.827 0.864  0.902 0.991  0.904 0.766  0.988 0.624  0.988 0.397  0.988 0.170  0.988 -0.056  1.032 -0.273  1.075 -0.489  1.075 -0.716  1.075 -0.943  1.108 -1.137  1.161 -1.310
3#app#app08#app0812/N  -0.635 0.806  -0.443 0.784  -0.443 0.570  -0.443 0.355  -0.443 0.141  -0.535 -0.052  -0.539 -0.265  -0.631 -0.441  -0.640 -0.653  -0.708 -0.856  -0.731 -1.067  -0.828 -1.054  -0.828 -0.840  -0.822 -0.627  -0.731 -0.434  -0.731 -0.219  -0.635 -0.045  -0.635 0.170  -0.566 0.367  -0.539 0.575  -0.443 0.750  -0.346 0.924  -0.250 0.954  -0.250 0.740  -0.192 0.535  -0.154 0.327  -0.154 0.113  -0.154 -0.102  -0.154 -0.316  -0.058 -0.491  -0.058 -0.705  -0.018 -0.910  0.039 -1.111  0.205 -1.216  0.327 -1.124  0.497 -1.023  0.550 -0.836  0.620 -0.634  0.750 -0.467  0.809 -0.267  0.898 -0.074  0.951 0.128  1.001 0.331  1.001 0.545  1.023 0.754  1.097 0.951  1.097 1.165  1.194 1.340  1.290 1.309  1.386 1.191
3#app#app08#app0812/O  -0.263 0.758  -0.297 0.818  -0.414 0.758  -0.525 0.683  -0.626 0.583  -0.660 0.455  -0.733 0.343  -0.772 0.210  -0.827 0.081  -0.827 -0.062  -0.827 -0.204  -0.827 -0.346  -0.827 -0.488  -0.827 -0.630  -0.827 -0.772  -0.774 -0.893  -0.673 -0.993  -0.573 -1.094  -0.472 -1.194  -0.339 -1.216  -0.197 -1.216  -0.057 -1.207  0.070 -1.143  0.197 -1.080  0.320 -1.010  0.411 -0.902  0.475 -0.775  0.567 -0.669  0.636 -0.546  0.700 -0.419  0.763 -0.292  0.827 -0.164  0.905 -0.048  0.959 0.072  0.959 0.214  0.959 0.356  0.959 0.498  0.909 0.620  0.809 0.720  0.708 0.821  0.673 0.946  0.531 0.946  0.418 1.017  0.285 1.040  0.143 1.040  0.001 1.040  -0.122 0.993  -0.222 0.893  -0.323 0.792  -0.357 0.664
3#app#app08#app0812/P  -0.719 0.800  -0.655 0.641  -0.625 0.468  -0.625 0.283  -0.625 0.098  -0.625 -0.088  -0.625 -0.273  -0.625 -0.458  -0.625 -0.644  -0.625 -0.829  -0.625 -1.014  -0.625 -1.199  -0.704 -1.352  -0.719 -1.531  -0.670 -1.402  -0.613 -1.226  -0.557 -1.049  -0.500 -0.873  -0.443 -0.696  -0.386 -0.520  -0.330 -0.344  -0.273 -0.167  -0.216 0.009  -0.160 0.186  -0.103 0.362  -0.046 0.539  0.011 0.715  0.067 0.891  0.124 1.068  0.204 1.177  0.351 1.271  0.536 1.271  0.627 1.177  0.778 1.093  0.936 1.029  1.011 0.894  1.093 0.778  1.165 0.623  1.165 0.437  1.165 0.252  1.071 0.106  0.982 -0.043  0.838 -0.142  0.691 -0.236  0.506 -0.236  0.347 -0.300  0.175 -0.331  0.002 -0.363  -0.157 -0.425  -0.342 -0.425
3#app#app08#app0812/Q  -0.320 1.136  -0.467 0.990  -0.550 0.833  -0.718 0.738  -0.826 0.575  -0.927 0.410  -0.927 0.202  -0.927 -0.005  -0.927 -0.213  -0.910 -0.417  -0.813 -0.599  -0.666 -0.745  -0.519 -0.892  -0.372 -1.039  -0.187 -1.092  0.021 -1.092  0.186 -0.990  0.363 -0.915  0.510 -0.769  0.633 -0.605  0.744 -0.433  0.837 -0.253  0.906 -0.057  0.997 0.129  0.997 0.336  0.997 0.544  0.942 0.739  0.894 0.935  0.729 1.035  0.563 1.136  0.355 1.136  0.148 1.136  -0.018 1.035  -0.214 0.987  -0.383 0.871  -0.522 0.780  -0.624 0.615  -0.624 0.407  -0.624 0.200  -0.531 0.031  -0.347 -0.065  -0.165 -0.132  -0.018 -0.279  0.129 -0.426  0.275 -0.573  0.350 -0.749  0.490 -0.899  0.572 -1.072  0.693 -1.230  0.794 -1.395
3#app#app08#app0812/R  -0.648 0.503  -0.611 0.322  -0.558 0.157  -0.558 -0.061  -0.558 -0.278  -0.558 -0.496  -0.558 -0.714  -0.558 -0.932  -0.558 -1.150  -0.558 -1.368  -0.565 -1.385  -0.582 -1.168  -0.598 -0.951  -0.614 -0.733  -0.630 -0.516  -0.646 -0.299  -0.662 -0.081  -0.678 0.136  -0.694 0.353  -0.710 0.571  -0.726 0.788  -0.688 0.955  -0.560 1.045  -0.380 1.136  -0.162 1.136  0.056 1.136  0.268 1.101  0.477 1.045  0.672 0.990  0.867 0.920  1.071 0.862  1.250 0.771  1.340 0.643  1.340 0.425  1.172 0.322  1.014 0.177  0.820 0.107  0.615 0.050  0.418 -0.039  0.216 -0.078  0.020 -0.130  -0.108 -0.220  -0.197 -0.349  -0.030 -0.401  0.097 -0.491  0.298 -0.534  0.478 -0.624  0.660 -0.739  0.824 -0.880  0.978 -1.034
3#app#app08#app0812/S  0.870 0.478  0.870 0.611  0.849 0.735  0.755 0.829  0.742 0.952  0.616 0.969  0.521 1.063  0.393 1.073  0.298 1.167  0.174 1.189  0.041 1.189  -0.092 1.189  -0.217 1.169  -0.311 1.075  -0.434 1.062  -0.457 0.952  -0.553 0.915  -0.553 0.781  -0.553 0.648  -0.496 0.539  -0.401 0.445  -0.316 0.347  -0.297 0.222  -0.203 0.128  -0.085 0.066  0.034 0.006  0.045 -0.121  0.140 -0.215  0.234 -0.309  0.328 -0.403  0.395 -0.508  0.432 -0.626  0.514 -0.725  0.514 -0.859  0.514 -0.992  0.514 -1.125  0.438 -1.182  0.305 -1.182  0.172 -1.182  0.074 -1.097  -0.046 -1.063  -0.179 -1.063  -0.312 -1.063  -0.407 -0.972  -0.529 -0.945  -0.662 -0.945  -0.759 -0.857  -0.879 -0.826  -1.012 -0.826  -1.027 -0.708
3#app#app08#app0812/T  0.261 0.211  0.216 0.103  0.153 0.012  0.133 -0.133  0.045 -0.250  0.045 -0.403  0.045 -0.556  0.045 -0.709  0.045 -0.863  0.045 -1.016  0.045 -1.169  0.045 -1.323  0.045 -1.476  0.050 -1.625  0.137 -1.577  0.086 -1.433  0.036 -1.288  -0.014 -1.143  -0.064 -0.998  -0.114 -0.853  -0.164 -0.708  -0.214 -0.563  -0.265 -0.418  -0.315 -0.274  -0.365 -0.129  -0.415 0.016  -0.465 0.161  -0.515 0.306  -0.566 0.451  -0.616 0.596  -0.666 0.741  -0.716 0.885  -0.766 1.030  -0.816 1.175  -0.685 1.157  -0.565 1.075  -0.412 1.075  -0.296 0.984  -0.156 0.952  -0.041 0.859  0.112 0.859  0.259 0.823  0.405 0.775  0.554 0.751  0.695 0.696  0.835 0.643  0.989 0.643  1.142 0.643  1.295 0.643  1.449 0.643
3#app#app08#app0812/U  -0.524 1.392  -0.524 1.270  -0.524 1.148  -0.611 1.061  -0.646 0.954  -0.646 0.831  -0.646 0.709  -0.646 0.587  -0.646 0.465  -0.698 0.364  -0.768 0.271  -0.768 0.149  -0.768 0.027  -0.768 -0.096  -0.750 -0.210  -0.663 -0.297  -0.646 -0.412  -0.646 -0.534  -0.576 -0.627  -0.524 -0.728  -0.490 -0.836  -0.403 -0.922  -0.317 -1.008  -0.230 -1.095  -0.138 -1.167  -0.016 -1.167  0.106 -1.167  0.207 -1.146  0.222 -1.030  0.309 -0.944  0.395 -0.857  0.451 -0.758  0.465 -0.638  0.503 -0.522  0.542 -0.406  0.573 -0.289  0.573 -0.167  0.573 -0.045  0.591 0.070  0.678 0.156  0.695 0.271  0.764 0.365  0.816 0.465  0.816 0.587  0.816 0.710  0.816 0.832  0.851 0.939  0.938 1.026  0.938 1.148  0.938 1.270
3#app#app08#app0812/V  -1.317 0.883  -1.201 0.867  -1.168 0.767  -1.036 0.767  -0.922 0.721  -0.852 0.618  -0.817 0.500  -0.724 0.406  -0.630 0.313  -0.619 0.185  -0.525 0.091  -0.503 -0.032  -0.420 -0.130  -0.386 -0.249  -0.386 -0.381  -0.303 -0.479  -0.270 -0.598  -0.270 -0.730  -0.187 -0.829  -0.154 -0.947  -0.154 -1.080  -0.154 -1.212  -0.136 -1.327  -0.037 -1.294  0.012 -1.211  0.079 -1.145  0.137 -1.036  0.195 -0.928  0.195 -0.796  0.195 -0.663  0.294 -0.629  0.312 -0.515  0.312 -0.382  0.333 -0.259  0.427 -0.165  0.428 -0.033  0.428 0.099  0.461 0.218  0.544 0.316  0.566 0.440  0.660 0.533  0.661 0.665  0.661 0.798  0.708 0.883  0.805 0.940  0.865 1.058  0.893 1.184  0.978 1.232  1.010 1.332  1.010 1.232
3#app#app08#app0812/W  -1.064 1.003  -1.064 0.857  -1.080 0.727  -1.156 0.658  -1.195 0.519  -1.241 0.381  -1.248 0.237  -1.248 0.091  -1.248 -0.054  -1.242 -0.197  -1.156 -0.307  -1.101 -0.430  -0.971 -0.467  -0.826 -0.467  -0.680 -0.467  -0.535 -0.467  -0.399 -0.444  -0.287 -0.354  -0.157 -0.289  -0.052 -0.189  0.051 -0.086  0.130 0.027  0.192 0.146  0.210 0.268  0.084 0.222  0.038 0.096  -0.054 -0.012  -0.054 -0.157  -0.054 -0.303  -0.054 -0.448  0.036 -0.557  0.130 -0.609  0.234 -0.650  0.380 -0.650  0.525 -0.650  0.647 -0.593  0.776 -0.555  0.879 -0.452  0.968 -0.341  1.014 -0.203  1.074 -0.074  1.164 0.039  1.229 0.169  1.232 0.314  1.232 0.459  1.232 0.605  1.232 0.750  1.232 0.896  1.194 1.003  1.048 1.003
3#app#app08#app0812/X  1.139 0.991  0.948 0.991  0.793 0.954  0.693 0.825  0.530 0.728  0.395 0.593  0.260 0.457  0.125 0.322  -0.010 0.187  -0.097 0.017  -0.213 -0.131  -0.310 -0.294  -0.395 -0.465  -0.485 -0.633  -0.609 -0.777  -0.694 -0.948  -0.819 -1.089  -0.901 -1.198  -0.924 -1.272  -0.875 -1.087  -0.827 -0.902  -0.779 -0.717  -0.731 -0.532  -0.682 -0.347  -0.634 -0.162  -0.586 0.023  -0.538 0.208  -0.489 0.393  -0.441 0.578  -0.393 0.762  -0.345 0.947  -0.296 1.132  -0.248 1.317  -0.128 1.280  -0.128 1.089  -0.086 0.908  0.006 0.742  0.127 0.596  0.212 0.425  0.246 0.242  0.332 0.071  0.460 -0.069  0.545 -0.240  0.670 -0.383  0.802 -0.520  0.908 -0.679  1.014 -0.838  1.065 -1.009  1.139 -1.170  1.254 -1.313
3#app#app08#app0812/Y  -1.247 1.281  -1.247 1.102  -1.189 0.948  -1.063 0.822  -0.972 0.681  -0.882 0.593  -0.742 0.500  -0.697 0.340  -0.587 0.208  -0.461 0.082  -0.335 -0.045  -0.188 -0.143  -0.029 -0.222  0.004 -0.383  0.130 -0.509  0.256 -0.636  0.403 -0.673  0.417 -0.715  0.452 -0.540  0.487 -0.365  0.521 -0.190  0.556 -0.015  0.591 0.160  0.626 0.334  0.661 0.509  0.696 0.684  0.731 0.859  0.766 1.034  0.801 1.209  0.816 1.175  0.712 1.040  0.678 0.876  0.557 0.747  0.528 0.581  0.402 0.455  0.276 0.329  0.214 0.163  0.157 -0.006  0.090 -0.171  0.010 -0.330  -0.009 -0.504  -0.133 -0.631  -0.218 -0.787  -0.285 -0.950  -0.285 -1.128  -0.285 -1.307  -0.422 -1.347  -0.422 -1.526  -0.422 -1.704  -0.422 -1.882
3#app#app08#app0812/Z  -0.742 1.033  -0.638 0.986  -0.543 0.929  -0.392 0.929  -0.241 0.929  -0.090 0.929  0.061 0.929  0.212 0.929  0.363 0.929  0.411 0.826  0.562 0.826  0.713 0.826  0.864 0.826  0.817 0.826  0.679 0.795  0.558 0.722  0.435 0.655  0.328 0.548  0.191 0.515  0.084 0.408  -0.026 0.308  -0.160 0.267  -0.267 0.160  -0.393 0.100  -0.511 0.020  -0.618 -0.087  -0.725 -0.194  -0.832 -0.301  -0.949 -0.342  -1.003 -0.471  -1.110 -0.578  -1.156 -0.710  -1.024 -0.729  -0.873 -0.729  -0.722 -0.729  -0.571 -0.729  -0.420 -0.729  -0.269 -0.729  -0.118 -0.729  0.034 -0.729  0.156 -0.798  0.293 -0.832  0.444 -0.832  0.595 -0.832  0.746 -0.832  0.888 -0.870  1.024 -0.936  1.175 -0.936  1.326 -0.936  1.434 -0.832
