2#apa#apa13#app1340/p  -0.410 0.679  -0.312 0.798  -0.214 0.777  -0.199 0.566  -0.116 0.383  -0.116 0.166  -0.116 -0.051  -0.116 -0.268  -0.116 -0.485  -0.116 -0.703  -0.116 -0.920  -0.116 -1.137  -0.116 -1.354  -0.116 -1.571  -0.066 -1.776  -0.044 -1.766  -0.094 -1.555  -0.145 -1.344  -0.196 -1.133  -0.247 -0.922  -0.298 -0.711  -0.349 -0.500  -0.400 -0.289  -0.451 -0.077  -0.502 0.134  -0.553 0.345  -0.604 0.556  -0.655 0.767  -0.705 0.978  -0.618 1.159  -0.405 1.170  -0.188 1.170  0.029 1.170  0.228 1.096  0.440 1.072  0.657 1.072  0.843 0.997  1.025 0.912  1.160 0.751  1.160 0.534  1.160 0.317  0.993 0.203  0.833 0.058  0.680 -0.095  0.473 -0.155  0.262 -0.204  0.045 -0.204  -0.172 -0.204  -0.390 -0.204  -0.607 -0.204
2#apa#apa13#app1340/(  0.590 1.576  0.590 1.498  0.564 1.431  0.508 1.375  0.453 1.320  0.398 1.265  0.353 1.205  0.353 1.127  0.316 1.065  0.261 1.009  0.206 0.954  0.151 0.899  0.095 0.844  0.040 0.788  -0.015 0.733  -0.070 0.678  -0.126 0.623  -0.181 0.568  -0.236 0.512  -0.240 0.436  -0.240 0.358  -0.240 0.280  -0.271 0.209  -0.306 0.139  -0.341 0.069  -0.359 -0.005  -0.359 -0.083  -0.359 -0.161  -0.359 -0.239  -0.359 -0.317  -0.359 -0.395  -0.359 -0.473  -0.359 -0.551  -0.359 -0.630  -0.337 -0.699  -0.282 -0.754  -0.232 -0.813  -0.197 -0.883  -0.162 -0.952  -0.127 -1.022  -0.075 -1.080  -0.020 -1.135  0.035 -1.190  0.091 -1.246  0.154 -1.290  0.224 -1.325  0.294 -1.360  0.361 -1.398  0.416 -1.453  0.472 -1.508
2#apa#apa13#app1340/2  -0.983 1.194  -0.852 1.194  -0.740 1.240  -0.631 1.292  -0.500 1.292  -0.369 1.292  -0.238 1.292  -0.107 1.292  0.018 1.278  0.111 1.185  0.204 1.092  0.296 1.000  0.389 0.907  0.497 0.878  0.497 0.747  0.497 0.616  0.497 0.485  0.497 0.354  0.497 0.223  0.415 0.126  0.323 0.033  0.211 -0.034  0.098 -0.097  0.040 -0.214  -0.032 -0.322  -0.130 -0.408  -0.239 -0.481  -0.348 -0.553  -0.447 -0.638  -0.561 -0.681  -0.692 -0.681  -0.823 -0.681  -0.884 -0.611  -0.783 -0.582  -0.652 -0.582  -0.521 -0.582  -0.390 -0.582  -0.262 -0.597  -0.145 -0.656  -0.020 -0.681  0.080 -0.757  0.201 -0.780  0.319 -0.838  0.440 -0.878  0.563 -0.911  0.681 -0.970  0.804 -1.013  0.929 -1.055  1.056 -1.075  1.187 -1.075
2#apa#apa13#app1340/3  -1.230 0.971  -1.060 0.971  -0.891 0.971  -0.729 0.990  -0.601 1.092  -0.432 1.092  -0.262 1.092  -0.092 1.092  0.077 1.092  0.247 1.092  0.337 1.012  0.337 0.842  0.337 0.673  0.261 0.534  0.141 0.414  -0.009 0.369  -0.134 0.260  -0.299 0.248  -0.460 0.212  -0.611 0.136  -0.779 0.128  -0.949 0.128  -0.859 0.128  -0.690 0.128  -0.520 0.128  -0.352 0.119  -0.187 0.078  -0.022 0.037  0.143 0.007  0.313 0.007  0.475 -0.011  0.595 -0.131  0.722 -0.234  0.884 -0.266  1.036 -0.342  1.161 -0.455  1.165 -0.611  1.060 -0.737  1.010 -0.886  0.870 -0.957  0.700 -0.957  0.580 -1.075  0.411 -1.077  0.251 -1.120  0.100 -1.196  -0.069 -1.198  -0.239 -1.198  -0.409 -1.198  -0.578 -1.198  -0.748 -1.198
2#apa#apa13#app1340/4  -1.546 0.966  -1.436 0.912  -1.436 0.749  -1.436 0.586  -1.436 0.422  -1.436 0.259  -1.363 0.126  -1.247 0.010  -1.207 -0.134  -1.061 -0.207  -0.915 -0.280  -0.769 -0.354  -0.623 -0.427  -0.467 -0.458  -0.308 -0.494  -0.150 -0.533  0.009 -0.568  0.173 -0.568  0.336 -0.568  0.499 -0.568  0.663 -0.568  0.826 -0.568  0.821 -0.451  0.763 -0.298  0.706 -0.145  0.649 0.008  0.591 0.161  0.534 0.313  0.477 0.466  0.419 0.619  0.362 0.772  0.305 0.925  0.247 1.078  0.207 1.136  0.280 1.003  0.317 0.855  0.317 0.691  0.394 0.560  0.430 0.411  0.503 0.265  0.536 0.109  0.536 -0.054  0.536 -0.217  0.550 -0.377  0.623 -0.523  0.645 -0.681  0.645 -0.845  0.645 -1.008  0.645 -1.171  0.645 -1.335
2#apa#apa13#app1340/)  -0.510 1.617  -0.457 1.564  -0.416 1.502  -0.382 1.435  -0.364 1.364  -0.338 1.299  -0.291 1.244  -0.291 1.168  -0.282 1.097  -0.229 1.044  -0.191 0.979  -0.158 0.912  -0.124 0.845  -0.090 0.778  -0.057 0.710  -0.023 0.643  0.017 0.580  0.070 0.527  0.112 0.465  0.154 0.402  0.196 0.340  0.234 0.275  0.267 0.208  0.292 0.138  0.292 0.063  0.292 -0.012  0.292 -0.087  0.292 -0.162  0.292 -0.238  0.292 -0.313  0.292 -0.388  0.292 -0.463  0.292 -0.539  0.292 -0.614  0.271 -0.684  0.237 -0.751  0.204 -0.819  0.170 -0.886  0.136 -0.953  0.103 -1.020  0.070 -1.088  0.046 -1.159  0.023 -1.231  -0.004 -1.299  -0.077 -1.303  -0.130 -1.356  -0.183 -1.409  -0.244 -1.444  -0.311 -1.464  -0.364 -1.517
2#apa#apa13#app1340/5  -0.200 0.422  -0.182 0.496  -0.279 0.604  -0.474 0.603  -0.632 0.513  -0.787 0.408  -0.973 0.346  -1.110 0.276  -1.062 0.100  -0.884 0.058  -0.727 -0.033  -0.531 -0.033  -0.336 -0.033  -0.157 -0.100  0.018 -0.188  0.193 -0.275  0.344 -0.395  0.535 -0.404  0.620 -0.564  0.711 -0.722  0.711 -0.917  0.656 -1.090  0.513 -1.217  0.318 -1.217  0.123 -1.217  -0.072 -1.217  -0.230 -1.126  -0.413 -1.095  -0.551 -0.957  -0.655 -0.858  -0.631 -0.664  -0.607 -0.471  -0.583 -0.277  -0.559 -0.083  -0.534 0.111  -0.510 0.304  -0.486 0.498  -0.384 0.604  -0.209 0.690  -0.025 0.737  0.159 0.786  0.354 0.786  0.537 0.836  0.723 0.877  0.918 0.877  1.113 0.877  1.309 0.877  1.504 0.877  1.621 0.799  1.803 0.786
2#apa#apa13#app1340/6  -0.102 1.556  -0.205 1.534  -0.249 1.453  -0.308 1.386  -0.371 1.287  -0.459 1.199  -0.535 1.101  -0.591 0.989  -0.665 0.890  -0.741 0.792  -0.797 0.680  -0.824 0.561  -0.824 0.436  -0.824 0.311  -0.824 0.186  -0.824 0.060  -0.824 -0.065  -0.824 -0.190  -0.771 -0.303  -0.711 -0.412  -0.623 -0.501  -0.534 -0.589  -0.446 -0.678  -0.348 -0.755  -0.243 -0.824  -0.139 -0.894  -0.022 -0.919  0.104 -0.919  0.229 -0.919  0.354 -0.919  0.479 -0.919  0.579 -0.856  0.687 -0.816  0.812 -0.816  0.905 -0.737  1.020 -0.712  1.032 -0.599  1.032 -0.474  1.032 -0.349  1.032 -0.224  1.032 -0.098  0.917 -0.081  0.828 0.007  0.717 0.064  0.603 0.112  0.482 0.130  0.370 0.186  0.252 0.215  0.126 0.215  0.001 0.215
2#apa#apa13#app1340/7  -1.506 0.853  -1.417 0.958  -1.295 1.031  -1.101 1.031  -0.907 1.031  -0.713 1.031  -0.556 0.942  -0.361 0.942  -0.204 0.853  -0.010 0.853  0.184 0.853  0.367 0.806  0.551 0.764  0.657 0.675  0.720 0.544  0.679 0.366  0.542 0.229  0.494 0.046  0.444 -0.135  0.364 -0.295  0.296 -0.461  0.275 -0.647  0.273 -0.840  0.186 -0.998  0.186 -1.192  0.186 -1.387  0.216 -1.551  0.195 -1.441  0.082 -1.284  -0.032 -1.126  -0.146 -0.969  -0.259 -0.811  -0.373 -0.654  -0.487 -0.497  -0.600 -0.339  -0.714 -0.182  -0.828 -0.025  -0.782 0.052  -0.588 0.052  -0.394 0.052  -0.215 0.118  -0.027 0.141  0.168 0.141  0.362 0.141  0.556 0.141  0.750 0.141  0.939 0.120  1.117 0.052  1.295 0.011  1.432 -0.126
2#apa#apa13#app1340/  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.936 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.936 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
2#apa#apa13#app1340/8  -0.131 -0.406  -0.110 -0.340  -0.263 -0.363  -0.328 -0.516  -0.456 -0.644  -0.480 -0.814  -0.480 -0.994  -0.393 -1.138  -0.302 -1.281  -0.157 -1.365  -0.013 -1.452  0.167 -1.452  0.343 -1.433  0.499 -1.346  0.651 -1.278  0.654 -1.100  0.647 -0.923  0.520 -0.795  0.454 -0.642  0.327 -0.515  0.199 -0.388  0.072 -0.260  -0.056 -0.133  -0.164 0.008  -0.244 0.170  -0.336 0.323  -0.464 0.450  -0.550 0.607  -0.654 0.696  -0.741 0.840  -0.710 0.989  -0.617 1.076  -0.473 1.163  -0.322 1.234  -0.149 1.251  -0.005 1.338  0.176 1.338  0.356 1.338  0.536 1.338  0.654 1.224  0.654 1.044  0.654 0.864  0.561 0.722  0.443 0.586  0.344 0.436  0.206 0.329  0.045 0.249  -0.080 0.132  -0.178 -0.017  -0.305 -0.145
2#apa#apa13#app1340/9  0.419 0.214  0.448 0.351  0.528 0.467  0.528 0.616  0.528 0.766  0.528 0.915  0.528 1.064  0.399 1.084  0.249 1.084  0.100 1.084  -0.049 1.084  -0.198 1.084  -0.347 1.081  -0.471 0.998  -0.595 0.915  -0.712 0.823  -0.817 0.718  -0.923 0.612  -0.995 0.493  -0.995 0.344  -0.981 0.200  -0.871 0.105  -0.722 0.105  -0.601 0.037  -0.469 -0.004  -0.320 -0.004  -0.170 -0.004  -0.021 -0.004  0.128 -0.004  0.278 -0.004  0.393 0.078  0.531 0.105  0.680 0.105  0.687 0.046  0.581 -0.060  0.475 -0.166  0.388 -0.284  0.321 -0.418  0.222 -0.528  0.202 -0.669  0.165 -0.803  0.093 -0.922  0.093 -1.071  0.093 -1.221  0.093 -1.370  0.093 -1.519  0.093 -1.668  0.093 -1.818  0.096 -1.966  0.202 -2.071
2#apa#apa13#app1340/0  -0.248 0.823  -0.366 0.823  -0.484 0.823  -0.574 0.758  -0.674 0.697  -0.769 0.639  -0.807 0.544  -0.912 0.492  -0.943 0.393  -1.023 0.309  -1.029 0.193  -1.029 0.076  -1.029 -0.042  -1.029 -0.160  -1.029 -0.277  -1.027 -0.394  -0.944 -0.477  -0.861 -0.561  -0.778 -0.644  -0.675 -0.699  -0.566 -0.739  -0.455 -0.766  -0.350 -0.819  -0.234 -0.826  -0.116 -0.826  0.002 -0.826  0.119 -0.826  0.222 -0.789  0.316 -0.724  0.428 -0.687  0.539 -0.649  0.645 -0.596  0.741 -0.531  0.824 -0.448  0.897 -0.358  0.950 -0.252  1.023 -0.162  1.054 -0.057  1.054 0.061  1.054 0.179  1.054 0.296  1.004 0.402  0.967 0.511  0.967 0.629  0.899 0.718  0.815 0.801  0.732 0.885  0.649 0.968  0.551 1.031  0.446 1.084
2#apa#apa13#app1340/1  0.110 1.051  0.192 0.924  0.192 0.716  0.192 0.508  0.192 0.300  0.162 0.098  0.110 -0.098  0.110 -0.306  0.110 -0.514  0.110 -0.722  0.216 -0.630  0.261 -0.427  0.306 -0.223  0.351 -0.020  0.396 0.183  0.441 0.386  0.487 0.590  0.532 0.793  0.577 0.996  0.622 1.199  0.667 1.403  0.528 1.458  0.362 1.340  0.172 1.276  0.026 1.128  -0.071 0.944  -0.190 0.773  -0.308 0.602  -0.427 0.431  -0.546 0.260  -0.665 0.089  -0.784 -0.082  -0.903 -0.253  -1.022 -0.424  -1.141 -0.595  -1.260 -0.766  -1.311 -0.901  -1.136 -0.982  -0.928 -0.982  -0.726 -0.953  -0.531 -0.901  -0.322 -0.901  -0.114 -0.901  0.094 -0.901  0.297 -0.866  0.497 -0.820  0.706 -0.820  0.914 -0.820  1.122 -0.820  1.330 -0.820
2#apa#apa13#app1340/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
