3#apa#apa19#app1991/!  -0.261 1.450  -0.187 1.450  -0.112 1.450  -0.086 1.401  -0.086 1.326  -0.063 1.274  0.012 1.274  0.087 1.274  0.090 1.202  0.090 1.127  0.090 1.052  0.090 0.977  0.090 0.902  0.090 0.827  0.090 0.752  0.041 0.698  -0.012 0.645  -0.065 0.592  -0.086 0.525  -0.086 0.451  -0.086 0.376  -0.086 0.301  -0.086 0.226  -0.086 0.151  -0.086 0.076  -0.086 0.001  -0.086 -0.074  -0.086 -0.149  -0.086 -0.224  -0.086 -0.299  -0.086 -0.373  -0.086 -0.448  -0.086 -0.523  -0.086 -0.598  -0.086 -0.673  -0.086 -0.748  -0.086 -0.823  -0.058 -0.891  -0.024 -0.958  0.009 -1.025  0.043 -1.092  0.076 -1.159  0.110 -1.226  0.143 -1.293  0.177 -1.360  0.210 -1.427  0.244 -1.494  0.266 -1.564  0.266 -1.639  0.266 -1.714
3#apa#apa19#app1991/~  -1.342 -0.477  -1.342 -0.362  -1.342 -0.248  -1.342 -0.133  -1.342 -0.018  -1.342 0.097  -1.315 0.184  -1.200 0.184  -1.085 0.184  -1.011 0.225  -1.011 0.340  -1.011 0.454  -0.957 0.515  -0.842 0.515  -0.728 0.515  -0.613 0.515  -0.498 0.515  -0.383 0.515  -0.350 0.434  -0.350 0.319  -0.350 0.205  -0.255 0.184  -0.141 0.184  -0.026 0.184  -0.019 0.076  -0.019 -0.038  -0.012 -0.146  0.102 -0.146  0.217 -0.146  0.312 -0.167  0.312 -0.281  0.312 -0.396  0.345 -0.477  0.460 -0.477  0.575 -0.477  0.690 -0.477  0.804 -0.477  0.919 -0.477  1.034 -0.477  1.148 -0.477  1.263 -0.477  1.304 -0.403  1.304 -0.288  1.304 -0.173  1.304 -0.059  1.304 0.056  1.304 0.171  1.304 0.286  1.304 0.400  1.304 0.515
3#apa#apa19#app1991/  -0.771 0.000  -0.851 0.000  -0.931 0.000  -1.011 0.000  -1.091 0.000  -1.171 0.000  -1.250 0.000  -1.330 0.000  -1.410 0.000  -1.357 0.000  -1.277 0.000  -1.197 0.000  -1.117 0.000  -1.038 0.000  -0.958 0.000  -0.878 0.000  -0.798 0.000  -0.718 0.000  -0.638 0.000  -0.559 0.000  -0.479 0.000  -0.399 0.000  -0.319 0.000  -0.239 0.000  -0.160 0.000  -0.080 0.000  0.000 0.000  0.080 0.000  0.160 0.000  0.239 0.000  0.319 0.000  0.399 0.000  0.479 0.000  0.559 0.000  0.638 0.000  0.718 0.000  0.798 0.000  0.878 0.000  0.958 0.000  1.038 0.000  1.117 0.000  1.197 0.000  1.277 0.000  1.357 0.000  1.437 0.000  1.516 0.000  1.596 0.000  1.676 0.000  1.756 0.000  1.836 0.000
3#apa#apa19#app1991/_  -1.491 0.235  -1.491 0.165  -1.491 0.094  -1.491 0.024  -1.456 -0.011  -1.385 -0.011  -1.315 -0.011  -1.244 -0.011  -1.174 -0.011  -1.103 -0.011  -1.033 -0.011  -0.962 -0.011  -0.892 -0.011  -0.821 -0.011  -0.751 -0.011  -0.681 -0.011  -0.610 -0.011  -0.540 -0.011  -0.469 -0.011  -0.399 -0.011  -0.328 -0.011  -0.258 -0.011  -0.187 -0.011  -0.117 -0.011  -0.046 -0.011  0.024 -0.011  0.094 -0.011  0.165 -0.011  0.235 -0.011  0.306 -0.011  0.376 -0.011  0.447 -0.011  0.517 -0.011  0.588 -0.011  0.658 -0.011  0.728 -0.011  0.799 -0.011  0.869 -0.011  0.940 -0.011  1.010 -0.011  1.081 -0.011  1.151 -0.011  1.222 -0.011  1.292 -0.011  1.363 -0.011  1.433 -0.011  1.503 -0.011  1.574 -0.011  1.644 -0.011  1.715 -0.011
3#apa#apa19#app1991/+  0.080 2.045  0.080 1.856  0.080 1.667  0.080 1.478  0.080 1.288  0.080 1.099  0.080 0.910  0.080 0.721  0.080 0.531  0.080 0.342  0.080 0.153  0.080 -0.036  0.080 -0.226  0.080 -0.415  0.114 -0.570  0.303 -0.570  0.454 -0.609  0.454 -0.798  0.454 -0.988  0.454 -1.177  0.416 -1.288  0.268 -1.169  0.121 -1.051  -0.027 -0.933  -0.175 -0.815  -0.323 -0.696  -0.471 -0.578  -0.618 -0.460  -0.766 -0.342  -0.914 -0.223  -1.062 -0.105  -1.210 0.013  -1.357 0.131  -1.298 0.177  -1.109 0.177  -0.920 0.177  -0.731 0.177  -0.541 0.177  -0.352 0.177  -0.163 0.177  0.026 0.177  0.216 0.177  0.405 0.177  0.553 0.078  0.687 -0.056  0.821 -0.190  1.007 -0.197  1.197 -0.197  1.386 -0.197  1.575 -0.197
3#apa#apa19#app1991/=  -0.950 1.073  -0.771 1.073  -0.715 0.949  -0.647 0.838  -0.468 0.838  -0.288 0.838  -0.109 0.838  -0.011 0.757  0.015 0.604  0.194 0.604  0.373 0.604  0.553 0.604  0.732 0.604  0.911 0.604  1.091 0.604  1.270 0.604  1.351 0.584  1.186 0.515  1.020 0.446  0.855 0.377  0.689 0.308  0.524 0.239  0.358 0.170  0.193 0.101  0.027 0.032  -0.138 -0.037  -0.304 -0.106  -0.470 -0.175  -0.635 -0.244  -0.801 -0.313  -0.966 -0.382  -1.132 -0.451  -1.297 -0.520  -1.374 -0.571  -1.194 -0.571  -1.015 -0.571  -0.836 -0.571  -0.656 -0.571  -0.480 -0.574  -0.480 -0.754  -0.353 -0.806  -0.174 -0.806  0.006 -0.806  0.185 -0.806  0.364 -0.806  0.543 -0.806  0.723 -0.806  0.902 -0.806  1.037 -0.914  1.164 -1.040
3#apa#apa19#app1991/[  1.095 1.015  0.989 1.015  0.884 1.015  0.801 1.039  0.770 1.113  0.664 1.113  0.558 1.113  0.453 1.113  0.347 1.113  0.262 1.064  0.176 1.015  0.070 1.015  -0.036 1.015  -0.142 1.015  -0.247 1.015  -0.277 0.939  -0.277 0.833  -0.277 0.727  -0.277 0.622  -0.277 0.516  -0.277 0.410  -0.277 0.304  -0.300 0.208  -0.375 0.133  -0.375 0.027  -0.375 -0.078  -0.375 -0.184  -0.375 -0.290  -0.403 -0.385  -0.473 -0.461  -0.473 -0.567  -0.473 -0.673  -0.502 -0.749  -0.571 -0.786  -0.571 -0.892  -0.571 -0.998  -0.511 -1.043  -0.425 -0.995  -0.340 -0.945  -0.234 -0.945  -0.128 -0.945  -0.028 -0.972  0.066 -1.019  0.166 -1.043  0.272 -1.043  0.378 -1.043  0.484 -1.043  0.507 -1.126  0.597 -1.141  0.703 -1.141
3#apa#apa19#app1991/]  -0.560 1.071  -0.560 1.168  -0.560 1.265  -0.494 1.202  -0.410 1.170  -0.313 1.170  -0.217 1.170  -0.120 1.170  -0.023 1.170  0.029 1.126  0.072 1.071  0.168 1.071  0.265 1.071  0.324 1.034  0.288 0.973  0.226 0.939  0.226 0.842  0.226 0.745  0.226 0.649  0.226 0.552  0.226 0.455  0.226 0.358  0.226 0.262  0.226 0.165  0.211 0.075  0.143 0.006  0.128 -0.084  0.128 -0.181  0.128 -0.278  0.128 -0.374  0.128 -0.471  0.128 -0.568  0.128 -0.664  0.128 -0.761  0.128 -0.858  0.128 -0.954  0.188 -0.991  0.226 -1.050  0.226 -1.146  0.226 -1.243  0.171 -1.285  0.075 -1.285  -0.022 -1.285  -0.119 -1.285  -0.201 -1.251  -0.271 -1.187  -0.368 -1.187  -0.465 -1.187  -0.561 -1.187  -0.658 -1.187
3#apa#apa19#app1991/{  0.530 1.093  0.503 1.189  0.435 1.243  0.353 1.285  0.261 1.362  0.146 1.380  0.031 1.360  -0.061 1.285  -0.184 1.285  -0.286 1.235  -0.332 1.130  -0.246 1.093  -0.224 0.985  -0.140 0.897  -0.118 0.783  -0.045 0.690  0.002 0.614  0.051 0.539  0.147 0.512  0.170 0.399  0.243 0.306  0.243 0.182  0.243 0.059  0.147 0.032  0.113 -0.057  -0.010 -0.057  -0.134 -0.057  -0.236 -0.077  -0.236 -0.201  -0.161 -0.249  -0.045 -0.255  -0.011 -0.344  0.094 -0.388  0.147 -0.489  0.147 -0.612  0.046 -0.637  -0.041 -0.724  -0.128 -0.811  -0.151 -0.919  -0.263 -0.946  -0.332 -1.040  -0.332 -1.164  -0.332 -1.287  -0.321 -1.399  -0.209 -1.426  -0.114 -1.494  -0.007 -1.532  0.092 -1.590  0.216 -1.590  0.339 -1.590
3#apa#apa19#app1991/}  -0.315 1.508  -0.192 1.508  -0.069 1.508  0.054 1.508  0.085 1.415  0.148 1.355  0.238 1.323  0.240 1.202  0.181 1.138  0.148 1.048  0.055 1.018  -0.002 0.953  -0.037 0.865  -0.121 0.776  -0.148 0.675  -0.257 0.641  -0.315 0.542  -0.386 0.490  -0.407 0.388  -0.367 0.305  -0.315 0.235  -0.243 0.142  -0.130 0.120  -0.099 0.028  0.024 0.028  0.120 -0.037  0.064 -0.065  -0.053 -0.080  -0.130 -0.171  -0.174 -0.250  -0.169 -0.303  -0.130 -0.409  -0.037 -0.440  -0.002 -0.527  0.055 -0.593  0.151 -0.622  0.238 -0.709  0.325 -0.796  0.352 -0.897  0.425 -0.946  0.425 -1.069  0.425 -1.192  0.391 -1.301  0.292 -1.359  0.190 -1.410  0.085 -1.452  -0.037 -1.453  -0.069 -1.544  -0.192 -1.544  -0.315 -1.544
3#apa#apa19#app1991/\\  -1.000 1.290  -0.927 1.290  -0.890 1.254  -0.890 1.181  -0.839 1.129  -0.787 1.077  -0.779 1.007  -0.754 0.959  -0.681 0.959  -0.642 0.904  -0.609 0.839  -0.576 0.774  -0.535 0.715  -0.483 0.663  -0.431 0.611  -0.380 0.559  -0.328 0.508  -0.276 0.456  -0.226 0.403  -0.193 0.338  -0.160 0.273  -0.128 0.207  -0.118 0.136  -0.108 0.067  -0.056 0.016  -0.005 -0.036  0.047 -0.088  0.099 -0.139  0.150 -0.191  0.202 -0.243  0.239 -0.305  0.271 -0.371  0.304 -0.436  0.345 -0.496  0.397 -0.548  0.448 -0.599  0.500 -0.651  0.549 -0.705  0.581 -0.770  0.614 -0.836  0.647 -0.901  0.654 -0.972  0.674 -1.025  0.747 -1.025  0.804 -1.065  0.856 -1.117  0.874 -1.182  0.881 -1.252  0.933 -1.304  0.984 -1.356
3#apa#apa19#app1991/,  -0.066 1.643  -0.066 1.550  -0.066 1.456  -0.066 1.363  -0.066 1.269  -0.015 1.227  0.079 1.227  0.172 1.227  0.266 1.227  0.351 1.218  0.351 1.125  0.351 1.031  0.351 0.938  0.351 0.844  0.351 0.750  0.351 0.657  0.351 0.563  0.351 0.470  0.351 0.376  0.351 0.283  0.351 0.189  0.351 0.096  0.351 0.002  0.351 -0.091  0.351 -0.185  0.351 -0.278  0.351 -0.372  0.325 -0.440  0.232 -0.440  0.138 -0.440  0.045 -0.440  -0.049 -0.440  -0.066 -0.516  -0.066 -0.610  -0.066 -0.704  -0.066 -0.797  -0.100 -0.857  -0.193 -0.857  -0.287 -0.857  -0.380 -0.857  -0.474 -0.857  -0.482 -0.942  -0.482 -1.035  -0.482 -1.129  -0.482 -1.222  -0.525 -1.273  -0.618 -1.273  -0.712 -1.273  -0.805 -1.273  -0.899 -1.273
3#apa#apa19#app1991/  0.745 1.115  0.745 1.192  0.745 1.268  0.711 1.311  0.647 1.299  0.647 1.222  0.647 1.146  0.601 1.115  0.550 1.090  0.547 1.015  0.493 0.961  0.439 0.907  0.385 0.853  0.339 0.792  0.305 0.724  0.271 0.656  0.225 0.595  0.171 0.541  0.132 0.476  0.098 0.408  0.064 0.339  0.061 0.264  0.061 0.187  0.042 0.118  -0.012 0.064  -0.066 0.010  -0.120 -0.044  -0.135 -0.114  -0.151 -0.187  -0.185 -0.256  -0.219 -0.324  -0.253 -0.392  -0.287 -0.461  -0.322 -0.529  -0.331 -0.604  -0.346 -0.676  -0.380 -0.745  -0.415 -0.813  -0.449 -0.882  -0.483 -0.950  -0.517 -1.018  -0.526 -1.093  -0.551 -1.159  -0.605 -1.213  -0.624 -1.282  -0.624 -1.358  -0.618 -1.428  -0.541 -1.428  -0.483 -1.384  -0.429 -1.330
3#apa#apa19#app1991/?  -0.035 0.631  -0.140 0.664  -0.187 0.783  -0.245 0.897  -0.245 1.035  -0.140 1.068  -0.140 1.206  -0.057 1.261  0.081 1.261  0.219 1.261  0.357 1.261  0.494 1.257  0.592 1.160  0.689 1.062  0.700 0.928  0.700 0.790  0.616 0.736  0.583 0.631  0.490 0.586  0.434 0.470  0.317 0.421  0.280 0.320  0.145 0.316  0.026 0.272  -0.087 0.211  -0.201 0.151  -0.320 0.106  -0.427 0.030  -0.524 -0.068  -0.561 -0.191  -0.561 -0.330  -0.512 -0.419  -0.398 -0.477  -0.350 -0.595  -0.246 -0.629  -0.140 -0.662  -0.075 -0.734  -0.035 -0.833  -0.017 -0.970  0.003 -1.107  0.022 -1.243  0.042 -1.380  0.061 -1.517  -0.010 -1.575  -0.086 -1.474  -0.156 -1.365  -0.245 -1.315  -0.328 -1.260  -0.238 -1.267  -0.140 -1.365
3#apa#apa19#app1991/'  0.000 0.897  0.000 0.974  0.000 1.051  0.000 1.129  0.000 1.206  0.000 1.283  0.000 1.360  0.000 1.437  0.000 1.360  0.000 1.283  0.000 1.206  0.000 1.129  0.000 1.051  0.000 0.974  0.000 0.897  0.000 0.820  0.000 0.743  0.000 0.665  0.000 0.588  0.000 0.511  0.000 0.434  0.000 0.357  0.000 0.279  0.000 0.202  0.000 0.125  0.000 0.048  0.000 -0.029  0.000 -0.107  0.000 -0.184  0.000 -0.261  0.000 -0.338  0.000 -0.415  0.000 -0.493  0.000 -0.570  0.000 -0.647  0.000 -0.724  0.000 -0.801  0.000 -0.879  0.000 -0.956  0.000 -1.033  0.000 -1.110  0.000 -1.187  0.000 -1.265  0.000 -1.342  0.000 -1.419  0.000 -1.496  0.000 -1.573  0.000 -1.651  0.000 -1.728  0.000 -1.805
3#apa#apa19#app1991/\"  -0.994 0.924  -0.826 0.924  -0.703 0.968  -0.703 1.136  -0.703 1.127  -0.703 0.959  -0.570 0.924  -0.411 0.915  -0.411 0.747  -0.411 0.579  -0.411 0.411  -0.508 0.341  -0.676 0.341  -0.703 0.199  -0.703 0.031  -0.703 -0.137  -0.703 -0.305  -0.703 -0.473  -0.703 -0.640  -0.703 -0.808  -0.703 -0.976  -0.688 -1.096  -0.595 -0.956  -0.502 -0.816  -0.408 -0.677  -0.315 -0.537  -0.222 -0.397  -0.129 -0.258  -0.036 -0.118  0.057 0.022  0.151 0.162  0.244 0.301  0.337 0.441  0.430 0.581  0.570 0.632  0.738 0.632  0.756 0.482  0.783 0.341  0.951 0.341  1.048 0.270  1.048 0.102  1.048 -0.066  1.048 -0.234  1.048 -0.402  1.048 -0.570  1.048 -0.738  1.048 -0.906  1.048 -1.074  1.048 -1.242  1.048 -1.410
3#apa#apa19#app1991/<  0.895 0.930  0.895 1.050  0.895 1.170  0.895 1.290  0.858 1.322  0.773 1.237  0.662 1.216  0.609 1.148  0.578 1.041  0.493 0.956  0.408 0.871  0.323 0.786  0.238 0.702  0.141 0.644  0.026 0.633  -0.059 0.548  -0.144 0.463  -0.229 0.378  -0.314 0.293  -0.399 0.208  -0.483 0.123  -0.568 0.038  -0.653 -0.047  -0.764 -0.070  -0.819 -0.135  -0.861 -0.213  -0.962 -0.232  -0.962 -0.352  -1.079 -0.355  -1.011 -0.355  -0.890 -0.355  -0.785 -0.390  -0.700 -0.475  -0.589 -0.498  -0.469 -0.498  -0.391 -0.540  -0.372 -0.641  -0.252 -0.641  -0.144 -0.693  -0.036 -0.747  0.075 -0.784  0.191 -0.794  0.276 -0.879  0.376 -0.927  0.488 -0.948  0.573 -1.033  0.677 -1.070  0.798 -1.070  0.895 -1.092  0.895 -1.213
3#apa#apa19#app1991/|  0.161 1.674  0.161 1.603  0.161 1.531  0.161 1.460  0.138 1.399  0.087 1.348  0.077 1.282  0.077 1.210  0.077 1.139  0.064 1.073  0.014 1.023  -0.008 0.961  -0.008 0.889  -0.008 0.818  -0.008 0.747  -0.008 0.676  -0.008 0.605  -0.008 0.534  -0.008 0.462  -0.008 0.391  -0.008 0.320  -0.008 0.249  -0.008 0.178  -0.008 0.107  -0.008 0.035  -0.008 -0.036  -0.008 -0.107  -0.008 -0.178  -0.008 -0.249  -0.008 -0.320  -0.008 -0.392  -0.008 -0.463  -0.008 -0.534  -0.012 -0.604  -0.043 -0.668  -0.075 -0.731  -0.092 -0.799  -0.092 -0.870  -0.092 -0.941  -0.092 -1.012  -0.092 -1.083  -0.092 -1.154  -0.092 -1.226  -0.092 -1.297  -0.092 -1.368  -0.090 -1.438  -0.040 -1.489  -0.008 -1.547  0.005 -1.605  0.077 -1.605
3#apa#apa19#app1991/>  -0.775 1.539  -0.692 1.456  -0.609 1.372  -0.525 1.289  -0.442 1.206  -0.359 1.123  -0.248 1.109  -0.202 1.037  -0.169 0.933  -0.086 0.850  -0.003 0.767  0.080 0.684  0.196 0.679  0.288 0.619  0.371 0.536  0.371 0.418  0.463 0.393  0.561 0.346  0.644 0.263  0.657 0.150  0.731 0.107  0.801 0.059  0.823 -0.037  0.940 -0.037  0.863 0.044  0.771 0.107  0.657 0.103  0.657 -0.014  0.562 -0.037  0.465 -0.086  0.382 -0.169  0.299 -0.252  0.216 -0.335  0.132 -0.418  0.049 -0.501  -0.034 -0.585  -0.141 -0.610  -0.202 -0.666  -0.224 -0.775  -0.307 -0.858  -0.408 -0.896  -0.488 -0.934  -0.500 -1.039  -0.618 -1.039  -0.705 -1.113  -0.788 -1.196  -0.871 -1.279  -0.918 -1.377  -0.892 -1.469  -0.775 -1.469
