2#apb#apb31#app3165/S  0.468 0.795  0.549 0.875  0.629 0.956  0.686 1.055  0.703 1.163  0.591 1.175  0.477 1.164  0.363 1.162  0.249 1.162  0.139 1.141  0.031 1.103  -0.076 1.065  -0.174 1.006  -0.272 0.948  -0.360 0.877  -0.441 0.796  -0.524 0.718  -0.605 0.640  -0.631 0.530  -0.598 0.421  -0.536 0.329  -0.455 0.249  -0.360 0.189  -0.257 0.140  -0.154 0.091  -0.055 0.034  0.043 -0.024  0.141 -0.083  0.236 -0.145  0.332 -0.207  0.428 -0.270  0.523 -0.333  0.565 -0.437  0.562 -0.546  0.531 -0.655  0.471 -0.747  0.387 -0.824  0.304 -0.903  0.223 -0.983  0.142 -1.064  0.047 -1.125  -0.051 -1.184  -0.155 -1.228  -0.266 -1.252  -0.377 -1.279  -0.487 -1.310  -0.598 -1.329  -0.712 -1.329  -0.815 -1.293  -0.857 -1.233
2#apb#apb31#app3165/8  0.050 0.367  0.030 0.557  -0.023 0.729  -0.164 0.758  -0.352 0.750  -0.513 0.646  -0.664 0.530  -0.810 0.408  -0.950 0.278  -0.972 0.131  -0.801 0.063  -0.615 0.021  -0.428 -0.020  -0.241 -0.058  -0.052 -0.080  0.135 -0.115  0.316 -0.175  0.495 -0.240  0.667 -0.320  0.758 -0.469  0.649 -0.602  0.492 -0.710  0.332 -0.814  0.168 -0.911  -0.001 -1.000  -0.174 -1.079  -0.351 -1.152  -0.530 -1.217  -0.715 -1.264  -0.903 -1.267  -0.883 -1.089  -0.786 -0.925  -0.672 -0.772  -0.555 -0.621  -0.436 -0.472  -0.313 -0.326  -0.190 -0.180  -0.067 -0.034  0.056 0.111  0.180 0.257  0.303 0.402  0.425 0.549  0.547 0.696  0.669 0.843  0.798 0.983  0.936 1.115  1.074 1.247  1.216 1.374  1.358 1.502  1.510 1.596
2#apb#apb31#app3165/A  -0.628 0.385  -0.563 0.232  -0.549 0.042  -0.574 -0.149  -0.614 -0.335  -0.690 -0.511  -0.769 -0.686  -0.854 -0.857  -0.949 -1.024  -1.059 -1.180  -1.092 -1.208  -1.022 -1.030  -0.942 -0.856  -0.863 -0.681  -0.783 -0.506  -0.704 -0.332  -0.624 -0.157  -0.545 0.017  -0.466 0.192  -0.386 0.366  -0.307 0.541  -0.212 0.707  -0.102 0.864  0.026 1.005  0.187 1.109  0.361 1.186  0.544 1.240  0.735 1.263  0.920 1.226  1.088 1.148  1.209 0.999  1.238 0.809  1.195 0.627  1.129 0.447  1.046 0.274  0.962 0.102  0.850 -0.054  0.737 -0.209  0.624 -0.363  0.509 -0.517  0.373 -0.652  0.264 -0.808  0.164 -0.756  0.061 -0.594  -0.041 -0.432  -0.129 -0.268  0.028 -0.174  0.215 -0.145  0.406 -0.139  0.597 -0.157
2#apb#apb31#app3165/u  -0.332 1.016  -0.498 0.974  -0.597 0.838  -0.679 0.689  -0.722 0.523  -0.765 0.357  -0.810 0.192  -0.872 0.032  -0.935 -0.127  -0.997 -0.287  -1.051 -0.450  -1.102 -0.613  -1.140 -0.778  -1.127 -0.949  -1.042 -1.069  -0.879 -1.084  -0.711 -1.048  -0.568 -0.964  -0.441 -0.850  -0.313 -0.735  -0.187 -0.619  -0.066 -0.498  0.056 -0.377  0.177 -0.256  0.284 -0.123  0.387 0.014  0.490 0.152  0.590 0.291  0.687 0.432  0.783 0.574  0.880 0.716  0.954 0.870  1.027 1.025  1.091 1.184  1.047 1.201  0.944 1.064  0.847 0.923  0.752 0.780  0.660 0.636  0.584 0.483  0.523 0.323  0.461 0.163  0.392 0.006  0.324 -0.151  0.305 -0.321  0.288 -0.492  0.285 -0.662  0.311 -0.832  0.338 -1.001  0.367 -1.170
2#apb#apb31#app3165/g  0.461 1.425  0.411 1.415  0.339 1.290  0.254 1.175  0.153 1.073  0.053 0.970  -0.042 0.861  -0.135 0.752  -0.214 0.631  -0.290 0.509  -0.325 0.369  -0.360 0.230  -0.352 0.086  -0.309 -0.048  -0.210 -0.098  -0.082 -0.038  0.033 0.050  0.114 0.165  0.184 0.291  0.250 0.419  0.312 0.549  0.374 0.679  0.431 0.811  0.486 0.945  0.490 1.087  0.449 0.949  0.408 0.811  0.365 0.674  0.322 0.536  0.286 0.397  0.250 0.257  0.207 0.120  0.161 -0.017  0.116 -0.153  0.075 -0.292  0.036 -0.430  -0.003 -0.569  -0.042 -0.707  -0.081 -0.846  -0.121 -0.984  -0.164 -1.122  -0.211 -1.258  -0.258 -1.394  -0.317 -1.525  -0.381 -1.654  -0.446 -1.783  -0.569 -1.835  -0.654 -1.721  -0.724 -1.597  -0.730 -1.454
2#apb#apb31#app3165/.  0.759 1.498  0.709 1.449  0.660 1.399  0.611 1.350  0.561 1.301  0.512 1.251  0.464 1.201  0.435 1.138  0.406 1.075  0.376 1.011  0.347 0.948  0.318 0.885  0.289 0.821  0.260 0.758  0.230 0.695  0.201 0.631  0.172 0.568  0.143 0.505  0.113 0.441  0.084 0.378  0.055 0.315  0.026 0.251  -0.003 0.188  -0.033 0.125  -0.062 0.061  -0.091 -0.002  -0.120 -0.065  -0.137 -0.133  -0.154 -0.201  -0.170 -0.268  -0.187 -0.336  -0.204 -0.404  -0.221 -0.471  -0.238 -0.539  -0.255 -0.607  -0.272 -0.674  -0.289 -0.742  -0.306 -0.810  -0.323 -0.877  -0.340 -0.945  -0.356 -1.013  -0.373 -1.080  -0.390 -1.148  -0.407 -1.215  -0.424 -1.283  -0.441 -1.351  -0.458 -1.418  -0.475 -1.486  -0.492 -1.554  -0.509 -1.621
2#apb#apb31#app3165/9  0.120 0.380  0.095 0.549  0.004 0.692  -0.150 0.763  -0.322 0.763  -0.495 0.763  -0.667 0.766  -0.837 0.730  -0.998 0.667  -1.121 0.544  -1.189 0.386  -1.202 0.217  -1.179 0.047  -1.101 -0.108  -0.986 -0.232  -0.846 -0.331  -0.674 -0.348  -0.504 -0.344  -0.342 -0.282  -0.180 -0.220  -0.026 -0.140  0.125 -0.056  0.277 0.028  0.404 0.146  0.529 0.266  0.653 0.387  0.768 0.517  0.873 0.653  0.940 0.813  0.994 0.977  0.945 1.060  0.838 0.926  0.750 0.777  0.669 0.624  0.589 0.470  0.519 0.312  0.463 0.148  0.406 -0.016  0.351 -0.181  0.296 -0.345  0.244 -0.511  0.201 -0.679  0.157 -0.847  0.139 -1.019  0.126 -1.192  0.104 -1.364  0.077 -1.535  0.065 -1.708  0.037 -1.877  0.059 -2.037
2#apb#apb31#app3165/M  -0.703 1.063  -0.740 0.847  -0.766 0.629  -0.796 0.411  -0.838 0.196  -0.881 -0.019  -0.939 -0.230  -0.999 -0.442  -1.060 -0.652  -1.131 -0.859  -1.175 -0.947  -1.113 -0.737  -1.033 -0.533  -0.941 -0.334  -0.849 -0.135  -0.758 0.065  -0.665 0.263  -0.540 0.444  -0.413 0.622  -0.263 0.782  -0.082 0.902  0.118 0.870  0.216 0.674  0.229 0.456  0.227 0.237  0.194 0.020  0.141 -0.192  0.076 -0.402  -0.014 -0.601  -0.128 -0.788  -0.183 -0.778  -0.102 -0.577  -0.015 -0.375  0.067 -0.172  0.184 0.014  0.306 0.196  0.461 0.351  0.618 0.503  0.780 0.651  0.993 0.704  1.202 0.649  1.363 0.500  1.443 0.296  1.466 0.083  1.444 -0.135  1.352 -0.334  1.250 -0.528  1.122 -0.705  1.006 -0.891  0.870 -1.061
2#apb#apb31#app3165/a  -0.375 0.614  -0.397 0.392  -0.423 0.171  -0.452 -0.050  -0.532 -0.256  -0.628 -0.457  -0.730 -0.655  -0.837 -0.851  -0.964 -1.033  -1.113 -1.196  -1.277 -1.178  -1.265 -0.956  -1.206 -0.744  -1.119 -0.539  -1.024 -0.337  -0.922 -0.139  -0.817 0.057  -0.676 0.230  -0.535 0.403  -0.379 0.559  -0.202 0.695  -0.019 0.821  0.177 0.927  0.381 1.015  0.593 1.082  0.813 1.089  1.028 1.044  1.204 0.920  1.299 0.725  1.312 0.502  1.247 0.290  1.163 0.086  1.029 -0.093  0.894 -0.270  0.757 -0.446  0.616 -0.618  0.458 -0.775  0.287 -0.916  0.147 -0.916  0.108 -0.697  0.069 -0.477  0.030 -0.258  -0.008 -0.038  -0.047 0.181  -0.086 0.401  0.079 0.497  0.297 0.461  0.498 0.369  0.686 0.250  0.861 0.113
2#apb#apb31#app3165/y  -0.453 0.520  -0.526 0.410  -0.526 0.277  -0.511 0.147  -0.470 0.022  -0.381 -0.076  -0.274 -0.152  -0.173 -0.147  -0.091 -0.043  -0.010 0.062  0.072 0.166  0.154 0.270  0.236 0.375  0.318 0.479  0.399 0.584  0.481 0.688  0.563 0.792  0.645 0.897  0.726 1.001  0.808 1.106  0.890 1.210  0.956 1.240  0.917 1.113  0.859 0.995  0.795 0.879  0.728 0.765  0.658 0.652  0.589 0.539  0.517 0.427  0.446 0.315  0.374 0.204  0.294 0.098  0.211 -0.005  0.128 -0.109  0.046 -0.212  -0.036 -0.316  -0.119 -0.421  -0.201 -0.525  -0.284 -0.627  -0.372 -0.727  -0.459 -0.827  -0.547 -0.926  -0.634 -1.027  -0.718 -1.129  -0.802 -1.232  -0.886 -1.334  -0.966 -1.440  -1.046 -1.546  -1.125 -1.652  -1.201 -1.761
2#apb#apb31#app3165/2  -0.377 0.904  -0.345 1.030  -0.232 1.126  -0.096 1.188  0.041 1.249  0.179 1.306  0.319 1.353  0.469 1.343  0.597 1.292  0.691 1.175  0.697 1.034  0.677 0.886  0.612 0.752  0.541 0.620  0.470 0.488  0.389 0.363  0.295 0.246  0.201 0.130  0.108 0.013  0.009 -0.100  -0.097 -0.205  -0.203 -0.311  -0.309 -0.417  -0.415 -0.523  -0.520 -0.629  -0.626 -0.735  -0.732 -0.841  -0.834 -0.951  -0.932 -1.064  -1.031 -1.176  -1.121 -1.264  -1.024 -1.151  -0.918 -1.045  -0.812 -0.939  -0.692 -0.850  -0.572 -0.761  -0.451 -0.672  -0.331 -0.583  -0.211 -0.494  -0.090 -0.405  0.030 -0.316  0.166 -0.256  0.307 -0.203  0.447 -0.151  0.590 -0.108  0.735 -0.071  0.881 -0.035  1.030 -0.045  1.176 -0.068  1.313 -0.129
2#apb#apb31#app3165/2  -0.771 1.154  -0.680 1.245  -0.558 1.276  -0.431 1.300  -0.303 1.311  -0.175 1.319  -0.047 1.310  0.080 1.288  0.195 1.245  0.281 1.149  0.338 1.038  0.369 0.913  0.368 0.791  0.314 0.675  0.259 0.558  0.190 0.450  0.119 0.342  0.049 0.234  -0.026 0.130  -0.110 0.033  -0.195 -0.064  -0.279 -0.161  -0.362 -0.260  -0.441 -0.361  -0.521 -0.463  -0.600 -0.564  -0.685 -0.660  -0.777 -0.751  -0.862 -0.846  -0.910 -0.965  -0.844 -1.025  -0.716 -1.005  -0.595 -0.965  -0.477 -0.914  -0.359 -0.863  -0.240 -0.813  -0.120 -0.767  0.000 -0.721  0.120 -0.674  0.240 -0.628  0.360 -0.582  0.481 -0.536  0.601 -0.491  0.726 -0.460  0.851 -0.428  0.976 -0.397  1.102 -0.372  1.228 -0.349  1.356 -0.333  1.482 -0.342
