1c#apa#apa03#app0358/x  -1.011 0.751  -1.011 0.575  -0.892 0.448  -0.826 0.299  -0.774 0.144  -0.650 0.020  -0.641 -0.152  -0.487 -0.174  -0.353 -0.277  -0.271 -0.419  -0.220 -0.544  -0.056 -0.573  0.068 -0.698  0.231 -0.729  0.407 -0.729  0.583 -0.729  0.673 -0.626  0.704 -0.453  0.736 -0.280  0.767 -0.106  0.799 0.067  0.830 0.240  0.862 0.413  0.893 0.586  0.925 0.759  0.956 0.932  0.988 1.106  1.019 1.279  1.024 1.157  0.884 1.121  0.747 1.028  0.622 0.904  0.498 0.779  0.373 0.655  0.239 0.543  0.082 0.465  -0.075 0.386  -0.086 0.216  -0.155 0.057  -0.234 -0.101  -0.337 -0.241  -0.461 -0.365  -0.586 -0.489  -0.710 -0.614  -0.826 -0.742  -0.828 -0.917  -0.953 -1.041  -1.077 -1.166  -1.195 -1.293  -1.195 -1.469
2#lav#lav2#mp_0005/x  -1.671 0.579  -1.558 0.719  -1.397 0.814  -1.224 0.882  -1.044 0.932  -0.866 0.991  -0.681 0.969  -0.499 0.926  -0.322 0.867  -0.198 0.727  -0.216 0.549  -0.289 0.376  -0.367 0.206  -0.449 0.038  -0.509 -0.139  -0.551 -0.320  -0.545 -0.506  -0.486 -0.684  -0.352 -0.788  -0.175 -0.850  0.011 -0.833  0.196 -0.807  0.377 -0.762  0.563 -0.748  0.750 -0.748  0.936 -0.726  1.123 -0.713  1.255 -0.580  1.243 -0.420  1.170 -0.247  1.098 -0.074  1.025 0.098  0.953 0.271  0.880 0.444  0.808 0.616  0.936 0.696  0.962 0.596  0.860 0.439  0.701 0.339  0.543 0.239  0.403 0.115  0.264 -0.010  0.109 -0.112  -0.061 -0.189  -0.232 -0.265  -0.392 -0.361  -0.543 -0.472  -0.693 -0.584  -0.846 -0.692  -0.999 -0.800
2#lav#lav2#mp_0005/x  -1.409 0.802  -1.322 0.977  -1.150 1.030  -0.971 1.107  -0.776 1.110  -0.581 1.110  -0.390 1.076  -0.200 1.033  -0.029 0.943  0.085 0.801  0.061 0.611  -0.010 0.431  -0.103 0.260  -0.192 0.087  -0.275 -0.090  -0.394 -0.244  -0.470 -0.422  -0.493 -0.599  -0.369 -0.750  -0.176 -0.741  0.018 -0.747  0.212 -0.766  0.407 -0.776  0.602 -0.784  0.797 -0.787  0.992 -0.787  1.187 -0.787  1.266 -0.671  1.210 -0.484  1.153 -0.297  1.097 -0.111  1.040 0.076  0.984 0.263  0.927 0.450  0.871 0.636  0.768 0.638  0.648 0.487  0.549 0.318  0.410 0.186  0.255 0.066  0.095 -0.043  -0.079 -0.131  -0.254 -0.218  -0.428 -0.305  -0.583 -0.423  -0.731 -0.550  -0.885 -0.669  -1.050 -0.772  -1.199 -0.862  -1.118 -0.684
2#apa#apa15#app1597/x  -1.414 0.434  -1.298 0.319  -1.183 0.203  -1.068 0.088  -0.953 -0.027  -0.838 -0.142  -0.712 -0.240  -0.558 -0.291  -0.403 -0.343  -0.249 -0.394  -0.095 -0.446  0.060 -0.497  0.214 -0.548  0.369 -0.600  0.523 -0.651  0.684 -0.665  0.792 -0.603  0.812 -0.441  0.832 -0.280  0.852 -0.118  0.872 0.043  0.893 0.205  0.913 0.366  0.933 0.528  0.953 0.689  0.973 0.851  0.994 1.012  0.946 1.150  0.831 1.266  0.716 1.245  0.601 1.129  0.486 1.014  0.371 0.899  0.305 0.754  0.253 0.599  0.202 0.445  0.150 0.290  0.067 0.156  -0.048 0.041  -0.164 -0.074  -0.279 -0.189  -0.394 -0.305  -0.509 -0.420  -0.624 -0.535  -0.739 -0.650  -0.833 -0.783  -0.923 -0.918  -1.013 -1.053  -1.103 -1.189  -1.194 -1.324
2#tos#t2#t2032064/x  -1.252 0.298  -1.428 0.250  -1.428 0.336  -1.311 0.511  -1.175 0.637  -1.129 0.828  -0.939 0.925  -0.822 1.061  -0.656 1.002  -0.491 0.944  -0.415 0.752  -0.326 0.592  -0.254 0.440  -0.078 0.347  -0.001 0.185  0.107 -0.005  0.156 -0.208  0.274 -0.315  0.332 -0.515  0.460 -0.651  0.508 -0.855  0.595 -0.992  0.743 -1.068  0.802 -1.220  0.686 -1.114  0.692 -0.890  0.697 -0.666  0.703 -0.442  0.709 -0.218  0.714 0.006  0.720 0.230  0.726 0.453  0.732 0.677  0.737 0.901  0.738 1.120  0.567 1.022  0.508 0.856  0.354 0.731  0.274 0.574  0.271 0.351  0.188 0.143  0.141 -0.069  -0.017 -0.227  -0.057 -0.430  -0.196 -0.580  -0.254 -0.794  -0.397 -0.959  -0.531 -1.135  -0.548 -1.355  -0.430 -1.462
3#kai#kai1#jhkim5/x  -1.219 0.061  -1.192 0.142  -1.165 0.224  -1.137 0.305  -1.099 0.382  -1.051 0.453  -1.004 0.525  -0.956 0.596  -0.908 0.668  -0.861 0.739  -0.813 0.811  -0.765 0.883  -0.696 0.892  -0.615 0.865  -0.533 0.838  -0.460 0.802  -0.433 0.721  -0.406 0.639  -0.379 0.557  -0.351 0.476  -0.324 0.394  -0.297 0.313  -0.265 0.233  -0.217 0.162  -0.170 0.090  -0.122 0.019  -0.071 -0.050  -0.010 -0.111  0.051 -0.172  0.112 -0.233  0.173 -0.293  0.240 -0.346  0.312 -0.394  0.383 -0.442  0.455 -0.489  0.526 -0.537  0.598 -0.585  0.669 -0.632  0.741 -0.680  0.820 -0.713  0.901 -0.740  0.983 -0.768  1.066 -0.788  1.152 -0.788  1.238 -0.788  1.324 -0.788  1.373 -0.720  1.421 -0.648  1.468 -0.577  1.516 -0.505
2#apb#apb33#app3354/x  -0.274 0.643  -0.213 0.813  -0.290 0.963  -0.440 1.058  -0.531 1.046  -0.531 0.858  -0.505 0.678  -0.451 0.506  -0.423 0.320  -0.330 0.170  -0.263 -0.005  -0.153 -0.157  -0.075 -0.327  0.030 -0.455  0.124 -0.537  0.147 -0.629  0.194 -0.675  0.277 -0.838  0.373 -0.900  0.472 -0.740  0.571 -0.581  0.670 -0.421  0.770 -0.261  0.869 -0.102  0.968 0.058  1.067 0.218  1.166 0.378  1.266 0.537  1.317 0.711  1.247 0.829  1.103 0.807  0.944 0.738  0.781 0.652  0.629 0.545  0.468 0.450  0.330 0.323  0.170 0.226  0.021 0.111  -0.133 0.004  -0.296 -0.089  -0.459 -0.177  -0.582 -0.319  -0.725 -0.442  -0.862 -0.570  -1.018 -0.674  -1.173 -0.781  -1.344 -0.853  -1.490 -0.970  -1.641 -1.075  -1.771 -1.064
1c#tos#f1#f1051061/x  -0.461 0.828  -0.687 0.828  -0.891 0.828  -0.665 0.828  -0.438 0.828  -0.212 0.828  -0.051 0.750  0.091 0.582  0.091 0.355  0.091 0.129  0.043 -0.090  -0.027 -0.305  -0.092 -0.520  -0.228 -0.701  -0.361 -0.877  -0.528 -1.024  -0.612 -1.234  -0.686 -1.444  -0.850 -1.545  -0.908 -1.518  -0.791 -1.325  -0.674 -1.131  -0.557 -0.937  -0.440 -0.743  -0.323 -0.549  -0.206 -0.356  -0.089 -0.162  0.028 0.032  0.145 0.226  0.262 0.420  0.379 0.614  0.496 0.807  0.613 1.001  0.730 1.195  0.809 1.399  0.643 1.411  0.506 1.312  0.380 1.144  0.367 0.919  0.271 0.733  0.202 0.535  0.202 0.309  0.249 0.088  0.276 -0.129  0.367 -0.318  0.478 -0.476  0.511 -0.684  0.691 -0.820  0.830 -0.998  1.029 -1.048
1c#apb#apb32#app3242/x  -1.023 0.811  -1.138 0.958  -1.240 1.104  -1.141 0.996  -1.023 0.849  -0.907 0.701  -0.773 0.570  -0.635 0.442  -0.495 0.317  -0.355 0.191  -0.214 0.067  -0.071 -0.056  0.071 -0.178  0.216 -0.298  0.364 -0.415  0.511 -0.531  0.651 -0.658  0.788 -0.786  0.911 -0.927  1.024 -1.078  1.071 -1.204  0.912 -1.109  0.754 -1.041  0.738 -0.853  0.723 -0.666  0.708 -0.478  0.693 -0.291  0.678 -0.103  0.663 0.084  0.648 0.272  0.633 0.459  0.618 0.646  0.603 0.834  0.588 1.021  0.529 1.109  0.382 0.991  0.249 0.858  0.126 0.716  0.007 0.571  -0.111 0.424  -0.229 0.277  -0.346 0.130  -0.459 -0.020  -0.570 -0.171  -0.677 -0.326  -0.772 -0.488  -0.855 -0.655  -0.898 -0.838  -0.941 -1.022  -0.983 -1.205
1c#apb#apb32#app3242/x  -1.353 1.017  -1.258 0.873  -1.116 0.775  -0.974 0.678  -0.837 0.574  -0.712 0.455  -0.587 0.336  -0.462 0.218  -0.327 0.111  -0.182 0.018  -0.037 -0.074  0.109 -0.167  0.244 -0.274  0.376 -0.384  0.509 -0.495  0.641 -0.605  0.773 -0.716  0.895 -0.836  0.998 -0.974  1.066 -1.120  1.077 -1.207  1.012 -1.057  0.969 -0.890  0.926 -0.723  0.883 -0.556  0.840 -0.389  0.797 -0.222  0.754 -0.056  0.711 0.111  0.668 0.278  0.625 0.445  0.582 0.612  0.539 0.779  0.496 0.946  0.406 1.004  0.257 0.918  0.111 0.827  -0.016 0.711  -0.145 0.596  -0.279 0.487  -0.412 0.378  -0.543 0.266  -0.665 0.145  -0.787 0.023  -0.907 -0.101  -1.012 -0.237  -1.118 -0.374  -1.165 -0.537  -1.185 -0.707  -1.185 -0.880
2#tos#f2#f2024065/x  -1.323 -0.485  -1.416 -0.472  -1.416 -0.271  -1.392 -0.075  -1.337 0.118  -1.276 0.309  -1.152 0.459  -0.997 0.586  -0.874 0.737  -0.704 0.833  -0.518 0.867  -0.332 0.845  -0.258 0.659  -0.250 0.460  -0.208 0.270  -0.157 0.082  -0.091 -0.103  -0.030 -0.293  0.029 -0.484  0.113 -0.662  0.217 -0.819  0.335 -0.956  0.498 -1.045  0.698 -1.045  0.870 -1.016  0.959 -0.905  1.003 -0.720  0.988 -0.521  0.973 -0.321  0.958 -0.121  0.943 0.079  0.928 0.278  0.913 0.478  0.898 0.678  0.883 0.877  0.853 1.070  0.665 1.101  0.533 1.024  0.459 0.839  0.354 0.669  0.298 0.478  0.178 0.318  0.124 0.126  0.006 -0.035  -0.089 -0.211  -0.179 -0.390  -0.273 -0.566  -0.387 -0.731  -0.483 -0.899  -0.530 -1.092
1c#apb#apb14#app1422/x  -1.320 1.464  -1.354 1.329  -1.280 1.177  -1.199 1.029  -1.113 0.882  -1.028 0.736  -0.912 0.614  -0.787 0.500  -0.662 0.385  -0.550 0.259  -0.453 0.120  -0.357 -0.019  -0.261 -0.159  -0.167 -0.300  -0.073 -0.441  0.024 -0.579  0.130 -0.712  0.236 -0.844  0.345 -0.974  0.455 -1.102  0.602 -1.181  0.722 -1.188  0.735 -1.019  0.749 -0.850  0.762 -0.682  0.775 -0.513  0.789 -0.344  0.802 -0.175  0.816 -0.006  0.829 0.163  0.842 0.332  0.856 0.501  0.869 0.670  0.883 0.839  0.863 0.890  0.747 0.767  0.628 0.647  0.508 0.527  0.388 0.408  0.268 0.288  0.142 0.175  0.008 0.072  -0.127 -0.031  -0.259 -0.137  -0.373 -0.262  -0.487 -0.387  -0.600 -0.513  -0.702 -0.649  -0.804 -0.785  -0.905 -0.920
1c#app#app06#app0688/x  -1.280 0.328  -1.151 0.512  -1.036 0.702  -0.868 0.870  -0.674 0.977  -0.491 1.106  -0.253 1.106  -0.016 1.106  0.146 0.954  0.238 0.755  0.405 0.587  0.405 0.349  0.343 0.137  0.176 -0.031  0.080 -0.190  -0.107 -0.313  -0.275 -0.481  -0.461 -0.623  -0.665 -0.742  -0.862 -0.838  -1.046 -0.968  -1.284 -0.968  -1.298 -0.968  -1.111 -0.829  -0.927 -0.678  -0.744 -0.527  -0.561 -0.376  -0.377 -0.225  -0.194 -0.074  -0.011 0.077  0.173 0.228  0.356 0.379  0.539 0.530  0.723 0.681  0.906 0.832  0.839 0.717  0.658 0.581  0.535 0.394  0.375 0.299  0.233 0.113  0.146 -0.104  0.168 -0.320  0.276 -0.450  0.482 -0.526  0.697 -0.579  0.894 -0.679  1.119 -0.709  1.356 -0.709  1.594 -0.709  1.831 -0.709
3#apb#apb15#app1565/x  -1.107 1.398  -1.115 1.251  -1.071 1.098  -0.990 0.960  -0.909 0.822  -0.823 0.687  -0.736 0.553  -0.649 0.418  -0.553 0.291  -0.452 0.167  -0.351 0.043  -0.246 -0.078  -0.137 -0.195  -0.027 -0.311  0.083 -0.428  0.179 -0.555  0.270 -0.687  0.361 -0.818  0.461 -0.943  0.568 -1.062  0.687 -1.166  0.822 -1.252  0.949 -1.347  1.084 -1.377  1.021 -1.230  0.957 -1.083  0.894 -0.936  0.831 -0.789  0.767 -0.642  0.704 -0.495  0.640 -0.348  0.577 -0.202  0.514 -0.055  0.450 0.092  0.387 0.239  0.323 0.386  0.260 0.533  0.197 0.680  0.133 0.827  0.070 0.973  -0.026 0.985  -0.148 0.882  -0.270 0.779  -0.393 0.676  -0.492 0.553  -0.574 0.416  -0.656 0.279  -0.739 0.141  -0.821 0.004  -0.903 -0.133
3#kai#kai1#kclee4/x  -1.376 0.501  -1.252 0.625  -1.115 0.735  -0.979 0.846  -0.854 0.970  -0.707 1.067  -0.548 1.109  -0.500 0.941  -0.500 0.765  -0.496 0.589  -0.453 0.419  -0.448 0.244  -0.406 0.073  -0.335 -0.087  -0.243 -0.237  -0.137 -0.377  -0.013 -0.502  0.091 -0.643  0.223 -0.754  0.383 -0.825  0.557 -0.840  0.732 -0.840  0.858 -0.719  0.999 -0.614  1.100 -0.476  1.185 -0.323  1.253 -0.168  1.277 0.004  1.305 0.176  1.211 0.282  1.082 0.400  0.952 0.519  0.822 0.638  0.693 0.757  0.585 0.727  0.494 0.576  0.375 0.448  0.251 0.323  0.126 0.199  0.002 0.074  -0.123 -0.050  -0.224 -0.194  -0.343 -0.322  -0.467 -0.446  -0.587 -0.575  -0.697 -0.712  -0.805 -0.851  -0.910 -0.992  -0.969 -1.157  -1.067 -1.304
3#apa#apa01#app0176/x  -1.102 1.384  -1.102 1.192  -0.939 1.163  -0.881 1.029  -0.807 0.867  -0.670 0.731  -0.534 0.595  -0.398 0.459  -0.262 0.323  -0.089 0.277  0.005 0.178  0.075 0.056  0.255 0.027  0.391 -0.109  0.527 -0.245  0.663 -0.381  0.799 -0.518  0.954 -0.609  1.112 -0.643  1.110 -0.825  1.032 -0.650  0.954 -0.474  0.875 -0.298  0.797 -0.122  0.719 0.054  0.641 0.230  0.563 0.406  0.485 0.581  0.407 0.757  0.328 0.933  0.250 1.109  0.226 1.030  0.226 0.837  0.173 0.667  0.037 0.531  0.005 0.352  -0.079 0.194  -0.215 0.058  -0.217 -0.134  -0.217 -0.326  -0.348 -0.387  -0.438 -0.490  -0.438 -0.682  -0.470 -0.862  -0.606 -0.998  -0.660 -1.168  -0.660 -1.360  -0.718 -1.495  -0.881 -1.524  -0.881 -1.716
2#app#app07#app0798/x  1.632 0.751  1.440 0.751  1.249 0.751  1.057 0.751  1.012 0.603  0.847 0.513  0.681 0.420  0.545 0.285  0.374 0.199  0.236 0.092  0.169 -0.059  -0.002 -0.144  -0.074 -0.292  -0.179 -0.440  -0.315 -0.576  -0.384 -0.739  -0.476 -0.893  -0.539 -1.059  -0.679 -1.111  -0.694 -1.288  -0.753 -1.421  -0.838 -1.326  -0.816 -1.136  -0.793 -0.945  -0.771 -0.755  -0.749 -0.564  -0.726 -0.373  -0.704 -0.183  -0.681 0.008  -0.659 0.198  -0.636 0.389  -0.614 0.579  -0.592 0.770  -0.569 0.960  -0.547 1.151  -0.539 1.089  -0.384 1.053  -0.352 0.874  -0.211 0.751  -0.035 0.712  0.081 0.569  0.126 0.395  0.269 0.269  0.440 0.183  0.598 0.078  0.702 -0.071  0.760 -0.238  0.896 -0.374  1.031 -0.510  1.167 -0.645
3#apa#apa13#app1310/x  1.219 1.005  1.063 0.961  0.917 0.893  0.758 0.830  0.614 0.736  0.491 0.613  0.340 0.556  0.212 0.446  0.086 0.326  -0.070 0.248  -0.176 0.121  -0.254 -0.035  -0.332 -0.191  -0.444 -0.322  -0.567 -0.445  -0.626 -0.607  -0.681 -0.772  -0.798 -0.900  -0.802 -0.954  -0.813 -0.780  -0.823 -0.606  -0.833 -0.432  -0.843 -0.258  -0.854 -0.084  -0.864 0.089  -0.874 0.263  -0.884 0.437  -0.895 0.611  -0.905 0.785  -0.911 0.827  -0.911 0.652  -0.841 0.521  -0.686 0.444  -0.530 0.366  -0.393 0.262  -0.270 0.139  -0.122 0.050  0.034 -0.028  0.189 -0.106  0.317 -0.223  0.471 -0.303  0.636 -0.341  0.810 -0.341  0.955 -0.413  1.100 -0.505  1.258 -0.578  1.423 -0.633  1.590 -0.677  1.736 -0.745  1.780 -0.901
3#apa#apa04#app0412/x  -1.100 1.073  -1.156 0.935  -1.158 0.855  -1.100 0.684  -0.940 0.637  -0.793 0.520  -0.646 0.443  -0.559 0.269  -0.429 0.126  -0.270 0.078  -0.210 -0.092  -0.048 -0.171  0.105 -0.270  0.243 -0.408  0.283 -0.585  0.461 -0.626  0.616 -0.724  0.697 -0.837  0.835 -0.893  0.923 -1.000  0.956 -0.856  0.931 -0.663  0.907 -0.470  0.883 -0.277  0.859 -0.083  0.835 0.110  0.811 0.303  0.787 0.496  0.762 0.690  0.738 0.883  0.714 1.076  0.697 1.153  0.697 0.958  0.576 0.814  0.526 0.659  0.358 0.596  0.283 0.432  0.153 0.317  0.006 0.213  -0.072 0.067  -0.246 -0.020  -0.389 -0.151  -0.527 -0.289  -0.664 -0.426  -0.802 -0.564  -0.940 -0.702  -1.077 -0.840  -1.100 -1.025  -1.181 -1.138  -1.238 -1.276
